web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2
"1775622800-1","https://blinkit.com/cn/sweet-tooth/indian-sweets/cid/9/943","Jaggery Coconut Burfi by Sweet Karam Coffee","150 g","₹173","₹199","13%
OFF","ADD","11 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8a621086-e1bf-40d1-b2cf-2146731f8d4d.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622800-2","https://blinkit.com/cn/sweet-tooth/indian-sweets/cid/9/943","Motichoor Laddu by Lal","200 g","₹119","₹125","","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/41b23732-feeb-4121-8815-e7a32c214e61.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622800-3","https://blinkit.com/cn/sweet-tooth/indian-sweets/cid/9/943","Elaichi Soan Papdi by Haldiram's Prabhuji","400 g","₹119","₹189","37%
OFF","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/be38bbe1-99ef-43bb-914e-366899476ae4.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622800-4","https://blinkit.com/cn/sweet-tooth/indian-sweets/cid/9/943","Kaju Katli by Haldiram's Prabhuji","200 g","₹219","₹349","37%
OFF","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/501e3b1e-87a8-4e2d-aa02-23d6978d1704.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622800-5","https://blinkit.com/cn/sweet-tooth/indian-sweets/cid/9/943","Milk Cake by Lal","200 g","₹152","₹159","","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a9ec9e54-ab1b-47cd-8b52-07c886eaeb1e.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622800-6","https://blinkit.com/cn/sweet-tooth/indian-sweets/cid/9/943","Farmley Classic Delight Dates Bites - No Added Sugar","200 g","₹339","₹400","15%
OFF","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ab9f64e6-793a-4a34-89a2-8e8a2fb456fa.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622800-7","https://blinkit.com/cn/sweet-tooth/indian-sweets/cid/9/943","Premium Mysore Pak by Lal","200 g","₹138","₹145","","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/aa4e968f-2f5b-4a47-8768-76878e0dd787.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622800-8","https://blinkit.com/cn/sweet-tooth/indian-sweets/cid/9/943","Doodh Peda Anand","170 g","₹137","₹150","8%
OFF","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770963085463-167.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622800-9","https://blinkit.com/cn/sweet-tooth/indian-sweets/cid/9/943","Kesar Laddu by Bhikharam Chandmal","400 g","₹162","₹170","","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/3cb090cc-bf7b-4920-9f2f-444d39fb6b02.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622800-10","https://blinkit.com/cn/sweet-tooth/indian-sweets/cid/9/943","Classic Besan Laddu by Lal","200 g","₹86","₹90","","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/50bbfa0e-d80b-4085-bb20-ca68a4b7fde2.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
