web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775622186-1","https://blinkit.com/cn/instant-frozen-food/instant-mixes/cid/15/965","Poshilo Multigrain Sattu Instant Meal","750 g","₹349","₹449","22%
OFF","9 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7228a135-9434-46b0-b5d2-f8c5dab08493.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622186-2","https://blinkit.com/cn/instant-frozen-food/instant-mixes/cid/15/965","MTR Dosa Breakfast Mix","500 g","₹130","₹138","5%
OFF","16 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773048060308-706.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775622186-3","https://blinkit.com/cn/instant-frozen-food/instant-mixes/cid/15/965","MTR 3 Minute Poha Breakfast Mix","60 g","₹27","","","16 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/b0dfe9c1-ac5f-4f39-ac60-58b544138a55.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775622186-4","https://blinkit.com/cn/instant-frozen-food/instant-mixes/cid/15/965","MTR 3 Minute Upma Mix - Pack of 5","300 g","₹116","₹133","12%
OFF","16 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/4ac7b3e3-3555-4a7f-8039-440e2bea7dd6.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775622186-5","https://blinkit.com/cn/instant-frozen-food/instant-mixes/cid/15/965","Organic Tattva Rava Idli Mix","200 g","₹60","","","16 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/565af5e0-dfd3-47cf-93dd-18055755f908.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775622186-6","https://blinkit.com/cn/instant-frozen-food/instant-mixes/cid/15/965","MOM Ghee Rava Upma With Bhujia","75 g","₹64","₹65","","16 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2c51bc61-030b-4c93-9780-8f5f9551d24d.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775622186-7","https://blinkit.com/cn/instant-frozen-food/instant-mixes/cid/15/965","MTR 3 Minute Khatta Meetha Poha Breakfast Mix","60 g","₹27","","","16 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1e4a5274-dfc7-4667-9c04-4ae01fc9d554.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775622186-8","https://blinkit.com/cn/instant-frozen-food/instant-mixes/cid/15/965","MTR 3 Minute Veggie Upma Breakfast Mix","60 g","₹27","","","16 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/fd461d60-7c89-42db-8dce-3a2902c4b41a.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775622186-9","https://blinkit.com/cn/instant-frozen-food/instant-mixes/cid/15/965","Organic Tattva Khaman Dhokla Instant Mix","200 g","₹65","","","16 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2a9fc67b-317f-4ebf-b9d4-2f626152fe88.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775622186-10","https://blinkit.com/cn/instant-frozen-food/instant-mixes/cid/15/965","Ching's Secret Schezwan Fried Rice Masala Instant Mix - 5 Single Use Pouches","5 x 20 g","₹50","","","16 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/766065e4-94b4-4452-9fe9-045d90002cb6.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
