web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775667868-1","https://blinkit.com/cn/sauces-spreads/jam-spreads/cid/972/974","Gladful Hazelnut Almond Chocolate Spread","300 g","₹352","₹499","29%
OFF","18 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773909116319-1275.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667868-2","https://blinkit.com/cn/sauces-spreads/jam-spreads/cid/972/974","Kissan Mixed Fruit Jam (200 g)","200 g","₹80","","","21 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770013136174-304.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667868-3","https://blinkit.com/cn/sauces-spreads/jam-spreads/cid/972/974","Dr. Oetker FunFoods Veg Mayonnaise Original","100 g","₹46","","","21 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/12852376-d385-4d91-aff8-e6629bc7a49e.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667868-4","https://blinkit.com/cn/sauces-spreads/jam-spreads/cid/972/974","Hellmann's Real Mayonnaise","250 g","₹81","₹90","10%
OFF","21 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770013136174-444.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667868-5","https://blinkit.com/cn/sauces-spreads/jam-spreads/cid/972/974","Hellmann's Smoky Tandoori Veg Mayonnaise","85 g","₹41","₹46","10%
OFF","21 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/334d8a9f-0886-4958-8c2b-32f2821418d3.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667868-6","https://blinkit.com/cn/sauces-spreads/jam-spreads/cid/972/974","Hellmann's Creamy Mayonnaise","85 g","₹38","","","21 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ae9eba99-85d9-4f40-a188-de1e428b2e22.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667868-7","https://blinkit.com/cn/sauces-spreads/jam-spreads/cid/972/974","Nutella Hazelnut Chocolate Spread with Cocoa","180 g","₹225","","","21 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771780767527-1665.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667868-8","https://blinkit.com/cn/sauces-spreads/jam-spreads/cid/972/974","Dr. Oetker FunFoods Veg Mayonnaise Original","250 g","₹93","","","21 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f83f71e0-75f9-4f6c-8f49-910d93f2c98b.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667868-9","https://blinkit.com/cn/sauces-spreads/jam-spreads/cid/972/974","Hellmann's Cheesy Jalapeno Burst Mayonnaise","85 g","₹41","₹46","10%
OFF","21 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/18086805-8531-47f7-9a04-739ecdacbfdb.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667868-10","https://blinkit.com/cn/sauces-spreads/jam-spreads/cid/972/974","Nutella Hazelnut Chocolate Spread with Cocoa","350 g","₹302","₹399","24%
OFF","21 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771780767527-1654.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667868-11","https://blinkit.com/cn/sauces-spreads/jam-spreads/cid/972/974","Kissan Mango Jam","490 g","₹200","","","21 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/814819a8-12f4-404b-ab9a-459c61d16085.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667868-12","https://blinkit.com/cn/sauces-spreads/jam-spreads/cid/972/974","Kissan Mixed Fruit Jam","500 g","₹190","","","21 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770013136174-289.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667868-13","https://blinkit.com/cn/sauces-spreads/jam-spreads/cid/972/974","Hellmann's Roasted Garlic Mayonnaise","85 g","₹41","₹46","10%
OFF","21 mins","ADD","","","",""
"1775667868-14","https://blinkit.com/cn/sauces-spreads/jam-spreads/cid/972/974","Wingreens Farms Premium Veg Mayonnaise","800 g","₹163","₹234","30%
OFF","21 mins","ADD","","","",""
"1775667868-15","https://blinkit.com/cn/sauces-spreads/jam-spreads/cid/972/974","Beanly Choco Hazelnut Spread with Breadsticks","52 g","₹99","₹133","25%
OFF","21 mins","ADD","3 options","","",""
"1775667868-16","https://blinkit.com/cn/sauces-spreads/jam-spreads/cid/972/974","Hellmann's Veg Mayonnaise","775 g","₹170","₹190","10%
OFF","21 mins","ADD","","","",""
"1775667868-17","https://blinkit.com/cn/sauces-spreads/jam-spreads/cid/972/974","Sundrop Peanut Butter with Grape Jelly","340 g","₹135","₹140","","21 mins","ADD","","","",""
"1775667868-18","https://blinkit.com/cn/sauces-spreads/jam-spreads/cid/972/974","Dr. Oetker FunFoods Veg Mayonnaise Original","800 g","₹169","₹187","9%
OFF","21 mins","ADD","","","",""
"1775667868-19","https://blinkit.com/cn/sauces-spreads/jam-spreads/cid/972/974","Dr. Oetker FunFoods Egg Mayonnaise Classic","245 g","₹93","","","21 mins","ADD","2 options","","",""
"1775667868-20","https://blinkit.com/cn/sauces-spreads/jam-spreads/cid/972/974","Dr. Oetker FunFoods Burger Mayonnaise","250 g","₹93","","","21 mins","ADD","","","",""
"1775667868-21","https://blinkit.com/cn/sauces-spreads/jam-spreads/cid/972/974","Wingreens Farms Premium Veg Mayonnaise","180 g","₹46","₹70","34%
OFF","21 mins","ADD","2 options","","",""
"1775667868-22","https://blinkit.com/cn/sauces-spreads/jam-spreads/cid/972/974","Kissan Pineapple Jam","500 g","₹200","","","21 mins","ADD","","","",""
"1775667868-23","https://blinkit.com/cn/sauces-spreads/jam-spreads/cid/972/974","Wingreens Farms Tandoori - Flavoured Mayonnaise","180 g","₹67","₹70","","21 mins","ADD","2 options","","",""
"1775667868-24","https://blinkit.com/cn/sauces-spreads/jam-spreads/cid/972/974","Dr. Oetker FunFoods Tandoori Mayonnaise","250 g","₹93","","","21 mins","ADD","","","",""
"1775667868-25","https://blinkit.com/cn/sauces-spreads/jam-spreads/cid/972/974","Beanly Dark Chocolate Spread with Breadsticks","52 g","₹99","₹133","25%
OFF","21 mins","ADD","2 options","","",""
"1775667868-26","https://blinkit.com/cn/sauces-spreads/jam-spreads/cid/972/974","Dr. Oetker FunFoods Veg Thousand Island Sandwich Spread","225 g","₹85","","","21 mins","ADD","","","",""
"1775667868-27","https://blinkit.com/cn/sauces-spreads/jam-spreads/cid/972/974","Wingreens Farms Tandoori Flavoured Mayonnaise","400 g","₹140","₹164","14%
OFF","21 mins","ADD","","","",""
"1775667868-28","https://blinkit.com/cn/sauces-spreads/jam-spreads/cid/972/974","Chabaa Blueberry Fruit Jam","430 g","₹250","₹275","9%
OFF","21 mins","ADD","","","",""
"1775667868-29","https://blinkit.com/cn/sauces-spreads/jam-spreads/cid/972/974","Dr. Oetker FunFoods Chocolate Milk Spread","450 g","₹199","₹245","18%
OFF","21 mins","ADD","","","",""
"1775667868-30","https://blinkit.com/cn/sauces-spreads/jam-spreads/cid/972/974","Dr. Oetker Funfoods Veg Mayonnaise De'lite","750 g","₹152","₹177","14%
OFF","21 mins","ADD","","","",""
"1775667868-31","https://blinkit.com/cn/sauces-spreads/jam-spreads/cid/972/974","Hellmann's Roasted Garlic Mayonnaise","85 g","₹41","₹46","10%
OFF","21 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d356ff95-dbac-40fa-b543-6b654d8b5480.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667868-32","https://blinkit.com/cn/sauces-spreads/jam-spreads/cid/972/974","Wingreens Farms Premium Veg Mayonnaise","800 g","₹163","₹234","30%
OFF","21 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775048805727-41.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667868-33","https://blinkit.com/cn/sauces-spreads/jam-spreads/cid/972/974","Beanly Choco Hazelnut Spread with Breadsticks","52 g","₹99","₹133","25%
OFF","21 mins","ADD","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2a55bb8b-bf09-454b-9233-cc00404c6a5c.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
