web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2
"1775667911-1","https://blinkit.com/cn/sauces-spreads/tomato-chilli-ketchup/cid/972/277","Kissan Fresh Tomato Ketchup","1.1 kg","₹106","₹140","24%
OFF","20 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d2adacad-53ad-4e61-b90e-8de1177caf82.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667911-2","https://blinkit.com/cn/sauces-spreads/tomato-chilli-ketchup/cid/972/277","Kissan Sweet & Spicy Chilli Ketchup","415 g","₹69","₹75","8%
OFF","20 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/86cf6c77-8d3e-43fc-b7f9-bf8fafb3d0c0.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667911-3","https://blinkit.com/cn/sauces-spreads/tomato-chilli-ketchup/cid/972/277","Maggi Hot & Sweet Tomato Chilli Ketchup 200 g","200 g","₹75","","","20 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e5b2c171-702c-42f4-a4da-bd78d8b6a6f0.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667911-4","https://blinkit.com/cn/sauces-spreads/tomato-chilli-ketchup/cid/972/277","Kissan Tomato Ketchup","850 g","₹93","","","20 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770013136174-432.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667911-5","https://blinkit.com/cn/sauces-spreads/tomato-chilli-ketchup/cid/972/277","Maggi Hot & Sweet Tomato Chilli Ketchup 1 kg","1 kg","₹153","₹178","14%
OFF","20 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/5679662b-1fee-4818-871f-d3e8cdb876a2.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667911-6","https://blinkit.com/cn/sauces-spreads/tomato-chilli-ketchup/cid/972/277","Veeba Chef's Special Tomato Ketchup","900 g","₹79","₹113","30%
OFF","20 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f4d92a48-68a6-4304-9bbf-a58f2374e06b.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667911-7","https://blinkit.com/cn/sauces-spreads/tomato-chilli-ketchup/cid/972/277","Maggi Rich Tomato Ketchup","190 g","₹70","","","20 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/34a79519-548d-4b92-b8a4-75856750cf3f.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667911-8","https://blinkit.com/cn/sauces-spreads/tomato-chilli-ketchup/cid/972/277","Kissan Tomato Ketchup (No Onion & Garlic) - Doy Pack","850 g","₹109","₹120","9%
OFF","20 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773396100077-299.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667911-9","https://blinkit.com/cn/sauces-spreads/tomato-chilli-ketchup/cid/972/277","Heinz Tomato Ketchup","435 g","₹145","₹155","6%
OFF","20 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/74dbb80f-ee4b-4642-8071-9a52f0372c68.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667911-10","https://blinkit.com/cn/sauces-spreads/tomato-chilli-ketchup/cid/972/277","Ching's Secret Red Chilli Sauce + Ching's Secret Green Chilli Sauce + Ching's Secret Superior Dark Soy Sauce Combo","190 g + 200 g + 210 g","₹147","₹172","14%
OFF","20 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a1274672-effc-430e-911f-26bc9c528a91.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
