web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2
"1775584975-1","https://blinkit.com/cn/dairy-breakfast/lassi-shakes-more/cid/14/1184","Sunfeast Breakfast Smoothie - 6g Protein (No Added Sugar)","160 ml","₹43","₹45","","ADD","24 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770806694471-368.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775584975-2","https://blinkit.com/cn/dairy-breakfast/lassi-shakes-more/cid/14/1184","Amul Lactose Free Milk","250 ml","₹25","","","ADD","24 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/87c1c525-750e-475f-91d1-f155026ddaa1.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775584975-3","https://blinkit.com/cn/dairy-breakfast/lassi-shakes-more/cid/14/1184","Amul Masti Spiced Salted Buttermilk","200 ml","₹15","","","ADD","24 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/76a28c0d-0821-40a3-9e5f-8f073ddc5694.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775584975-4","https://blinkit.com/cn/dairy-breakfast/lassi-shakes-more/cid/14/1184","Amul Sweet Lassi","200 ml","₹20","","","ADD","24 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/b4a29aa1-1585-451e-afee-130cd0c29849.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775584975-5","https://blinkit.com/cn/dairy-breakfast/lassi-shakes-more/cid/14/1184","Amul Kool Badam Milkshake","200 ml","₹40","","","ADD","24 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/0c03fbe5-0cc7-4e7d-9c99-bc04bca15cba.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775584975-6","https://blinkit.com/cn/dairy-breakfast/lassi-shakes-more/cid/14/1184","Amul Masti Spiced Salted Buttermilk","1 ltr","₹70","","","ADD","24 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/3d370640-0a74-4edf-a12e-fb987d7c9835.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775584975-7","https://blinkit.com/cn/dairy-breakfast/lassi-shakes-more/cid/14/1184","Aashirvaad Svasti Mango Lassi","130 ml","₹10","","","ADD","24 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/861618a5-b1fa-49f4-b197-55f9832b7d2f.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775584975-8","https://blinkit.com/cn/dairy-breakfast/lassi-shakes-more/cid/14/1184","Amul Kool Kesar Flavoured Milk","180 ml","₹25","","","ADD","24 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d991a261-ae1a-483f-8c1c-a25b4e1916bb.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775584975-9","https://blinkit.com/cn/dairy-breakfast/lassi-shakes-more/cid/14/1184","Amul Sweet Lassi Tetra Pack (250 ml)","250 ml","₹25","","","ADD","24 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/3fa41b74-67b4-4303-b4c4-cd83599f8c20.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775584975-10","https://blinkit.com/cn/dairy-breakfast/lassi-shakes-more/cid/14/1184","Yakult Probiotic Drink","5 x 65 ml","₹90","","","ADD","24 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/57862459-07c7-4639-a94a-d913da5b00c7.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775584975-11","https://blinkit.com/cn/dairy-breakfast/lassi-shakes-more/cid/14/1184","Amul Lassi","150 ml","₹10","","","ADD","24 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/b060f474-96c2-4018-84ec-090c16094bbe.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775584975-12","https://blinkit.com/cn/dairy-breakfast/lassi-shakes-more/cid/14/1184","Amul Kool Cafe Milk 'n' Coffee Flavoured Milk (Can)","200 ml","₹35","","","ADD","24 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/66751334-2a0b-4f91-823a-bb76fc79363f.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775584975-13","https://blinkit.com/cn/dairy-breakfast/lassi-shakes-more/cid/14/1184","Joi Farm Original Probiotic Sweet Lassi","200 ml","₹30","","","ADD","24 mins","","",""
"1775584975-14","https://blinkit.com/cn/dairy-breakfast/lassi-shakes-more/cid/14/1184","Yakult Light Probiotic Drink","5 x 65 ml","₹100","","","ADD","24 mins","","",""
"1775584975-15","https://blinkit.com/cn/dairy-breakfast/lassi-shakes-more/cid/14/1184","Joi Farm Mango Lassi","200 ml","₹40","","","ADD","24 mins","","",""
