web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2
"1775588548-1","https://blinkit.com/cn/vegetables-fruits/leafies-herbs/cid/1487/1871","Curry Leaves (Curry Pata)","50 g","₹13","₹15","13%
OFF","16 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/32952877-6299-40a6-8ade-4095cd02667a.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775588548-2","https://blinkit.com/cn/vegetables-fruits/leafies-herbs/cid/1487/1871","Betel Leaves (Paan Patta)","5 pcs","₹19","₹23","17%
OFF","16 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773548322922-73.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775588548-3","https://blinkit.com/cn/vegetables-fruits/leafies-herbs/cid/1487/1871","Parsley","25 g","₹23","₹26","11%
OFF","16 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d0c1f11e-2712-491c-b000-68b843d7f0af.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775588548-4","https://blinkit.com/cn/vegetables-fruits/leafies-herbs/cid/1487/1871","Fresh Rosemary","10 g","₹19","₹23","17%
OFF","16 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/9a62d210-fe63-4e96-9b1e-f6d6f8bdc87a.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775588548-5","https://blinkit.com/cn/vegetables-fruits/leafies-herbs/cid/1487/1871","Celery","100 g","₹23","₹27","14%
OFF","16 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/552d7dd2-7964-47a6-adad-88a62b46cbe1.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775588548-6","https://blinkit.com/cn/vegetables-fruits/leafies-herbs/cid/1487/1871","Bottle Gourd Saag (Lau Saag)","250 g","₹15","₹17","11%
OFF","16 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/01a6da7a-1a7e-4e0e-af15-d61d1499c8b3.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775588548-7","https://blinkit.com/cn/vegetables-fruits/leafies-herbs/cid/1487/1871","Kaffir Lime Leaves (Makroot) (Lime Pata (Makroot))","10 g","₹19","₹23","17%
OFF","16 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/82fc4b73-cedd-4ff6-ad8f-7c3d2ffdcd23.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775588548-8","https://blinkit.com/cn/vegetables-fruits/leafies-herbs/cid/1487/1871","Maan Kochu","250 g","₹13","₹15","13%
OFF","16 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/60eefc3b-c757-41b1-9ee1-198bfa5e266a.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775588548-9","https://blinkit.com/cn/vegetables-fruits/leafies-herbs/cid/1487/1871","Lemongrass","100 g","₹27","₹32","15%
OFF","16 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/93566c6a-65f5-4a86-86cb-3e405dd7b63c.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775588548-10","https://blinkit.com/cn/vegetables-fruits/leafies-herbs/cid/1487/1871","Banana Leaf (Kacha Kola)","1 pc","₹11","₹12","8%
OFF","16 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e7450f88-5f16-462e-ac91-b187b99231ad.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775588548-11","https://blinkit.com/cn/vegetables-fruits/leafies-herbs/cid/1487/1871","Giloy Stick","25 g","₹7","₹8","12%
OFF","16 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ec428cd3-7c87-4bb0-afa3-26a356ae3c25.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775588548-12","https://blinkit.com/cn/vegetables-fruits/leafies-herbs/cid/1487/1871","Rocket Leaves (Arugula)","50 g","₹22","₹25","12%
OFF","16 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/5ea0b29f-1601-4895-a3c5-0e92e2c62c5d.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
