web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2
"1775667781-1","https://blinkit.com/cn/sauces-spreads/mayonnaise/cid/972/625","Hellmann's Smoky Tandoori Veg Mayonnaise","85 g","₹41","₹46","10%
OFF","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/334d8a9f-0886-4958-8c2b-32f2821418d3.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667781-2","https://blinkit.com/cn/sauces-spreads/mayonnaise/cid/972/625","Dr. Oetker FunFoods Veg Mayonnaise Original","100 g","₹46","","","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/12852376-d385-4d91-aff8-e6629bc7a49e.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667781-3","https://blinkit.com/cn/sauces-spreads/mayonnaise/cid/972/625","Hellmann's Real Mayonnaise","250 g","₹81","₹90","10%
OFF","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770013136174-444.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667781-4","https://blinkit.com/cn/sauces-spreads/mayonnaise/cid/972/625","Hellmann's Creamy Mayonnaise","85 g","₹38","","","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ae9eba99-85d9-4f40-a188-de1e428b2e22.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667781-5","https://blinkit.com/cn/sauces-spreads/mayonnaise/cid/972/625","Hellmann's Cheesy Jalapeno Burst Mayonnaise","85 g","₹41","₹46","10%
OFF","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/18086805-8531-47f7-9a04-739ecdacbfdb.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667781-6","https://blinkit.com/cn/sauces-spreads/mayonnaise/cid/972/625","Dr. Oetker FunFoods Veg Mayonnaise Original","250 g","₹93","","","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f83f71e0-75f9-4f6c-8f49-910d93f2c98b.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667781-7","https://blinkit.com/cn/sauces-spreads/mayonnaise/cid/972/625","Wingreens Farms Premium Veg Mayonnaise","800 g","₹163","₹234","30%
OFF","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775048805727-41.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667781-8","https://blinkit.com/cn/sauces-spreads/mayonnaise/cid/972/625","Hellmann's Roasted Garlic Mayonnaise","85 g","₹41","₹46","10%
OFF","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d356ff95-dbac-40fa-b543-6b654d8b5480.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667781-9","https://blinkit.com/cn/sauces-spreads/mayonnaise/cid/972/625","Hellmann's Veg Mayonnaise","775 g","₹170","₹190","10%
OFF","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770013136174-358.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667781-10","https://blinkit.com/cn/sauces-spreads/mayonnaise/cid/972/625","Dr. Oetker FunFoods Veg Mayonnaise Original","800 g","₹169","₹187","9%
OFF","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/0062feaa-c8dc-4e83-b34f-2f9ee6f72137.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667781-11","https://blinkit.com/cn/sauces-spreads/mayonnaise/cid/972/625","Dr. Oetker FunFoods Egg Mayonnaise Classic","245 g","₹93","","","27 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/785a90c1-90e5-4f95-9825-a3dcf7dd84df.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667781-12","https://blinkit.com/cn/sauces-spreads/mayonnaise/cid/972/625","Dr. Oetker FunFoods Burger Mayonnaise","250 g","₹93","","","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ccaa7854-03d5-4b87-8b97-01766303fcca.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667781-13","https://blinkit.com/cn/sauces-spreads/mayonnaise/cid/972/625","Wingreens Farms Premium Veg Mayonnaise","180 g","₹46","₹70","34%
OFF","27 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775048805727-348.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667781-14","https://blinkit.com/cn/sauces-spreads/mayonnaise/cid/972/625","Wingreens Farms Tandoori - Flavoured Mayonnaise","180 g","₹67","₹70","","27 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/b7fc8ef3-a34d-4b07-846f-03224132fc94.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667781-15","https://blinkit.com/cn/sauces-spreads/mayonnaise/cid/972/625","Dr. Oetker FunFoods Tandoori Mayonnaise","250 g","₹93","","","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e142e3aa-e3a6-4c4a-a0ba-28fbfbbf11bf.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667781-16","https://blinkit.com/cn/sauces-spreads/mayonnaise/cid/972/625","Wingreens Farms Tandoori Flavoured Mayonnaise","400 g","₹140","₹164","14%
OFF","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8e2dadae-8045-4d6e-b97a-ea1855ea6b80.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667781-17","https://blinkit.com/cn/sauces-spreads/mayonnaise/cid/972/625","Dr. Oetker Funfoods Veg Mayonnaise De'lite","750 g","₹152","₹177","14%
OFF","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c79394d1-e1b9-4779-ac1c-8a03ebaf6d49.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667781-18","https://blinkit.com/cn/sauces-spreads/mayonnaise/cid/972/625","Del Monte Eggless Mayonnaise","850 g","₹169","₹186","9%
OFF","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/5c686161-1377-4d3c-a686-0d35325833b1.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667781-19","https://blinkit.com/cn/sauces-spreads/mayonnaise/cid/972/625","Veeba Cheesy Pasta Sauce Creamy Alfredo","250 g","₹107","₹125","14%
OFF","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/9032e49b-299f-4b69-bf26-adcdc9828b56.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667781-20","https://blinkit.com/cn/sauces-spreads/mayonnaise/cid/972/625","Veeba Chef's Special Veg Mayonnaise","875 g","₹146","₹210","30%
OFF","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/0a163668-28ba-4e04-8b5f-c5e00e301af3.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667781-21","https://blinkit.com/cn/sauces-spreads/mayonnaise/cid/972/625","Veeba Veg Mayonnaise","250 g","₹72","₹93","22%
OFF","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/819cd93d-45de-4d6a-a78a-5589bc6027b4.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667781-22","https://blinkit.com/cn/sauces-spreads/mayonnaise/cid/972/625","Veeba Veg Tandoori Flavoured Mayonnaise","250 g","₹85","₹102","16%
OFF","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/3791ca74-417e-4378-81e8-fbb0cffda157.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667781-23","https://blinkit.com/cn/sauces-spreads/mayonnaise/cid/972/625","Nutralite Eggless Mayonnaise","300 g","₹88","₹107","17%
OFF","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/18f44cfe-0b94-4165-9540-1304678aacc1.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667781-24","https://blinkit.com/cn/sauces-spreads/mayonnaise/cid/972/625","Wingreens Farms Chipotle Flavoured Mayonnaise","180 g","₹67","₹70","","27 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775048805727-324.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667781-25","https://blinkit.com/cn/sauces-spreads/mayonnaise/cid/972/625","Dr. Oetker FunFoods Veg Garlic Mayonnaise","250 g","₹93","","","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/64b9e41a-2c84-48a5-bc18-7ad60a7c59eb.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667781-26","https://blinkit.com/cn/sauces-spreads/mayonnaise/cid/972/625","Wingreens Farms Chipotle Mayonnaise + Tandoori Mayonnaise Combo","180 g + 180 g","₹126","₹140","10%
OFF","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ecdf5cb2-ce8a-4d2c-8444-f27f252be2b1.jpg","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667781-27","https://blinkit.com/cn/sauces-spreads/mayonnaise/cid/972/625","Wingreens Farms Burger Regular Mayonnaise","450 g","₹180","₹199","9%
OFF","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775048805727-376.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667781-28","https://blinkit.com/cn/sauces-spreads/mayonnaise/cid/972/625","Repeat Gud Vegan Mayonnaise","180 g","₹235","","","23 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/936b0e8f-1a6b-425b-a6ca-60af52b8a37e.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667781-29","https://blinkit.com/cn/sauces-spreads/mayonnaise/cid/972/625","Wingreens Farms Mint Flavoured Mayonnaise +  Tandoori Sauce Combo","180 g + 180 g","₹183","₹203","9%
OFF","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/be214850-faad-47a2-b7b3-b4620cb1e8ac.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667781-30","https://blinkit.com/cn/sauces-spreads/mayonnaise/cid/972/625","Repeat Gud Tandoori Mayonnaise","180 g","₹255","","","23 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7d8eb321-4abb-4d72-8cbb-aec5354bb252.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667781-31","https://blinkit.com/cn/sauces-spreads/mayonnaise/cid/972/625","Wingreens Farms Mint Flavoured Mayonnaise","180 g","₹106","₹111","","27 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775048805727-297.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667781-32","https://blinkit.com/cn/sauces-spreads/mayonnaise/cid/972/625","Wingreens Farms Chipotle Flavoured Mayonnaise +  Thousand Island Salad Dressing Combo","180 g + 180 g","₹138","₹150","Out of Stock","27 mins","","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/bc2050d4-0e57-4e38-8645-dcb5a910c0dc.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667781-33","https://blinkit.com/cn/sauces-spreads/mayonnaise/cid/972/625","Wingreens Farms Tandoori Flavoured Mayonnaise +  Thousand Island Salad Dressing Combo","180 g + 180 g","₹131","₹145","Out of Stock","27 mins","","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/4dcce7d1-60c7-4a89-9691-f80744699996.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667781-34","https://blinkit.com/cn/sauces-spreads/mayonnaise/cid/972/625","Wingreens Farms Garlic Aioli Flavoured Mayonnaise - Pack of 2","2 x 180 g","₹205","₹238","Out of Stock","27 mins","","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/6153fa77-df45-423e-ac99-af0882499ea5.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
