web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2,image3
"1775704193-1","https://blinkit.com/cn/personal-care/mens-grooming/cid/163/692","Gatsby Japan Hair Powder Clay","20 g","₹399","","","ADD","21 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/5d045a16-9f90-437c-8016-4e0ebd594931.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775704193-2","https://blinkit.com/cn/personal-care/mens-grooming/cid/163/692","Old Spice Original Shaving Cream","70 g","₹71","","","ADD","16 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d55de596-8b02-4a69-8d9f-fd44b78a8e16.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775704193-3","https://blinkit.com/cn/personal-care/mens-grooming/cid/163/692","Gillette Sensitive Shaving Foam","418 g","₹290","","","ADD","16 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772776645620-659.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775704193-4","https://blinkit.com/cn/personal-care/mens-grooming/cid/163/692","CrystalPure Alum","100 g","₹100","₹109","8%
OFF","ADD","16 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/afcb5659-c6bf-4ae7-9d18-ab4820dd5e0b.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775704193-5","https://blinkit.com/cn/personal-care/mens-grooming/cid/163/692","Bombay Shaving Company Beard Colour (Natural Black)","60 ml","₹350","₹450","22%
OFF","ADD","21 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/96aa5512-48a1-45e8-b78c-029225819f4c.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775704193-6","https://blinkit.com/cn/personal-care/mens-grooming/cid/163/692","Gillette Presto 2-Blade Smoother Shaving Men's Razor","5 pcs","₹110","","","ADD","16 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773899178867-7.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775704193-7","https://blinkit.com/cn/personal-care/mens-grooming/cid/163/692","Gillette Regular Shaving Foam (50 g)","50 g","₹95","","","ADD","16 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1dee3676-4682-4a62-a51e-2b9f3814ca2f.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775704193-8","https://blinkit.com/cn/personal-care/mens-grooming/cid/163/692","Gillette Mach 3 Men's Razor Cartridge","2 pcs","₹349","","","ADD","16 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/4224db78-6e05-4ce4-8652-3819bfefbe7d.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775704193-9","https://blinkit.com/cn/personal-care/mens-grooming/cid/163/692","ForMen Foam Based Intimate Wash","100 ml","₹269","₹300","10%
OFF","ADD","21 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/61a0bdaf-fa54-400f-816e-ec7e914a082b.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775704193-10","https://blinkit.com/cn/personal-care/mens-grooming/cid/163/692","Gillette Sensitive Skin Shaving Gel with Aloe","60 g","₹99","","","ADD","16 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/275b73f9-da9c-42c9-bb20-526d04dc3ab4.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
