web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775625217-1","https://blinkit.com/cn/tea-coffee-health-drinks/milk-drinks/cid/12/960","Bournvita Zero Added Sugar Drink Mix","500 g","₹261","₹307","14%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774802324726-150.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625217-2","https://blinkit.com/cn/tea-coffee-health-drinks/milk-drinks/cid/12/960","Horlicks Classic Malt Drink Mix Jar","500 g","₹245","","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/3c868907-840f-4368-97e1-6836a883f101.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625217-3","https://blinkit.com/cn/tea-coffee-health-drinks/milk-drinks/cid/12/960","Yakult Probiotic Drink","5 x 65 ml","₹90","","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/57862459-07c7-4639-a94a-d913da5b00c7.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625217-4","https://blinkit.com/cn/tea-coffee-health-drinks/milk-drinks/cid/12/960","Nestle Lactogrow Nutritious Kids Milk Drink (Biscuity Vanilla Flavour (2 - 6 years))","400 g","₹300","₹375","20%
OFF","ADD","10 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/26be904b-8dc7-4a70-8f13-35f02a77afec.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625217-5","https://blinkit.com/cn/tea-coffee-health-drinks/milk-drinks/cid/12/960","Horlicks Women's Plus Chocolate Flavour Drink Mix","400 g","₹329","₹349","5%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2e9fd32f-ffeb-4190-bdee-762056984715.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625217-6","https://blinkit.com/cn/tea-coffee-health-drinks/milk-drinks/cid/12/960","Horlicks Diabetes Plus Drink Mix","400 g","₹645","₹768","16%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772726001948-110.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625217-7","https://blinkit.com/cn/tea-coffee-health-drinks/milk-drinks/cid/12/960","Yakult Light Probiotic Drink","5 x 65 ml","₹100","","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/31a7e4d7-093c-45da-9190-660d202d989d.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625217-8","https://blinkit.com/cn/tea-coffee-health-drinks/milk-drinks/cid/12/960","Horlicks Classic Malt Drink Mix","750 g","₹313","₹405","22%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/276a5c4f-ef2b-483a-9ef0-10f4bbd3870a.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625217-9","https://blinkit.com/cn/tea-coffee-health-drinks/milk-drinks/cid/12/960","Horlicks Women's Plus Caramel Drink Mix (Jar)","400 g","₹309","₹329","6%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/bfc712e3-d1bc-4e71-af6a-c24071ed3404.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625217-10","https://blinkit.com/cn/tea-coffee-health-drinks/milk-drinks/cid/12/960","Horlicks Lite, Regular Malt Drink Mix","450 g","₹294","₹310","5%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/94b0b82d-5e7b-4756-8b5f-be2079cf69fd.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
