web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2
"1775678415-1","https://blinkit.com/cn/pharma-wellness/milk-drinks/cid/287/960","Nestle Milo RTD Malt Drink with Millets","180 ml","₹34","₹42","19%
OFF","ADD","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/63c2f85b-c6e3-4455-a587-dc48b857376a.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775678415-2","https://blinkit.com/cn/pharma-wellness/milk-drinks/cid/287/960","Horlicks Classic Malt Drink Mix Jar","500 g","₹245","","","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/3c868907-840f-4368-97e1-6836a883f101.png",""
"1775678415-3","https://blinkit.com/cn/pharma-wellness/milk-drinks/cid/287/960","Yakult Probiotic Drink","5 x 65 ml","₹90","","","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/57862459-07c7-4639-a94a-d913da5b00c7.png",""
"1775678415-4","https://blinkit.com/cn/pharma-wellness/milk-drinks/cid/287/960","Horlicks Diabetes Plus Drink Mix","400 g","₹645","₹768","16%
OFF","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772726001948-110.png",""
"1775678415-5","https://blinkit.com/cn/pharma-wellness/milk-drinks/cid/287/960","Yakult Light Probiotic Drink","5 x 65 ml","₹100","","","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/31a7e4d7-093c-45da-9190-660d202d989d.png",""
"1775678415-6","https://blinkit.com/cn/pharma-wellness/milk-drinks/cid/287/960","Horlicks Classic Malt Drink Mix","750 g","₹313","₹405","22%
OFF","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/276a5c4f-ef2b-483a-9ef0-10f4bbd3870a.png",""
"1775678415-7","https://blinkit.com/cn/pharma-wellness/milk-drinks/cid/287/960","Complan Royale Chocolate Drink Mix (1 kg)","1 kg","₹531","₹577","7%
OFF","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770268707653-175.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775678415-8","https://blinkit.com/cn/pharma-wellness/milk-drinks/cid/287/960","Horlicks Lite, Regular Malt Drink Mix","450 g","₹294","₹310","5%
OFF","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/94b0b82d-5e7b-4756-8b5f-be2079cf69fd.png",""
"1775678415-9","https://blinkit.com/cn/pharma-wellness/milk-drinks/cid/287/960","Bournvita Chocolate Drink Mix (Pouch)","500 g","₹241","₹249","","ADD","4 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774802324726-30.png",""
"1775678415-10","https://blinkit.com/cn/pharma-wellness/milk-drinks/cid/287/960","Ensure Adult Milk Drink","375 g","₹617","₹710","13%
OFF","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/32ccb15e-f388-4098-a221-744469d09020.png",""
"1775678415-11","https://blinkit.com/cn/pharma-wellness/milk-drinks/cid/287/960","Gritzo SuperMilk Boy Growth+ Drink Mix (7 - 12 years, Double Chocolate)","400 g","₹849","","","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/00b8f778-4e07-40c5-9f22-8424831edfb8.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775678415-12","https://blinkit.com/cn/pharma-wellness/milk-drinks/cid/287/960","Complan Royale Chocolate Drink Mix (500 g)","500 g","₹294","₹306","","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770268707653-148.png",""
"1775678415-13","https://blinkit.com/cn/pharma-wellness/milk-drinks/cid/287/960","Horlicks Women's Plus Chocolate Drink Mix","400 g","₹300","₹309","","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/01998cc3-a59e-4f4c-8daa-bba34fba6fad.png",""
"1775678415-14","https://blinkit.com/cn/pharma-wellness/milk-drinks/cid/287/960","Horlicks Women's Plus Caramel Drink Mix (Jar)","400 g","₹309","₹329","6%
OFF","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/bfc712e3-d1bc-4e71-af6a-c24071ed3404.png",""
"1775678415-15","https://blinkit.com/cn/pharma-wellness/milk-drinks/cid/287/960","Amul Pro Chocolate Drink","500 g","₹165","","","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a1a9650e-5838-4d61-b4cb-a859c3e3549a.png",""
"1775678415-16","https://blinkit.com/cn/pharma-wellness/milk-drinks/cid/287/960","Gritzo SuperMilk Boy Growth+ Drink Mix (13+ Years, Double Chocolate)","400 g","₹899","","","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/02830a6a-6a47-43db-b437-c9d3c906e323.png",""
"1775678415-17","https://blinkit.com/cn/pharma-wellness/milk-drinks/cid/287/960","Gritzo SuperMilk Girl Growth+ Drink Mix (7 - 9 years, Double Chocolate)","400 g","₹719","","","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/4cce769c-f976-49fb-b360-e6047dc6f37b.png",""
"1775678415-18","https://blinkit.com/cn/pharma-wellness/milk-drinks/cid/287/960","Gritzo SuperMilk Girl Growth+ Drink Mix (13+ years, Double Chocolate)","400 g","₹899","","","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/71c725fe-9316-4e85-a0a3-dd7b98dde298.png",""
"1775678415-19","https://blinkit.com/cn/pharma-wellness/milk-drinks/cid/287/960","Gritzo Supermilk Overall Growth with 6 g Protein Drink Mix (Double Chocolate, 2-6 years)","400 g","₹699","","","ADD","","",""
"1775678415-20","https://blinkit.com/cn/pharma-wellness/milk-drinks/cid/287/960","Gritzo Boy & Girl Growth+ Drink Mix (2 - 6 years, Double Chocolate)","400 g","₹749","","","ADD","","",""
"1775678415-21","https://blinkit.com/cn/pharma-wellness/milk-drinks/cid/287/960","Ensure Diabetes Care Milk Drink Mix","375 g","₹791","₹920","14%
OFF","ADD","","",""
"1775678415-22","https://blinkit.com/cn/pharma-wellness/milk-drinks/cid/287/960","Ensure Vanilla Drink Mix (1 kg)","1 kg","₹1,410","₹1,650","14%
OFF","ADD","","",""
"1775678415-23","https://blinkit.com/cn/pharma-wellness/milk-drinks/cid/287/960","Ensure Diabetes Care Drink Mix - Vanilla Delight","950 g","₹1,811","₹2,105","13%
OFF","ADD","","",""
"1775678415-24","https://blinkit.com/cn/pharma-wellness/milk-drinks/cid/287/960","Horlicks Classic Malt Malt Drink Mix","1 kg","₹399","","","ADD","","",""
"1775678415-25","https://blinkit.com/cn/pharma-wellness/milk-drinks/cid/287/960","Protinex Diabetes Care Drink Mix Creamy Vanilla","400 g","₹559","₹675","17%
OFF","ADD","2 options","",""
"1775678415-26","https://blinkit.com/cn/pharma-wellness/milk-drinks/cid/287/960","Complan Kesar Badam Drink Mix","500 g","₹320","₹333","","ADD","","",""
"1775678415-27","https://blinkit.com/cn/pharma-wellness/milk-drinks/cid/287/960","PediaSure Premium Chocolate Drink Mix (Refill)","375 g","₹648","₹685","5%
OFF","ADD","","",""
"1775678415-28","https://blinkit.com/cn/pharma-wellness/milk-drinks/cid/287/960","Complan Creamy Classic Drink Mix","500 g","₹281","₹292","","ADD","2 options","",""
"1775678415-29","https://blinkit.com/cn/pharma-wellness/milk-drinks/cid/287/960","Nestle NANGROW Nutritious Milk Drink Creamy Vanilla for Growing Children (2 - 6 years)","400 g","₹536","₹595","9%
OFF","ADD","","",""
"1775678415-30","https://blinkit.com/cn/pharma-wellness/milk-drinks/cid/287/960","Protinex Adults Drink Mix (Creamy Vanilla Flavour)","400 g","₹496","₹599","17%
OFF","ADD","2 options","",""
"1775678415-31","https://blinkit.com/cn/pharma-wellness/milk-drinks/cid/287/960","Amul Pro Chocolate Drink","500 g","₹165","","","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a1a9650e-5838-4d61-b4cb-a859c3e3549a.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775678415-32","https://blinkit.com/cn/pharma-wellness/milk-drinks/cid/287/960","Gritzo SuperMilk Boy Growth+ Drink Mix (13+ Years, Double Chocolate)","400 g","₹899","","","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/02830a6a-6a47-43db-b437-c9d3c906e323.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775678415-33","https://blinkit.com/cn/pharma-wellness/milk-drinks/cid/287/960","Gritzo SuperMilk Girl Growth+ Drink Mix (7 - 9 years, Double Chocolate)","400 g","₹719","","","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/4cce769c-f976-49fb-b360-e6047dc6f37b.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775678415-34","https://blinkit.com/cn/pharma-wellness/milk-drinks/cid/287/960","Gritzo SuperMilk Girl Growth+ Drink Mix (13+ years, Double Chocolate)","400 g","₹899","","","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/71c725fe-9316-4e85-a0a3-dd7b98dde298.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775678415-35","https://blinkit.com/cn/pharma-wellness/milk-drinks/cid/287/960","Gritzo Supermilk Overall Growth with 6 g Protein Drink Mix (Double Chocolate, 2-6 years)","400 g","₹699","","","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770619374221-131.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
