web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2
"1775626111-1","https://blinkit.com/cn/atta-rice-dal/millet-other-flours/cid/16/48","Poshilo Nutri Instant Mix Sattu","750 g","₹599","₹900","33%
OFF","10 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a1a1d68b-03f7-4814-993a-bd0b734d997b.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626111-2","https://blinkit.com/cn/atta-rice-dal/millet-other-flours/cid/16/48","Ganesh Chana Sattu","500 g","₹79","₹89","11%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774938214608-44.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626111-3","https://blinkit.com/cn/atta-rice-dal/millet-other-flours/cid/16/48","Satyendra Sattu","200 g","₹37","","","12 mins","ADD","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2b2be8f8-68eb-48af-81b1-799d69f9aef5.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626111-4","https://blinkit.com/cn/atta-rice-dal/millet-other-flours/cid/16/48","Ganesh Sattu","200 g","₹32","₹36","11%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774944833006-43.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626111-5","https://blinkit.com/cn/atta-rice-dal/millet-other-flours/cid/16/48","Weikfield Corn Flour (Starch) -Gluten Free (Corn Gura (Starch))","500 g","₹84","₹89","5%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/482eb3a0-a2c5-4eea-8992-a8101c3601f0.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626111-6","https://blinkit.com/cn/atta-rice-dal/millet-other-flours/cid/16/48","Whole Farm Premium Chana Sattu","500 g","₹57","₹120","52%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/54d6460e-357e-47c2-b62e-e35d13afe1b8.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626111-7","https://blinkit.com/cn/atta-rice-dal/millet-other-flours/cid/16/48","Whole Farm Premium Corn Flour (Starch) (Corn Gura (Starch))","500 g","₹41","₹70","41%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a04fba27-e068-423b-b3cc-1be513ebf182.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626111-8","https://blinkit.com/cn/atta-rice-dal/millet-other-flours/cid/16/48","Ganesh Rice Flour (Chaaler Gura)","500 g","₹51","₹54","5%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1e7cee04-2b8f-4a15-91e1-e8410c61479f.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626111-9","https://blinkit.com/cn/atta-rice-dal/millet-other-flours/cid/16/48","Rajdhani Chana Sattu","500 g","₹78","₹99","21%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/cd0524c1-3613-4b99-9ce6-691929ebcfe7.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626111-10","https://blinkit.com/cn/atta-rice-dal/millet-other-flours/cid/16/48","Whole Farm Premium Ragi Flour (Ragi Gura)","500 g","₹61","₹80","23%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/920440d7-3782-48c4-a123-02c5ed284478.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
