web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2
"1775592765-1","https://blinkit.com/cn/munchies/makhana-more/cid/1237/816","Mukharochak Lite Chivda Namkeen","200 g","₹55","","","9 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8670aaef-b185-4a2e-a1fe-974d7b9318cf.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775592765-2","https://blinkit.com/cn/munchies/makhana-more/cid/1237/816","Farmley Cream & Onion Roasted Flavoured Makhana Roasted In Olive Oil (Swadisht Makhana)","20 g","₹49","₹50","","9 mins","ADD","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770262823137-218.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775592765-3","https://blinkit.com/cn/munchies/makhana-more/cid/1237/816","DNV Kalai Bori","100 g","₹40","₹45","11%
OFF","9 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d01000c4-a337-4731-b8af-d48cdcec1218.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775592765-4","https://blinkit.com/cn/munchies/makhana-more/cid/1237/816","Heka Bites Makhana","150 g","₹225","₹300","25%
OFF","9 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/77713d05-3212-48c7-8fa4-ee73bdd3a8ac.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775592765-5","https://blinkit.com/cn/munchies/makhana-more/cid/1237/816","MOM Roasted & Salted Cashew","48 g","₹88","₹99","11%
OFF","9 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/10fcdb82-bcd3-45d3-a2e9-b046851c0538.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775592765-6","https://blinkit.com/cn/munchies/makhana-more/cid/1237/816","Sweet Karam Coffee Nendran Banana Chips","65 g","₹60","₹64","6%
OFF","9 mins","ADD","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/5888ad83-e46f-4b51-8989-4dd9aa69a857.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775592765-7","https://blinkit.com/cn/munchies/makhana-more/cid/1237/816","Farmley Peri Peri Roasted Flavoured Makhana Roasted In Olive Oil (Swadisht Makhana)","20 g","₹49","₹50","","9 mins","ADD","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770262823137-207.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775592765-8","https://blinkit.com/cn/munchies/makhana-more/cid/1237/816","Farmley Makha Shaka Crisps - Masala Stix Healthy Snacks","33 g","₹29","₹30","","9 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770963085463-861.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775592765-9","https://blinkit.com/cn/munchies/makhana-more/cid/1237/816","MOM Dry Roasted Masala Kaju / Cashews","48 g","₹88","₹99","11%
OFF","9 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/38998930-e8d8-43b3-bc44-3ce05baed97a.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775592765-10","https://blinkit.com/cn/munchies/makhana-more/cid/1237/816","Mark Premium Roasted Peanuts (Moongfali)","200 g","₹99","₹100","","9 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/28aa05b3-2b44-4dd7-a685-85436222126a.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
