web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2
"1775676715-1","https://blinkit.com/cn/baby-care/mom-care-needs/cid/7/1967","Nua Disposable Maternity Period Panty","5 pcs","₹249","₹319","21%
OFF","14 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/be5d7b6f-858d-4891-9275-af2667480abd.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775676715-2","https://blinkit.com/cn/baby-care/mom-care-needs/cid/7/1967","Horlicks Mother's Plus Vanilla Drink Mix","400 g","₹565","₹579","","14 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/035167ad-8a2c-4547-9e9b-88c819559dde.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775676715-3","https://blinkit.com/cn/baby-care/mom-care-needs/cid/7/1967","LuvLap Ultra Thin Honeycomb Nursing Breast Pad","24 pcs","₹130","₹189","31%
OFF","14 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/85c0a7e2-ef10-4ee3-a360-eda9aaca6668.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775676715-4","https://blinkit.com/cn/baby-care/mom-care-needs/cid/7/1967","Vega Baby & Mom Nipple Shield (VBBF3-04)","2 pcs","₹299","","","14 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/33651014-8069-4a53-8812-a3260f12b8e2.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775676715-5","https://blinkit.com/cn/baby-care/mom-care-needs/cid/7/1967","Galact Choco Hazelnut Daily Nutrition Supplement Powder for Pregnant Women","400 g","₹375","₹749","49%
OFF","14 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/b39e7d4a-1f64-4609-ab45-d8aeb94539a3.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775676715-6","https://blinkit.com/cn/baby-care/mom-care-needs/cid/7/1967","Pee Safe Absorbent Maternity Nursing Pads","8 pcs","₹288","₹299","","14 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/3ed40e0d-f70d-496a-9f35-f751e750c01d.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775676715-7","https://blinkit.com/cn/baby-care/mom-care-needs/cid/7/1967","Littloo Ultra Thin Disposable Breast Pad","60 pcs","₹348","₹616","43%
OFF","30 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d5b92a7c-2f3a-488d-a498-b1e7d0ca5734.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775676715-8","https://blinkit.com/cn/baby-care/mom-care-needs/cid/7/1967","LuvLap Manual Breast Pump 3 Level Suction (200 ml)","1 pc","₹538","₹799","32%
OFF","30 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2d0bc5c8-cda3-4e11-acbb-7809cd30faa7.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775676715-9","https://blinkit.com/cn/baby-care/mom-care-needs/cid/7/1967","Pigeon Baby Comfy Feel Breast Pad","36 pcs","₹292","₹469","37%
OFF","30 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e47cb11f-c6ef-4e50-9077-a8757ce98e5f.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775676715-10","https://blinkit.com/cn/baby-care/mom-care-needs/cid/7/1967","Bio-Oil Skin Care Body Oil","125 ml","₹682","₹975","30%
OFF","30 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/85d3fffb-e5d5-4189-9289-092c77f7c630.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
