web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775626239-1","https://blinkit.com/cn/atta-rice-dal/moong-masoor/cid/16/505","Tata Sampann Unpolished Yellow Moong Dal (Dhuli) Split","₹99","₹107","7%
OFF","500 g","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/936427fc-590e-48c4-a71c-fb4d9aa8f49f.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626239-2","https://blinkit.com/cn/atta-rice-dal/moong-masoor/cid/16/505","Whole Farm Grocery Sona Moong Dal","₹77","₹140","45%
OFF","500 g","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/96be839b-867f-47a9-a3df-629dcefe8294.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626239-3","https://blinkit.com/cn/atta-rice-dal/moong-masoor/cid/16/505","Whole Farm Premium Masoor Dal","₹52","₹120","56%
OFF","500 g","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770112173380-163.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626239-4","https://blinkit.com/cn/atta-rice-dal/moong-masoor/cid/16/505","Tata Sampann Masoor Dal Unpolished","₹139","₹161","13%
OFF","1 kg","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/5ab30407-b8ae-4524-824c-d75c0da32020.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626239-5","https://blinkit.com/cn/atta-rice-dal/moong-masoor/cid/16/505","Tata Sampann Unpolished Green Moong (Sabut) Whole","₹92","₹99","7%
OFF","500 g","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/bf82bf32-1344-4b86-bc69-552e956b8dd3.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626239-6","https://blinkit.com/cn/atta-rice-dal/moong-masoor/cid/16/505","Basic Moong Dal (Dhuli)","₹113","₹180","37%
OFF","1 kg","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/21b2d69a-c40a-459c-ad41-40d528b08890.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626239-7","https://blinkit.com/cn/atta-rice-dal/moong-masoor/cid/16/505","Fortune Malka Masoor Unpolished","₹65","₹83","21%
OFF","500 g","12 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d0c64992-58ab-4a99-b60c-6a492db25b37.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626239-8","https://blinkit.com/cn/atta-rice-dal/moong-masoor/cid/16/505","Whole Farm Premium Moong (Sabut) Green","₹69","₹172","59%
OFF","500 g","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/acbaa2a7-2401-4747-9677-badd663d8589.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626239-9","https://blinkit.com/cn/atta-rice-dal/moong-masoor/cid/16/505","Tata Sampann Unpolished Green Moong Dal (Chilka)","₹94","₹101","6%
OFF","500 g","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/64941982-c72b-4a32-814f-dcd1831849cc.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626239-10","https://blinkit.com/cn/atta-rice-dal/moong-masoor/cid/16/505","Basic Malka Masoor","₹82","₹180","54%
OFF","1 kg","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/584912ff-b6fb-47ad-9392-8e68bbbfca5c.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
