web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775584216-1","https://blinkit.com/cn/dairy-breakfast/muesli-granola/cid/14/614","Kellogg's with 0% Added Sugar Muesli","500 g","₹270","₹370","27%
OFF","ADD","10 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774704212916-244.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584216-2","https://blinkit.com/cn/dairy-breakfast/muesli-granola/cid/14/614","Kellogg's Muesli Fruit, Nut & Seeds","750 g","₹364","₹489","25%
OFF","ADD","10 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a151f929-483e-4c38-9cbf-69864b8faa78.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584216-3","https://blinkit.com/cn/dairy-breakfast/muesli-granola/cid/14/614","Kellogg's Millet Breakfast Cereal Muesli","500 g","₹179","₹354","49%
OFF","ADD","10 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8194aee0-be93-4419-852e-20261c349943.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584216-4","https://blinkit.com/cn/dairy-breakfast/muesli-granola/cid/14/614","Kellogg's Fruit, Nut & Seeds Muesli","72 g","₹35","₹52","32%
OFF","ADD","10 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a14d2813-e161-4733-a844-959811b0c23b.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584216-5","https://blinkit.com/cn/dairy-breakfast/muesli-granola/cid/14/614","Kellogg's Muesli Nuts Delight, Breakfast Cereal","950 g","₹465","₹740","37%
OFF","ADD","10 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771396342029-177.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584216-6","https://blinkit.com/cn/dairy-breakfast/muesli-granola/cid/14/614","Kellogg's Muesli Fruit, Nut & Seeds","240 g","₹170","₹185","8%
OFF","ADD","10 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d2c7348e-fba6-40d3-a6b4-528f5aebe473.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584216-7","https://blinkit.com/cn/dairy-breakfast/muesli-granola/cid/14/614","Kellogg's Chocolate Muesli","450 g","₹268","₹355","24%
OFF","ADD","10 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/9c791a52-b810-4b26-be30-ad294466a30b.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584216-8","https://blinkit.com/cn/dairy-breakfast/muesli-granola/cid/14/614","Kellogg's Muesli Crunchy Granola Almond & Cranberries","450 g","₹290","₹380","23%
OFF","ADD","10 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773116238333-709.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584216-9","https://blinkit.com/cn/dairy-breakfast/muesli-granola/cid/14/614","Kellogg's Choco Millet Muesli","400 g","₹185","₹370","50%
OFF","ADD","10 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ebab6491-c08b-42ad-9612-2ce14036b1b6.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584216-10","https://blinkit.com/cn/dairy-breakfast/muesli-granola/cid/14/614","Tata Soulfull Millet Muesli With 0% Added Sugar, 97% Wholegrains Cereal","700 g","₹380","₹480","20%
OFF","ADD","10 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/6d87d50e-36bc-4389-8178-8014ca3a0ea7.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584216-11","https://blinkit.com/cn/dairy-breakfast/muesli-granola/cid/14/614","Bagrry's No Added Sugar Muesli (Fruits, Nuts & Seeds)","700 g","₹288","₹532","45%
OFF","ADD","10 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772169697746-956.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584216-12","https://blinkit.com/cn/dairy-breakfast/muesli-granola/cid/14/614","Bagrry's Crunchy Muesli 30% Fruit & Nut with Cranberries","750 g","₹310","₹480","35%
OFF","ADD","10 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771313685905-4682.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584216-13","https://blinkit.com/cn/dairy-breakfast/muesli-granola/cid/14/614","True Elements Fruit & Nut Crunch Muesli","700 g","₹255","₹440","42%
OFF","ADD","10 mins","2 options","","",""
"1775584216-14","https://blinkit.com/cn/dairy-breakfast/muesli-granola/cid/14/614","Tata Soulfull Millet Muesli With 90% Fruits, Nut & Wholegrain Cereal","700 g","₹357","₹489","26%
OFF","ADD","10 mins","","","",""
"1775584216-15","https://blinkit.com/cn/dairy-breakfast/muesli-granola/cid/14/614","True Elements Wholegrain Premium Quinoa","1 kg","₹223","₹650","65%
OFF","ADD","10 mins","2 options","","",""
"1775584216-16","https://blinkit.com/cn/dairy-breakfast/muesli-granola/cid/14/614","Yoga Bar High Protein Muesli Choco Almond & Cranberry with Probiotics","850 g","₹349","₹535","34%
OFF","ADD","10 mins","","","",""
