web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2
"1775592280-1","https://blinkit.com/cn/munchies/nachos/cid/1237/316","4700BC Pineapple Salsa Nachos -Made in Avocado Oil","60 g","₹56","₹60","6%
OFF","ADD","16 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773034390367-57.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775592280-2","https://blinkit.com/cn/munchies/nachos/cid/1237/316","Bingo Cheese Nachos with Free Dip","44.8 g","₹19","₹20","5%
OFF","ADD","16 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770904254890-325.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775592280-3","https://blinkit.com/cn/munchies/nachos/cid/1237/316","Doritos Sweet Chilli Flavour Nachos","75 g","₹39","₹48","18%
OFF","ADD","16 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/43f0ac75-1806-44c8-a337-88e409f9bc35.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775592280-4","https://blinkit.com/cn/munchies/nachos/cid/1237/316","Doritos Cheese Nachos","71 g","₹35","","","ADD","16 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e6f15a73-ea7c-49b5-944a-ad8ec2ddcd66.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775592280-5","https://blinkit.com/cn/munchies/nachos/cid/1237/316","Doritos Sweet Chilli Nachos","71 g","₹35","","","ADD","16 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8aad498d-c558-4709-b00b-6dc79346d0bb.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775592280-6","https://blinkit.com/cn/munchies/nachos/cid/1237/316","Bingo Mad Angles Pizza-aaaah Chips","64 g","₹20","","","ADD","16 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774443193064-99.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775592280-7","https://blinkit.com/cn/munchies/nachos/cid/1237/316","Cornitos Cheese & Herbs Nachos Chips","78 g","₹57","₹60","5%
OFF","ADD","16 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775477947829-17.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775592280-8","https://blinkit.com/cn/munchies/nachos/cid/1237/316","Cornitos Nachos Chips & Dip Combo","150 g","₹73","₹75","","ADD","16 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775477947829-4.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775592280-9","https://blinkit.com/cn/munchies/nachos/cid/1237/316","Doritos Cheese Nachos","75 g","₹39","₹48","18%
OFF","ADD","16 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/729792bc-f395-4569-ab7d-42829daf5f94.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775592280-10","https://blinkit.com/cn/munchies/nachos/cid/1237/316","Cornitos Korean Chilli Nachos Chips","74 g","₹54","₹60","10%
OFF","ADD","16 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775477947829-48.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775592280-11","https://blinkit.com/cn/munchies/nachos/cid/1237/316","Cornitos Sizzlin Jalapeno Nachos Chips","78 g","₹57","₹60","5%
OFF","ADD","16 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775477947829-27.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775592280-12","https://blinkit.com/cn/munchies/nachos/cid/1237/316","Bingo Chilli Limon Nachos with Free Dip","85.4 g","₹43","₹50","14%
OFF","ADD","16 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770963085463-229.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775592280-13","https://blinkit.com/cn/munchies/nachos/cid/1237/316","Cornitos Cheese & Herbs Nachos Chips","150 g","₹89","₹90","","ADD","16 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/9dd553cd-086a-4a48-b60f-7224bde20bc7.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775592280-14","https://blinkit.com/cn/munchies/nachos/cid/1237/316","Cornitos Sweet Chili Nachos Chips","78 g","₹57","₹60","5%
OFF","ADD","16 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775477947829-38.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775592280-15","https://blinkit.com/cn/munchies/nachos/cid/1237/316","4700BC Korean Kimchi Nachos -Made in Avocado Oil","60 g","₹56","₹60","6%
OFF","ADD","16 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773034390367-69.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
