web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775592650-1","https://blinkit.com/cn/munchies/namkeen-snacks/cid/1237/29","4700BC Korean Kimchi Crunchy Corn","45 g","₹47","₹60","21%
OFF","ADD","9 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/4df4b1a8-f577-4803-8178-187135489457.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775592650-2","https://blinkit.com/cn/munchies/namkeen-snacks/cid/1237/29","Bikano Classic Salted Peanuts","200 g","₹52","","","ADD","9 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/64d45c10-308c-4d51-ac86-f0c68fd58dbf.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775592650-3","https://blinkit.com/cn/munchies/namkeen-snacks/cid/1237/29","Mukharochak Dhania Peanut Namkeen","100 g","₹35","","","ADD","9 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c7a4e0da-cdd5-443d-9b74-f1b725293876.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775592650-4","https://blinkit.com/cn/munchies/namkeen-snacks/cid/1237/29","Garden Crispy Murukku Namkeen","150 g","₹54","₹61","11%
OFF","ADD","9 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/049932e1-0c46-478e-a92b-10e2588ba09b.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775592650-5","https://blinkit.com/cn/munchies/namkeen-snacks/cid/1237/29","Let's Try Namkeen Combo","6 x 28 g","₹58","₹90","35%
OFF","ADD","9 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2ed13c0f-b258-4206-91f1-99123f793209.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775592650-6","https://blinkit.com/cn/munchies/namkeen-snacks/cid/1237/29","Mukharochak Nimki Namak Para","200 g","₹52","","","ADD","9 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/adae0232-e919-48fd-94e8-be14db2d0eed.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775592650-7","https://blinkit.com/cn/munchies/namkeen-snacks/cid/1237/29","Chheda's Bhakarwadi Namkeen","150 g","₹48","₹66","27%
OFF","ADD","9 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/19904ec5-987e-4ad0-a433-d5ca125b323a.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775592650-8","https://blinkit.com/cn/munchies/namkeen-snacks/cid/1237/29","Haldiram's Prabhuji Mini Samosa","200 g","₹59","₹60","","ADD","9 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/63e6d52b-241a-47e8-9edf-87122ae0c3fe.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775592650-9","https://blinkit.com/cn/munchies/namkeen-snacks/cid/1237/29","Sweet Karam Coffee Butter Murukku Namkeen","95 g","₹86","₹92","6%
OFF","ADD","9 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/47d1ab3d-ed3e-474d-9f83-c9f5c52806e5.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775592650-10","https://blinkit.com/cn/munchies/namkeen-snacks/cid/1237/29","Bikano Tasty Peanut Namkeen","200 g","₹55","","","ADD","9 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/6478b029-5900-4449-ba0d-497a0dc217e2.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
