web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2
"1775584300-1","https://blinkit.com/cn/dairy-breakfast/oats/cid/14/584","Quaker Rolled Instant Oats","1 kg","₹159","₹210","24%
OFF","ADD","14 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c8549033-8ab5-4411-981f-233d1bb37498.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584300-2","https://blinkit.com/cn/dairy-breakfast/oats/cid/14/584","Quaker Rolled Instant Oats","400 g","₹86","","","ADD","14 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/3b80c9c1-8e29-4cd2-8239-234c83e9a241.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584300-3","https://blinkit.com/cn/dairy-breakfast/oats/cid/14/584","Bagrry's 100% Whole Grain White Instant Oats","1 kg","₹159","₹220","27%
OFF","ADD","14 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771313685905-4610.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584300-4","https://blinkit.com/cn/dairy-breakfast/oats/cid/14/584","Saffola Oats Soft & Creamy Instant Rolled Oats","1 kg","₹156","₹199","21%
OFF","ADD","14 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/b686f1ce-2d75-46da-9493-ed5cec832ac7.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584300-5","https://blinkit.com/cn/dairy-breakfast/oats/cid/14/584","Saffola Classic Masala Instant Oats","225 g","₹96","₹149","35%
OFF","ADD","14 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/873b3a23-0c6a-41c3-955a-7b56da5fa2af.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584300-6","https://blinkit.com/cn/dairy-breakfast/oats/cid/14/584","Saffola Classic-Masala Oats","38 g","₹18","","","ADD","14 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7d5bc9b0-2223-4fe6-8be9-997e0e8ce6a5.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584300-7","https://blinkit.com/cn/dairy-breakfast/oats/cid/14/584","Pintola High Protein Oats (Dark Chocolate)","1 kg","₹539","₹620","13%
OFF","ADD","14 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775446787912-423.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584300-8","https://blinkit.com/cn/dairy-breakfast/oats/cid/14/584","Saffola Classic Masala Flavoured Oats","750 g","₹261","₹349","25%
OFF","ADD","14 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e545d6f7-2bc9-4032-9a1d-d743dd3a2876.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584300-9","https://blinkit.com/cn/dairy-breakfast/oats/cid/14/584","Saffola Classic Masala Oats","550 g","₹241","₹270","10%
OFF","ADD","14 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/11e4f800-90d5-4939-a0e3-eecddc416df8.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584300-10","https://blinkit.com/cn/dairy-breakfast/oats/cid/14/584","Yoga Bar Premium Golden Rolled Oats (Gluten Free)","400 g","₹98","₹199","50%
OFF","ADD","14 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772169697746-913.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584300-11","https://blinkit.com/cn/dairy-breakfast/oats/cid/14/584","Manna Whole Grain Rolled Oats","1 kg","₹173","₹279","37%
OFF","ADD","14 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770963085463-178.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
