web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2
"1775668951-1","https://blinkit.com/cn/organic-premium/oil-ghee/cid/175/799","Anveshan Desi Cow A2 Ghee - Bilona Churned","150 ml","₹235","₹285","17%
OFF","15 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/439a92c1-c61c-4c6c-bc39-ecacbb5df98b.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775668951-2","https://blinkit.com/cn/organic-premium/oil-ghee/cid/175/799","Natureland Cold Pressed Mustard Oil","1 ltr","₹219","₹375","41%
OFF","15 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1813646c-1ac3-4eb1-814d-bd4eb165dc44.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775668951-3","https://blinkit.com/cn/organic-premium/oil-ghee/cid/175/799","Anveshan Cold Pressed Mustard Oil","1 ltr","₹301","₹400","24%
OFF","15 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/18079486-7936-4c25-8732-6b868e59c5e7.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775668951-4","https://blinkit.com/cn/organic-premium/oil-ghee/cid/175/799","Organic Tattva Organic Cold Pressed Mustard Oil","1 ltr","₹269","₹349","22%
OFF","15 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/22b11dd9-8ee9-437f-b5ec-53bb847fbceb.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775668951-5","https://blinkit.com/cn/organic-premium/oil-ghee/cid/175/799","Natureland Organic Sunflower Oil","1 ltr","₹299","₹425","29%
OFF","15 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/701f4bab-e0f3-43e6-83cb-6cc42d8706fb.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775668951-6","https://blinkit.com/cn/organic-premium/oil-ghee/cid/175/799","Natureland Organics A2 Desi Cow Ghee","350 ml","₹319","₹650","50%
OFF","21 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/bff62784-96f8-46b8-aef9-3eae56f7e7e4.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775668951-7","https://blinkit.com/cn/organic-premium/oil-ghee/cid/175/799","Anveshan Cold Pressed Sunflower Oil","1 ltr","₹382","₹475","19%
OFF","15 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/93443a92-befa-4f6a-abce-1c0d86eee9af.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775668951-8","https://blinkit.com/cn/organic-premium/oil-ghee/cid/175/799","Aashirvaad Svasti Organic Cow Ghee","500 ml","₹562","₹799","29%
OFF","15 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/10ac213a-386a-41f3-9604-8b3457db4e25.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775668951-9","https://blinkit.com/cn/organic-premium/oil-ghee/cid/175/799","Himalayan Natives Bilona Organic Ghee","1 ltr","₹875","₹1,799","51%
OFF","15 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775108685512-140.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775668951-10","https://blinkit.com/cn/organic-premium/oil-ghee/cid/175/799","Kapiva Kerala Cold Pressed Virgin Coconut Oil (Narkel Tel)","500 ml","₹446","₹499","10%
OFF","15 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/47420a1d-faf9-49dd-bd22-e20d9b3c4f2e.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775668951-11","https://blinkit.com/cn/organic-premium/oil-ghee/cid/175/799","Kapiva Organic Cow Ghee","500 ml","₹637","₹749","14%
OFF","21 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/93330b34-2253-4392-8653-9082a6d60d61.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775668951-12","https://blinkit.com/cn/organic-premium/oil-ghee/cid/175/799","Organic India Mustard Oil","1 ltr","₹377","₹475","20%
OFF","15 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/405b9acb-290e-444f-b2e6-c2a008e7a9e7.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
