web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2
"1775626323-1","https://blinkit.com/cn/dry-fruits-masala-oil/oil/cid/1557/917","Fortune Premium Kachi Ghani Pure Mustard Oil (Sorisha Tel)","910 g","₹170","₹205","17%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771591544688-5.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626323-2","https://blinkit.com/cn/dry-fruits-masala-oil/oil/cid/1557/917","Emami Healthy & Tasty Kachchi Ghani Mustard Oil (Sorisha Tel)","825 g","₹153","₹205","25%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/3da62253-8f7d-433e-bc88-0dd8c068220f.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626323-3","https://blinkit.com/cn/dry-fruits-masala-oil/oil/cid/1557/917","Doctors' Choice Refined Soyabean Oil (Soyabean Tel)","1 ltr","₹158","₹175","9%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/17ec60a5-abcd-4693-bfc8-5782b7ae6bbd.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626323-4","https://blinkit.com/cn/dry-fruits-masala-oil/oil/cid/1557/917","Doctors' Choice Kachi Ghani Mustard Oil (Sorisha Tel)","1 ltr","₹174","₹210","17%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/5c3a3adf-2094-4387-a4e0-caad1964e93f.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626323-5","https://blinkit.com/cn/dry-fruits-masala-oil/oil/cid/1557/917","Emami Healthy & Tasty Physically Refined Rice Bran Oil (Chaaler Bhurir Tel)","730 g","₹129","₹150","14%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/5844f72c-cdc8-43a6-99c2-ce45aea5a5cc.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626323-6","https://blinkit.com/cn/dry-fruits-masala-oil/oil/cid/1557/917","Fortune Sunlite Refined Sunflower Oil (800 g) (Surajmukhi Tel)","800 g","₹173","₹195","11%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/61c67eb1-3f1b-423c-bc55-6b7fba83a5c9.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626323-7","https://blinkit.com/cn/dry-fruits-masala-oil/oil/cid/1557/917","Fortune Premium Kachi Ghani Pure Mustard Oil (910 g) (Sorisha Tel)","910 g","₹183","₹205","10%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771824015094-4.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626323-8","https://blinkit.com/cn/dry-fruits-masala-oil/oil/cid/1557/917","Emami Healthy & Tasty Strong Kachchi Ghani Mustard Oil (Sorisha Tel)","825 g","₹160","₹210","23%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/933ed181-3adc-4b28-ad21-4fb539662bbe.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626323-9","https://blinkit.com/cn/dry-fruits-masala-oil/oil/cid/1557/917","Emami Healthy & Tasty Refined Soyabean Oil (Ultra Lite) (Soyabean Tel)","730 g","₹134","₹155","13%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ee39bd27-d1bf-4c6c-82dc-be6f2fb7b44e.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626323-10","https://blinkit.com/cn/dry-fruits-masala-oil/oil/cid/1557/917","Fortune Rice Bran Oil (Chaaler Bhurir Tel)","870 g","₹158","₹199","20%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/9aeb0ccc-6a54-43ff-ac9a-a8006b66cc27.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
