web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2
"1775678627-1","https://blinkit.com/cn/pharma-wellness//cid/287/8713","Electral ORS","21.8 g","₹23","","","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f91b13a0-11d8-4b6f-8391-12933bbbcea7.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775678627-2","https://blinkit.com/cn/pharma-wellness//cid/287/8713","Dettol Antiseptic Liquid - 250 ml","250 ml","₹159","","","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/28e22703-546d-4db7-a48a-6011c455a24d.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775678627-3","https://blinkit.com/cn/pharma-wellness//cid/287/8713","Boroline Antiseptic Cream","19 g","₹40","","","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/92591fa1-860e-421e-96dd-1445f817555d.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775678627-4","https://blinkit.com/cn/pharma-wellness//cid/287/8713","Dabur Hajmola Pudina Digestive Tablets","120 g","₹62","₹65","","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d5e2baa0-6127-4799-8162-44bcc71f8a0d.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775678627-5","https://blinkit.com/cn/pharma-wellness//cid/287/8713","Sensodyne Sensitive Toothbrush (With Soft Rounded Bristles) - Buy 2 Get 1 Free","3 pcs","₹114","₹130","12%
OFF","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d90c2e05-d985-477d-89a6-92e2558eab4a.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775678627-6","https://blinkit.com/cn/pharma-wellness//cid/287/8713","Boroline Suthol Skin Antiseptic Liquid - Neem","100 ml","₹47","","","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2602f114-e5de-4677-b094-afb5c8899415.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775678627-7","https://blinkit.com/cn/pharma-wellness//cid/287/8713","Eno Lemon Antacid","30 g","₹60","","","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ea63c0f5-9871-46b2-9b84-bc9db0cfe85b.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775678627-8","https://blinkit.com/cn/pharma-wellness//cid/287/8713","Dabur Hajmola Tasty Digestive Tablets - Mr. Aam","120 g","₹59","₹65","9%
OFF","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8222280e-df90-49bf-9103-8a611a37e9b4.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775678627-9","https://blinkit.com/cn/pharma-wellness//cid/287/8713","Tulips Earth Friendly Cotton Buds","100 pcs","₹53","₹66","19%
OFF","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1ad334dd-2580-4091-a5c9-b62c6b61e3fa.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775678627-10","https://blinkit.com/cn/pharma-wellness//cid/287/8713","Dabur Hajmola Regular Digestive Tablets","120 g","₹63","₹65","","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/759ed2f1-bf35-4ede-9642-de9c9678c4d6.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
