web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2,image3
"1775703742-1","https://blinkit.com/cn/personal-care/oral-care/cid/163/722","Closeup White Now Stain Eraser Whitening Toothpaste","100 g","₹136","₹160","15%
OFF","ADD","19 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a10178df-a187-4659-b69b-8fd131376da9.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775703742-2","https://blinkit.com/cn/personal-care/oral-care/cid/163/722","Colgate Strong Teeth Anticavity Toothpaste (150 g)","150 g","₹99","","","ADD","19 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773209075619-383.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775703742-3","https://blinkit.com/cn/personal-care/oral-care/cid/163/722","Sensodyne Deep Clean Sensitive Toothpaste","70 g","₹133","","","ADD","19 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/026edee3-ef78-4d7b-98f0-26bf823b7b6b.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775703742-4","https://blinkit.com/cn/personal-care/oral-care/cid/163/722","Colgate Total Advanced Health Toothpaste","80 g","₹80","","","ADD","19 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772432009525-1179.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775703742-5","https://blinkit.com/cn/personal-care/oral-care/cid/163/722","Closeup White Now - Purple Color Corrector Whitening Toothpaste","100 g","₹136","₹160","15%
OFF","ADD","19 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/b4213bbe-e18d-45f3-a80e-08a3f3b64b65.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775703742-6","https://blinkit.com/cn/personal-care/oral-care/cid/163/722","Oral-B Pro Clean Sensitive & Gums Toothbrush (Extra Soft, Colour may Vary)","1 pc","₹50","","","ADD","19 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/490ff690-2afa-45aa-9e0b-8b1ea31d4b7a.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775703742-7","https://blinkit.com/cn/personal-care/oral-care/cid/163/722","Sensodyne Sensitive Toothbrush (With Soft Rounded Bristles) - Buy 2 Get 1 Free","3 pcs","₹114","₹130","12%
OFF","ADD","19 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d90c2e05-d985-477d-89a6-92e2558eab4a.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775703742-8","https://blinkit.com/cn/personal-care/oral-care/cid/163/722","Colgate Visible White Purple Whitening Toothpaste","120 g","₹167","₹198","15%
OFF","ADD","19 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775620165859-521.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775703742-9","https://blinkit.com/cn/personal-care/oral-care/cid/163/722","Pepsodent 2 In 1 Toothpaste","150 g","₹98","₹115","14%
OFF","ADD","19 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/838653cd-ba24-445b-8cc8-d00b89a61469.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775703742-10","https://blinkit.com/cn/personal-care/oral-care/cid/163/722","Dabur Neem Germ Protection Herbal Toothpaste","200 g","₹64","₹130","50%
OFF","ADD","19 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f1998541-b893-4032-9fb8-b95aba1971ff.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
