web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2,image3
"1775671808-1","https://blinkit.com/cn/organic-premium/organic-salt-sugar-honey/cid/175/1936","Nature's Nectar Squeezy Organic Honey","325 g","₹279","₹525","46%
OFF","ADD","19 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/99de0ca4-43df-4a0d-84bb-19014ac0898d.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775671808-2","https://blinkit.com/cn/organic-premium/organic-salt-sugar-honey/cid/175/1936","Organic Tattva Organic Brown Sugar","500 g","₹79","₹90","12%
OFF","ADD","19 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/9c3047f4-8aa3-4069-b2d6-5a598846a307.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775671808-3","https://blinkit.com/cn/organic-premium/organic-salt-sugar-honey/cid/175/1936","24 Mantra Organic Jaggery Powder","500 g","₹79","₹90","12%
OFF","ADD","19 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773230735506-4.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775671808-4","https://blinkit.com/cn/organic-premium/organic-salt-sugar-honey/cid/175/1936","True Story Natural Organic Jaggery Powder","500 g","₹67","₹90","25%
OFF","ADD","19 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/56225162-2c6c-4b80-ab81-74076cd8af96.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775671808-5","https://blinkit.com/cn/organic-premium/organic-salt-sugar-honey/cid/175/1936","Nature's Nectar Organic Honey","400 g","₹399","₹575","30%
OFF","ADD","19 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c5d98fd4-ffc7-4850-837b-50703e5a1c7b.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775671808-6","https://blinkit.com/cn/organic-premium/organic-salt-sugar-honey/cid/175/1936","Organic Tattva Organic Jaggery Powder 500 g","500 g","₹85","₹90","5%
OFF","ADD","19 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c20c4566-498f-41ee-a727-e638c04cc11e.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775671808-7","https://blinkit.com/cn/organic-premium/organic-salt-sugar-honey/cid/175/1936","Natural Tattva Rock Salt / Sendha Namak","500 g","₹53","₹60","11%
OFF","ADD","19 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/97c6ee7a-b314-4551-9451-fb99820a3f65.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775671808-8","https://blinkit.com/cn/organic-premium/organic-salt-sugar-honey/cid/175/1936","Natureland Organic Brown Sugar","500 g","₹77","₹90","14%
OFF","ADD","19 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/b83fe811-2ae2-45a7-9714-62644f0f0f97.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775671808-9","https://blinkit.com/cn/organic-premium/organic-salt-sugar-honey/cid/175/1936","Amul Organic Sugar","1 kg","₹76","₹80","5%
OFF","ADD","19 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d40fc8f0-0022-4cd7-8724-9836d478cb2a.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775671808-10","https://blinkit.com/cn/organic-premium/organic-salt-sugar-honey/cid/175/1936","Organic India Organic Jaggery Powder","500 g","₹97","₹110","11%
OFF","ADD","19 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/771b00d3-9417-4181-b76a-e0d1d491f8d5.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775671808-11","https://blinkit.com/cn/organic-premium/organic-salt-sugar-honey/cid/175/1936","Organic Tattva Organic Sugar","500 g","₹72","₹85","15%
OFF","ADD","19 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/195dd0e7-eda8-4743-b7f7-517135349ae1.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775671808-12","https://blinkit.com/cn/organic-premium/organic-salt-sugar-honey/cid/175/1936","24 Mantra Organic Brown Sugar","500 g","₹72","₹90","20%
OFF","ADD","19 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/3b45902c-830a-4d18-b5e6-c6e1cd1cf742.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775671808-13","https://blinkit.com/cn/organic-premium/organic-salt-sugar-honey/cid/175/1936","Conscious Food Raw Sugar / Khandsari","500 g","₹85","₹99","14%
OFF","ADD","19 mins","","",""
"1775671808-14","https://blinkit.com/cn/organic-premium/organic-salt-sugar-honey/cid/175/1936","True Story Natural Organic Brown Sugar","500 g","₹69","₹90","23%
OFF","ADD","19 mins","","",""
"1775671808-15","https://blinkit.com/cn/organic-premium/organic-salt-sugar-honey/cid/175/1936","Organic India Himalayan Organic Pink Rock Salt (Sendha Namak)","1 kg","₹98","₹150","34%
OFF","ADD","19 mins","","",""
"1775671808-16","https://blinkit.com/cn/organic-premium/organic-salt-sugar-honey/cid/175/1936","True Story Himalayan Pink Rock Salt / Sendha Namak","1 kg","₹69","₹110","37%
OFF","ADD","19 mins","","",""
"1775671808-17","https://blinkit.com/cn/organic-premium/organic-salt-sugar-honey/cid/175/1936","Organic India Organic Stevia Powder","25 pcs","₹92","₹98","6%
OFF","ADD","19 mins","","",""
"1775671808-18","https://blinkit.com/cn/organic-premium/organic-salt-sugar-honey/cid/175/1936","Two Brothers Jaggery Powder Sugarcane Crushed Granular (Gur Gura)","500 g","₹141","₹150","6%
OFF","ADD","19 mins","","",""
"1775671808-19","https://blinkit.com/cn/organic-premium/organic-salt-sugar-honey/cid/175/1936","Pro Nature Organic Jaggery Powder","500 g","₹136","₹149","8%
OFF","ADD","19 mins","","",""
"1775671808-20","https://blinkit.com/cn/organic-premium/organic-salt-sugar-honey/cid/175/1936","Conscious Food Organic Brown Sugar","500 g","₹84","₹99","15%
OFF","ADD","19 mins","","",""
"1775671808-21","https://blinkit.com/cn/organic-premium/organic-salt-sugar-honey/cid/175/1936","Safe Harvest Pesticide-Free Jaggery Powder","500 g","₹66","₹88","25%
OFF","ADD","19 mins","","",""
"1775671808-22","https://blinkit.com/cn/organic-premium/organic-salt-sugar-honey/cid/175/1936","Conscious Food Himalayan Multiflora Honey","200 g","₹210","₹290","27%
OFF","ADD","19 mins","","",""
"1775671808-23","https://blinkit.com/cn/organic-premium/organic-salt-sugar-honey/cid/175/1936","Organic India Desi Khandsari Unrefined Organic Brown Sugar","500 g","₹100","₹120","16%
OFF","ADD","19 mins","","",""
"1775671808-24","https://blinkit.com/cn/organic-premium/organic-salt-sugar-honey/cid/175/1936","Himalayan Natives Premium Jaggery Powder","500 g","₹94","₹120","21%
OFF","ADD","19 mins","","",""
"1775671808-25","https://blinkit.com/cn/organic-premium/organic-salt-sugar-honey/cid/175/1936","Natureland Himalayan Organic Rock Salt","500 g","₹43","₹50","14%
OFF","ADD","19 mins","","",""
"1775671808-26","https://blinkit.com/cn/organic-premium/organic-salt-sugar-honey/cid/175/1936","Two Brothers Jaggery Block Sugarcane (Gur)","900 g","₹281","₹299","6%
OFF","ADD","19 mins","","",""
