web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2
"1775584357-1","https://blinkit.com/cn/dairy-breakfast/paneer-tofu/cid/14/923","Adya Dairy Fresh Malai Paneer","200 g","₹84","₹92","8%
OFF","14 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/568f8620-83bb-4286-b3c3-81d47d2187c7.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584357-2","https://blinkit.com/cn/dairy-breakfast/paneer-tofu/cid/14/923","Amul Fresh Malai Paneer","200 g","₹95","","","14 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7a1700ee-dd38-49cf-b34e-171ff84ac0e7.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584357-3","https://blinkit.com/cn/dairy-breakfast/paneer-tofu/cid/14/923","Metro Malai Paneer","200 g","₹89","₹92","","14 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8a8fced5-d952-44b0-a714-a5c0cbd76421.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584357-4","https://blinkit.com/cn/dairy-breakfast/paneer-tofu/cid/14/923","Gowardhan Classic Block Paneer","200 g","₹100","₹105","","14 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ace207d9-94a6-4bc5-9c12-bcd31372c013.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584357-5","https://blinkit.com/cn/dairy-breakfast/paneer-tofu/cid/14/923","Country Delight Taaza Paneer (made with Lemon Juice)","180 g","₹111","₹117","5%
OFF","14 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/0659b950-c287-4433-994a-9bb0c8c05a13.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584357-6","https://blinkit.com/cn/dairy-breakfast/paneer-tofu/cid/14/923","Diet Tofu Soya Tofu","200 g","₹46","₹60","23%
OFF","14 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e69ca0a2-2c9f-44ad-9350-4d422a0efd15.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584357-7","https://blinkit.com/cn/dairy-breakfast/paneer-tofu/cid/14/923","Joi Farm A2 Creamy Paneer Block","180 g","₹99","","","14 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/9269a12f-d699-429d-a806-28adf86c70d5.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584357-8","https://blinkit.com/cn/dairy-breakfast/paneer-tofu/cid/14/923","Amul Malai Paneer","200 g","₹95","","","14 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/73281f49-4924-4f16-ab23-c4652b503257.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584357-9","https://blinkit.com/cn/dairy-breakfast/paneer-tofu/cid/14/923","Bio Nutrients Pure Diet Tofu","200 g","₹57","","","14 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/fa013f53-7074-4876-94bd-d8f7a8a1ef89.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584357-10","https://blinkit.com/cn/dairy-breakfast/paneer-tofu/cid/14/923","Diet Tofu Masala Tofu","100 g","₹35","₹40","12%
OFF","14 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/520de25d-84c1-417f-b4fb-edca0b3ff163.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
