web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2
"1775627226-1","https://blinkit.com/cn/dry-fruits-masala-oil/papad-fryums/cid/1557/80","Khurat Oil Free Wheat Khichiya Papad","1 kg","₹269","₹278","","ADD","13 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ca01bf8f-fdf0-47df-a60e-da7c1e88af22.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627226-2","https://blinkit.com/cn/dry-fruits-masala-oil/papad-fryums/cid/1557/80","DNV Sabudana Papad","100 g","₹45","₹50","10%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2cfeb809-f5ae-4de9-bee9-db6c626ba891.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627226-3","https://blinkit.com/cn/dry-fruits-masala-oil/papad-fryums/cid/1557/80","DNV Appalam Papad","100 g","₹40","₹50","20%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2332b248-a44c-42ed-97ec-f8e09e01afff.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627226-4","https://blinkit.com/cn/dry-fruits-masala-oil/papad-fryums/cid/1557/80","Mother's Recipe Appalam Papad","100 g","₹46","₹50","8%
OFF","ADD","12 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1ab0e056-eaed-4a28-a0b1-fc844b068ede.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627226-5","https://blinkit.com/cn/dry-fruits-masala-oil/papad-fryums/cid/1557/80","Being Bania Handmade & Sundried Potato Papad","450 g","₹289","₹299","","ADD","13 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/126a5937-1ffc-4e07-9f6f-8ad7318a6a2f.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627226-6","https://blinkit.com/cn/dry-fruits-masala-oil/papad-fryums/cid/1557/80","Mother's Recipe Potato Papad","70 g","₹34","","","ADD","12 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2947f543-be75-4beb-92c5-c98bbb13b91f.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627226-7","https://blinkit.com/cn/dry-fruits-masala-oil/papad-fryums/cid/1557/80","Lijjat Punjabi Masala Papad","200 g","₹89","","","ADD","12 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c99ba260-93ab-4b1b-86cb-26896db62ac3.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627226-8","https://blinkit.com/cn/dry-fruits-masala-oil/papad-fryums/cid/1557/80","Bikano Amritsari Masala Papad","200 g","₹67","₹70","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/24cbecc6-53bf-4e63-ad0f-f481e51ed3ac.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627226-9","https://blinkit.com/cn/dry-fruits-masala-oil/papad-fryums/cid/1557/80","Ramji Pani Puri Papad","100 g","₹34","₹45","24%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f2e88464-7cec-4efc-9603-a571e2705da6.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627226-10","https://blinkit.com/cn/dry-fruits-masala-oil/papad-fryums/cid/1557/80","Ramji Tingo Fryums","200 g","₹58","₹80","27%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d4453e42-12a8-45bb-af8a-67c4b1f33752.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
