web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2
"1775593543-1","https://blinkit.com/cn/instant-frozen-food/pasta-more/cid/15/968","Maggi Pazzta Cheese Macaroni Instant Pasta","75 g","₹31","₹35","11%
OFF","ADD","13 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775533735848-276.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775593543-2","https://blinkit.com/cn/instant-frozen-food/pasta-more/cid/15/968","Disano Elbow Pasta (100 % Durum Wheat)","500 g","₹79","₹175","54%
OFF","ADD","13 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/6479cd0f-6a8b-4428-bdcf-cf1a83d204de.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775593543-3","https://blinkit.com/cn/instant-frozen-food/pasta-more/cid/15/968","Maggi Pazzta Cheesy Tomato Twist Instant Pasta","68.5 g","₹31","₹35","11%
OFF","ADD","13 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775533735848-303.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775593543-4","https://blinkit.com/cn/instant-frozen-food/pasta-more/cid/15/968","Maggi Pazzta Mushroom Penne Instant Pasta","68.5 g","₹31","₹35","11%
OFF","ADD","13 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775533735848-285.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775593543-5","https://blinkit.com/cn/instant-frozen-food/pasta-more/cid/15/968","Disano Penne Pasta (100 % Durum Wheat)","500 g","₹79","₹175","54%
OFF","ADD","13 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e10fa8b9-84d6-4665-add3-feb7e1d47dcf.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775593543-6","https://blinkit.com/cn/instant-frozen-food/pasta-more/cid/15/968","Maggi Pazzta Masala Penne Instant Pasta","69.5 g","₹31","₹35","11%
OFF","ADD","13 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775533735848-294.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775593543-7","https://blinkit.com/cn/instant-frozen-food/pasta-more/cid/15/968","Oleev Kitchen No Maida Penne Durum Wheat Pasta","400 g","₹54","₹132","59%
OFF","ADD","13 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f3a30934-d95c-4449-9611-4c79cea2dafc.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775593543-8","https://blinkit.com/cn/instant-frozen-food/pasta-more/cid/15/968","Chef's Basket Durum Wheat Semolina Penne Pasta","534 g","₹83","₹180","53%
OFF","ADD","13 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770025149490-240.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775593543-9","https://blinkit.com/cn/instant-frozen-food/pasta-more/cid/15/968","Bambino Macaroni Durum Wheat Elbow Pasta (425 g)","425 g","₹57","","","ADD","13 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7c6c10f2-0892-4ab7-a53a-c3742bb44a45.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775593543-10","https://blinkit.com/cn/instant-frozen-food/pasta-more/cid/15/968","Disano Fusilli Pasta (100 % Durum Wheat)","500 g","₹79","₹175","54%
OFF","ADD","13 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d4a1f221-127b-4e46-9fac-98d3d464941b.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
