web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2
"1775668086-1","https://blinkit.com/cn/sauces-spreads/indian-chutney-pickle/cid/972/1126","Hommade Imli Sauce","100 g","₹30","₹33","9%
OFF","ADD","19 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2c070b3f-daa3-437a-ab03-867084665b34.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775668086-2","https://blinkit.com/cn/sauces-spreads/indian-chutney-pickle/cid/972/1126","Mother's Recipe Gujarati Gorkeri Pickle","500 g","₹149","","","ADD","19 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c10ed164-d2d4-4efb-bf0f-3c5a3e3be5fa.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775668086-3","https://blinkit.com/cn/sauces-spreads/indian-chutney-pickle/cid/972/1126","Mother's Recipe Mixed Pickle","300 g","₹105","","","ADD","19 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/01d7374b-06e5-4f8e-a7bd-a2201cf9c9ff.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775668086-4","https://blinkit.com/cn/sauces-spreads/indian-chutney-pickle/cid/972/1126","DNV Kasundi Mustard Sauce","350 g","₹54","₹61","11%
OFF","ADD","19 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/609abc8d-0826-44ef-b2d1-28d6a1c7856d.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775668086-5","https://blinkit.com/cn/sauces-spreads/indian-chutney-pickle/cid/972/1126","Kissan Chilli Peanut Thecha Chutney","200 g","₹70","₹90","22%
OFF","ADD","19 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/5a20fcc4-8e87-42bd-b0a9-5f6480111d03.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775668086-6","https://blinkit.com/cn/sauces-spreads/indian-chutney-pickle/cid/972/1126","Mother's Recipe Mango Pickle","300 g","₹105","","","ADD","19 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/9a5feec7-3866-4866-8f10-a55714938dac.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775668086-7","https://blinkit.com/cn/sauces-spreads/indian-chutney-pickle/cid/972/1126","Mother's Recipe Green Chilli Pickle","200 g","₹57","","","ADD","19 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/b3ff4a1e-aef9-4884-91a5-b0ec9b9f6559.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775668086-8","https://blinkit.com/cn/sauces-spreads/indian-chutney-pickle/cid/972/1126","Mother's Recipe Tamarind Date Chutney","200 g","₹60","₹63","","ADD","19 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/6fba0eb4-b0b8-4775-8902-17d967358718.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775668086-9","https://blinkit.com/cn/sauces-spreads/indian-chutney-pickle/cid/972/1126","Kissan Khatti Meethi Imli Khajoor Chutney","200 g","₹70","₹90","22%
OFF","ADD","19 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/99fdba83-3387-4bc5-aedf-d47c4d0edf50.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775668086-10","https://blinkit.com/cn/sauces-spreads/indian-chutney-pickle/cid/972/1126","Daishik Coconut White Chutney","80 g","₹68","₹80","15%
OFF","ADD","19 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7f41e1b3-6241-431a-86a2-2832f10feab1.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
