web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775627077-1","https://blinkit.com/cn/dry-fruits-masala-oil/powdered-spice/cid/1557/50","Orika Kashmiri Red Chilli Powder (Lalgobhi Gura)","100 g","₹77","₹124","37%
OFF","ADD","16 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/81bf6ec3-f618-4fce-8289-cad75caf0cd3.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775627077-2","https://blinkit.com/cn/dry-fruits-masala-oil/powdered-spice/cid/1557/50","Sunrise Pure Turmeric Powder/Haldi Powder (Haldi Gura)","100 g","₹38","","","ADD","16 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/939195a7-544f-421f-865c-7f3aa3948213.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775627077-3","https://blinkit.com/cn/dry-fruits-masala-oil/powdered-spice/cid/1557/50","JK Jeera Powder / Cumin Powder (Jeera Gura)","100 g","₹61","₹78","21%
OFF","ADD","16 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d7e1eba5-77fb-49e7-ab49-b11e741e7718.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775627077-4","https://blinkit.com/cn/dry-fruits-masala-oil/powdered-spice/cid/1557/50","Aashirvaad Haldi/ Turmeric Powder (Haldi Gura)","200 g","₹56","₹80","30%
OFF","ADD","16 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d34ab971-7190-46fc-bb0e-bd0f14e041c1.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775627077-5","https://blinkit.com/cn/dry-fruits-masala-oil/powdered-spice/cid/1557/50","Orika Green Cardamom Powder","40 g","₹234","₹299","21%
OFF","ADD","16 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f69f662d-c5f8-4186-bf85-c8b256ad8794.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775627077-6","https://blinkit.com/cn/dry-fruits-masala-oil/powdered-spice/cid/1557/50","Sunrise Pure Shahi Garam Masala Powder","25 g","₹80","","","ADD","16 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/49555777-9336-4a2a-8505-b924da1d3f55.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775627077-7","https://blinkit.com/cn/dry-fruits-masala-oil/powdered-spice/cid/1557/50","Everest Kashmiri Red Chilli Powder (Lalgobhi Gura)","100 g","₹120","","","ADD","16 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/3213c120-52fd-4ed5-9772-dfdeae8329e4.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775627077-8","https://blinkit.com/cn/dry-fruits-masala-oil/powdered-spice/cid/1557/50","JK Turmeric Powder/Haldi Powder (Haldi Gura)","100 g","₹35","₹42","16%
OFF","ADD","16 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2f385b76-cd45-4119-b252-d1ef65f58b74.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775627077-9","https://blinkit.com/cn/dry-fruits-masala-oil/powdered-spice/cid/1557/50","Orika Marinade Smokey Garlic All Purpose Seasoning","85 g","₹91","₹140","35%
OFF","ADD","16 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/4de97f21-0ac8-420d-83f5-4533f8b429bc.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775627077-10","https://blinkit.com/cn/dry-fruits-masala-oil/powdered-spice/cid/1557/50","Sunrise Pure Jeera Powder / Cumin Powder (Jeera Gura)","100 g","₹76","","","ADD","16 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/4259d852-d4b9-4e09-8541-2b34e3d44699.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
