web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775669176-1","https://blinkit.com/cn/organic-premium/pulses-millets/cid/175/800","Amul Organic Arhar Dal / Toor Dal","₹84","₹130","35%
OFF","ADD","500 g","18 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8fc8d61e-f029-409b-bcf6-71c5d56b1960.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775669176-2","https://blinkit.com/cn/organic-premium/pulses-millets/cid/175/800","Tata Sampann Organic Masoor Dal Unpolished","₹110","₹120","8%
OFF","ADD","500 g","18 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773718842673-716.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775669176-3","https://blinkit.com/cn/organic-premium/pulses-millets/cid/175/800","24 Mantra Organic Wheat Daliya","₹59","₹70","15%
OFF","ADD","500 g","18 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770788511345-287.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775669176-4","https://blinkit.com/cn/organic-premium/pulses-millets/cid/175/800","Tata Sampann Organic Arhar Dal Unpolished","₹144","₹150","","ADD","500 g","18 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773718842673-772.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775669176-5","https://blinkit.com/cn/organic-premium/pulses-millets/cid/175/800","Amul Desi Organic Kala Chana","₹68","₹70","","ADD","500 g","18 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/5f83df14-fb01-40ea-9006-d46b87a6a7f2.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775669176-6","https://blinkit.com/cn/organic-premium/pulses-millets/cid/175/800","Organic Tattva Organic Masoor Dal Split","₹110","₹140","21%
OFF","ADD","500 g","18 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/cd123cf8-d8d8-4f54-9134-574e9c2df3fd.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775669176-7","https://blinkit.com/cn/organic-premium/pulses-millets/cid/175/800","Organic Tattva Organic Moong Dal (Dhuli) Split","₹121","₹155","21%
OFF","ADD","500 g","18 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c3fbc03e-90fe-45ad-9837-700be77d7d68.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775669176-8","https://blinkit.com/cn/organic-premium/pulses-millets/cid/175/800","Organic Tattva Wheat Organic Daliya","₹61","₹70","12%
OFF","ADD","500 g","18 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ba586047-08ec-4170-8ecc-82257542f5fa.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775669176-9","https://blinkit.com/cn/organic-premium/pulses-millets/cid/175/800","Amul Organic Red Rajma","₹105","₹110","","ADD","500 g","18 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1bc20cf9-87ad-432b-949e-3e9e1a196efe.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775669176-10","https://blinkit.com/cn/organic-premium/pulses-millets/cid/175/800","Tata Sampann Organic Moong Dal (Dhuli) Unpolished","₹129","₹140","7%
OFF","ADD","500 g","18 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773718842673-730.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
