web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775626215-1","https://blinkit.com/cn/atta-rice-dal/rajma-chhole-others/cid/16/1573","Freshcon Cooked Kabuli Chana (Chick Peas)","250 g","₹73","₹90","18%
OFF","12 mins","ADD","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775551637536-200.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626215-2","https://blinkit.com/cn/atta-rice-dal/rajma-chhole-others/cid/16/1573","Whole Farm Premium White Dried Peas/Safed Matar (Shada Sukno Matar)","500 g","₹39","₹90","56%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/533a90a9-5036-4fa6-8994-0ae88ab65f33.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626215-3","https://blinkit.com/cn/atta-rice-dal/rajma-chhole-others/cid/16/1573","Whole Farm Grocery Kabuli Chana (Medium Size)","500 g","₹56","₹120","53%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/4c56e4c6-fa37-4aed-b3fc-c8d7ea96b03f.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626215-4","https://blinkit.com/cn/atta-rice-dal/rajma-chhole-others/cid/16/1573","Whole Farm Premium Peas Dal/Matar Dal (Matar Dal)","500 g","₹40","₹90","55%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/eea04760-9e3b-4d74-8d48-f44a0bfd2fdd.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626215-5","https://blinkit.com/cn/atta-rice-dal/rajma-chhole-others/cid/16/1573","Tata Sampann Unpolished Kabuli Chana (Big Size)","500 g","₹95","₹108","12%
OFF","12 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c8d3aa6e-d33d-470b-9a17-a8b2e14a4b87.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626215-6","https://blinkit.com/cn/atta-rice-dal/rajma-chhole-others/cid/16/1573","Fortune Soya Chunks","200 g","₹45","₹47","","12 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/15a83e33-a0da-45c5-bdb5-4849a859ce23.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626215-7","https://blinkit.com/cn/atta-rice-dal/rajma-chhole-others/cid/16/1573","Fortune Soya Mini Chunks","200 g","₹45","₹47","","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/67d782a3-51a4-4c97-8565-0a3fa5d9d10a.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626215-8","https://blinkit.com/cn/atta-rice-dal/rajma-chhole-others/cid/16/1573","Tata Sampann Unpolished White Dried Peas","500 g","₹50","₹55","9%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e4759283-cbb7-47d4-b854-ec69ae54893c.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626215-9","https://blinkit.com/cn/atta-rice-dal/rajma-chhole-others/cid/16/1573","Tata Sampann Unpolished Kabuli Chana (Medium Size)","1 kg","₹154","₹177","12%
OFF","12 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2a065be0-459a-40bf-9e48-271a834fa7b8.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626215-10","https://blinkit.com/cn/atta-rice-dal/rajma-chhole-others/cid/16/1573","Nutrela Soya Mini Chunks","200 g","₹42","₹47","10%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f5bb5c3b-540e-42ea-8af4-77ccd5b8b6d1.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
