web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2
"1775622326-1","https://blinkit.com/cn/instant-frozen-food/ready-to-cook-eat/cid/15/1294","Daawat Thai Green Curry Rice Kit","400 g","₹255","₹275","7%
OFF","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/3371f07e-c9aa-4f7c-8038-768b9485a39a.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622326-2","https://blinkit.com/cn/instant-frozen-food/ready-to-cook-eat/cid/15/1294","Moi Soi White Rice Paper (22cm)","100 g","₹99","₹190","47%
OFF","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e6154435-bbb6-45bb-963d-728dbef78b74.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622326-3","https://blinkit.com/cn/instant-frozen-food/ready-to-cook-eat/cid/15/1294","iD Whole Wheat Chapati (10 pieces)","10 pcs","₹79","","","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ced28246-3d17-4743-bbba-20ec55f03cc3.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622326-4","https://blinkit.com/cn/instant-frozen-food/ready-to-cook-eat/cid/15/1294","Mr Rice Rice Paper","300 g","₹108","₹185","41%
OFF","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/edf512a0-2824-41e4-b805-515402e4cf45.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622326-5","https://blinkit.com/cn/instant-frozen-food/ready-to-cook-eat/cid/15/1294","Sundrop Snacko Sweet Corn - Chaat Masala","151.9 g","₹29","₹32","9%
OFF","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/270e3fba-1581-4b23-8162-e95b63b9a201.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622326-6","https://blinkit.com/cn/instant-frozen-food/ready-to-cook-eat/cid/15/1294","Habanero Flour Tortilla Wraps (Ready to Eat)","330 g","₹179","₹190","5%
OFF","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770788511345-992.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622326-7","https://blinkit.com/cn/instant-frozen-food/ready-to-cook-eat/cid/15/1294","Act II Butter Popcorn - Microwave","30 g","₹25","₹28","10%
OFF","ADD","11 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774938214608-30.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622326-8","https://blinkit.com/cn/instant-frozen-food/ready-to-cook-eat/cid/15/1294","Daawat Biryani Kit Kolkata (Extra Long Grain)","334 g","₹119","₹165","27%
OFF","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775470476025-124.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622326-9","https://blinkit.com/cn/instant-frozen-food/ready-to-cook-eat/cid/15/1294","Dr. Oetker Kuppies Chocolate Waffle","180 g","₹88","","","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ca24c7c0-1e08-4557-a723-d50f510a73c0.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622326-10","https://blinkit.com/cn/instant-frozen-food/ready-to-cook-eat/cid/15/1294","Gits Dal Makhani Ready to Eat","300 g","₹106","₹120","11%
OFF","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/64d9203e-c1bd-4c61-abca-6c49e07663d9.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
