web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2
"1775679759-1","https://blinkit.com/cn/cleaning-essentials/repellents/cid/18/926","Mortein Advanced Anti Mosquito Racquet","1 pc","₹520","₹650","20%
OFF","ADD","9 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1a525140-c392-42c4-a662-b9cb08222ef9.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775679759-2","https://blinkit.com/cn/cleaning-essentials/repellents/cid/18/926","Good Knight Flash Liquid Vaporiser Mosquito Repellent Refill (2 x 45 ml) - Pack of 2","2 x 45 ml","₹165","","","ADD","9 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/83b17ea5-c7ae-487b-8efe-2ea80f9db5a9.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775679759-3","https://blinkit.com/cn/cleaning-essentials/repellents/cid/18/926","Good Knight Power Activ + Liquid Vaporiser Mosquito Repellent Refill","2 x 45 ml","₹165","","","ADD","9 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/3e049605-5c51-492f-b547-9d263f4ac1d4.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775679759-4","https://blinkit.com/cn/cleaning-essentials/repellents/cid/18/926","Hit Fresh Fragrance Cockroach Spray","200 ml","₹99","","","ADD","9 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/eef55a6e-328e-41c6-839f-0b02a842d154.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775679759-5","https://blinkit.com/cn/cleaning-essentials/repellents/cid/18/926","Good Knight Flash Liquid Vaporiser Mosquito Repellent Refill (Lavender)","4 x 45 ml","₹283","₹340","16%
OFF","ADD","9 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/9ad9d76b-cba3-44d1-8647-eb0f13b0abf1.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775679759-6","https://blinkit.com/cn/cleaning-essentials/repellents/cid/18/926","Good Knight Power Activ+ Liquid Vaporiser Mosquito Repellent Refill","45 ml","₹85","","","ADD","9 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/0004e7f3-001c-49f2-b2cd-09dbfab78f13.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775679759-7","https://blinkit.com/cn/cleaning-essentials/repellents/cid/18/926","All Out Ultra Liquid Vaporizer Mosquito Killer Machine Refill (2 x 45 ml)","2 x 45 ml","₹160","₹165","","ADD","9 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/01020100-e9a9-4861-bd9b-372078347bba.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775679759-8","https://blinkit.com/cn/cleaning-essentials/repellents/cid/18/926","Good Knight Flash Liquid Vaporiser Mosquito Killer Machine with 2 Refills - Combo Pack","1 pack","₹181","₹190","","ADD","9 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7a0c2340-fd49-45ec-8be8-553123069383.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775679759-9","https://blinkit.com/cn/cleaning-essentials/repellents/cid/18/926","Hit Fresh Fragrance Cockroach Spray","400 ml","₹189","","","ADD","9 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a35225ab-494f-45f9-a1b8-bd5dba2e03de.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775679759-10","https://blinkit.com/cn/cleaning-essentials/repellents/cid/18/926","Mortein Smart Mosquito Repellent Refill - Buy 2 Get 1 Free Pack","3 x 45 ml","₹155","₹180","13%
OFF","ADD","9 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772721745362-237.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
