web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775625917-1","https://blinkit.com/cn/atta-rice-dal/rice/cid/16/1161","Lalbaba Traditional Basmati Rice (Extra Long Grain)","1 kg","₹127","₹250","49%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/81477967-1024-423b-9c07-8496da04a295.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775625917-2","https://blinkit.com/cn/atta-rice-dal/rice/cid/16/1161","Gopal Premium Muri Puffed Rice (Murmura)","250 g","₹33","₹40","17%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7c90e7b5-c189-4f45-a81c-f2f9b54ae8e6.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775625917-3","https://blinkit.com/cn/atta-rice-dal/rice/cid/16/1161","Whole Farm Premium Puffed Rice - Muri (Murmura)","200 g","₹21","₹49","57%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1769756024488-293.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775625917-4","https://blinkit.com/cn/atta-rice-dal/rice/cid/16/1161","Whole Farm Grocery Govindo Bhog Rice (Govindo Bhog Chaal)","1 kg","₹189","₹320","40%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/65e19ad3-d250-44ce-a1d7-589e30490e46.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775625917-5","https://blinkit.com/cn/atta-rice-dal/rice/cid/16/1161","Fortune Hamesha Mini Dubar Basmati Rice (Long Grain) (Basmati Chaal)","5 kg","₹369","₹435","15%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/5144d947-e1cb-4f91-8881-e7cb0e3d97f3.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775625917-6","https://blinkit.com/cn/atta-rice-dal/rice/cid/16/1161","Lalbaba Minikit Premium Miniket Rice (Miniket Chaal)","5 kg","₹331","₹525","36%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a15877bc-b30c-43c4-91e1-fad943191fba.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775625917-7","https://blinkit.com/cn/atta-rice-dal/rice/cid/16/1161","Daawat Rozana Super Basmati Rice (Medium Grain) (Basmati Chaal)","5 kg","₹347","₹495","29%
OFF","ADD","12 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1dac26d6-73fe-4e94-a91f-c85bac0bad3a.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775625917-8","https://blinkit.com/cn/atta-rice-dal/rice/cid/16/1161","India Gate Everyday Pure Basmati Rice (Medium Grain) (Basmati Chaal)","5 kg","₹353","₹505","30%
OFF","ADD","12 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/94430876-7166-4cfe-8414-bdeb2fe26042.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775625917-9","https://blinkit.com/cn/atta-rice-dal/rice/cid/16/1161","Fortune Rozana-Gold Basmati Rice (Long Grain) (Basmati Chaal)","1 kg","₹97","₹130","25%
OFF","ADD","12 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a36272bb-1bfd-49c7-94e2-cc784b9a11c2.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775625917-10","https://blinkit.com/cn/atta-rice-dal/rice/cid/16/1161","Lalbaba Exclusive Miniket Rice (Miniket Chaal)","10 kg","₹651","₹995","34%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f628a5d3-decc-46f7-a81c-07afb126c521.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
