web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775624692-1","https://blinkit.com/cn/bakery-biscuits/rusks-wafers/cid/888/107","Protein Chef High Protein Elaichi Rusk","150 g","₹99","","","12 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775218772831-273.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624692-2","https://blinkit.com/cn/bakery-biscuits/rusks-wafers/cid/888/107","Pran Toast Family Rusk","200 g","₹45","","","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e750b55d-d284-4e99-ae9a-2844c19e4b65.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624692-3","https://blinkit.com/cn/bakery-biscuits/rusks-wafers/cid/888/107","Britannia Toastea Premium Bake Rusk (250 g)","250 g","₹42","₹50","16%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/43bfbf7a-b021-4c29-8806-01ea5d5cfd5f.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624692-4","https://blinkit.com/cn/bakery-biscuits/rusks-wafers/cid/888/107","Pran Special Dry Cake Rusk","100 g","₹45","","","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2aec0338-1415-4280-a1a3-54bcab055c59.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624692-5","https://blinkit.com/cn/bakery-biscuits/rusks-wafers/cid/888/107","The Baker's Dozen Elaichi Rusk (Zero Maida, High Protein)","80 g","₹40","","","12 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e13eb8de-54e2-4a0a-9d63-0e8e436e20c4.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624692-6","https://blinkit.com/cn/bakery-biscuits/rusks-wafers/cid/888/107","Britannia Toastea Butter Rusk","183 g","₹30","₹35","14%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/41620482-2025-4d7e-bd42-bbf412d5ec98.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624692-7","https://blinkit.com/cn/bakery-biscuits/rusks-wafers/cid/888/107","Pran Toast Baby Rusk","250 g","₹50","","","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/baab15a2-2b52-4a01-9d41-de2431504c41.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624692-8","https://blinkit.com/cn/bakery-biscuits/rusks-wafers/cid/888/107","Britannia Treat Rich Creme Choco Flavoured Wafers","50 g","₹27","₹50","46%
OFF","12 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774704212916-218.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624692-9","https://blinkit.com/cn/bakery-biscuits/rusks-wafers/cid/888/107","Let's Try Fruit Cake Rusk with Goodness of Wheat","200 g","₹99","₹220","55%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c5563229-d2cf-4d57-8861-51e0a6f73224.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624692-10","https://blinkit.com/cn/bakery-biscuits/rusks-wafers/cid/888/107","Britannia Treat Rich Creme Orange Flavoured Wafers","55 g","₹27","₹50","46%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774704212916-230.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624692-11","https://blinkit.com/cn/bakery-biscuits/rusks-wafers/cid/888/107","Britannia Treat Strawberry Flavoured Wafers","50 g","₹27","₹50","46%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774944833006-921.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624692-12","https://blinkit.com/cn/bakery-biscuits/rusks-wafers/cid/888/107","Parle Real Elaichi Premium Rusk","291.2 g","₹54","₹60","10%
OFF","12 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/9192da32-319b-406a-8030-76e1000a8372.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624692-13","https://blinkit.com/cn/bakery-biscuits/rusks-wafers/cid/888/107","The Baker's Dozen Zero Maida Butter Garlic Toast, Whole Wheat","90 g","₹119","","","12 mins","ADD","2 options","","",""
"1775624692-14","https://blinkit.com/cn/bakery-biscuits/rusks-wafers/cid/888/107","Britannia Toastea Premium Bake Rusk (1 kg)","1 kg","₹174","₹240","27%
OFF","12 mins","ADD","","","",""
"1775624692-15","https://blinkit.com/cn/bakery-biscuits/rusks-wafers/cid/888/107","Dukes Waffy Choco Wafer Roll","250 g","₹90","₹165","45%
OFF","12 mins","ADD","","","",""
"1775624692-16","https://blinkit.com/cn/bakery-biscuits/rusks-wafers/cid/888/107","Thakar Gur Rusk","700 g","₹300","","","14 mins","ADD","","","",""
"1775624692-17","https://blinkit.com/cn/bakery-biscuits/rusks-wafers/cid/888/107","Thakar Saunf Elaichi Rusk","700 g","₹300","","","14 mins","ADD","","","",""
"1775624692-18","https://blinkit.com/cn/bakery-biscuits/rusks-wafers/cid/888/107","Sunfeast Dark Fantasy Rich Creme Filled Choco Wafer Roll","180 g","₹99","₹177","44%
OFF","12 mins","ADD","","","",""
"1775624692-19","https://blinkit.com/cn/bakery-biscuits/rusks-wafers/cid/888/107","Beanly Choco Hazelnut Spread with Breadsticks","52 g","₹99","₹133","25%
OFF","12 mins","ADD","3 options","","",""
"1775624692-20","https://blinkit.com/cn/bakery-biscuits/rusks-wafers/cid/888/107","Dukes Waffy Chocolate Wafers","55 g","₹27","₹45","40%
OFF","12 mins","ADD","2 options","","",""
"1775624692-21","https://blinkit.com/cn/bakery-biscuits/rusks-wafers/cid/888/107","Dukes Waffy Vanilla Wafers","55 g","₹27","₹45","40%
OFF","12 mins","ADD","","","",""
"1775624692-22","https://blinkit.com/cn/bakery-biscuits/rusks-wafers/cid/888/107","Karachi Bakery Twist Khari","200 g","₹81","₹85","","12 mins","ADD","","","",""
"1775624692-23","https://blinkit.com/cn/bakery-biscuits/rusks-wafers/cid/888/107","Dukes Waffy Strawberry Wafers","55 g","₹27","₹45","40%
OFF","12 mins","ADD","","","",""
"1775624692-24","https://blinkit.com/cn/bakery-biscuits/rusks-wafers/cid/888/107","Parle Premium Real Elaichi Rusk","1 kg","₹180","₹240","25%
OFF","12 mins","ADD","2 options","","",""
"1775624692-25","https://blinkit.com/cn/bakery-biscuits/rusks-wafers/cid/888/107","Sunfeast Fantastik Mini Treats (Homepack) Wafer Roll","125.4 g","₹63","₹88","28%
OFF","12 mins","ADD","","","",""
"1775624692-26","https://blinkit.com/cn/bakery-biscuits/rusks-wafers/cid/888/107","Unibic Qubz Assorted Wafer Chocolate","3 x 30 g","₹81","₹90","10%
OFF","12 mins","ADD","","","",""
"1775624692-27","https://blinkit.com/cn/bakery-biscuits/rusks-wafers/cid/888/107","Dukes Waffy Orange Wafers","55 g","₹27","₹45","40%
OFF","12 mins","ADD","","","",""
"1775624692-28","https://blinkit.com/cn/bakery-biscuits/rusks-wafers/cid/888/107","Choki Choki Choco Filled Wafer Roll","45 g","₹30","","","12 mins","ADD","","","",""
"1775624692-29","https://blinkit.com/cn/bakery-biscuits/rusks-wafers/cid/888/107","Loacker Quadratini Espresso Wafer Biscuit","110 g","₹199","₹249","20%
OFF","14 mins","ADD","","","",""
