web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2,image3
"1775627182-1","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Tata Plus Iron Health, Double Fortified Salt","1 kg","₹35","","","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2fe87df2-dd5f-43d6-805f-da2ef48d28b7.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627182-2","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Whole Farm Grocery Sugar (Packet) (Chini)","1 kg","₹54","₹75","28%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/cf6ec834-9b41-4022-9f56-434154bb97f2.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627182-3","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Tata Salt (Vacuum Evaporated Iodised) (Nuun)","1 kg","₹27","₹30","10%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/691b74b3-ba1c-4ffe-ac6a-48a52c67eec6.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627182-4","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Fortune Sulphurless Sugar (Sulphur Mukt Chini)","1 kg","₹60","₹75","20%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e24164fa-4851-46a4-995f-2a3c540c63ec.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627182-5","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Tata Himalayan Pink Rock Salt (Sendha Namak)","500 g","₹64","₹65","","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/fd8065e5-b625-4c2c-8694-9cb8bae6f5f7.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627182-6","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Aashirvaad Iodized Natural Salt 1 kg (Nuun)","1 kg","₹28","₹30","6%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1ee62772-19e6-40bd-907f-1906e2efede5.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627182-7","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Whole Farm Grocery Nakul Dana / Elaichi Dana","200 g","₹24","₹39","38%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/03c93864-7b3a-4fb1-939a-04182badebdf.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627182-8","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Tata Salt Lite (15% Less Sodium) (Nuun)","1 kg","₹50","","","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/901605b1-c063-4a5b-8e6d-63a42c6d06d9.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627182-9","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Amul Organic Sugar","1 kg","₹67","₹80","16%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d40fc8f0-0022-4cd7-8724-9836d478cb2a.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627182-10","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Whole Farm Premium Diamond Mishri","100 g","₹12","₹20","40%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/537b115b-666c-45a4-97ee-ccc9e34fa378.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
