web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2
"1775667754-1","https://blinkit.com/cn/sauces-spreads/asian-sauces/cid/972/1045","Maggi Hot & Sweet Tomato Chilli Ketchup 200 g","200 g","₹75","","","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e5b2c171-702c-42f4-a4da-bd78d8b6a6f0.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667754-2","https://blinkit.com/cn/sauces-spreads/asian-sauces/cid/972/1045","Ching's Secret Dark Soy Sauce Rich, Brown and Zesty","210 g","₹52","₹56","7%
OFF","27 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f2e7792d-acfd-4b10-96a7-85d18f75b428.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667754-3","https://blinkit.com/cn/sauces-spreads/asian-sauces/cid/972/1045","Ching's Secret Green Chilli Sauce","190 g","₹56","₹60","6%
OFF","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/fd9e6dc1-6b9b-4ee7-9caa-d9c58b0b796f.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667754-4","https://blinkit.com/cn/sauces-spreads/asian-sauces/cid/972/1045","MasterChow Chilli Oil","90 g","₹108","₹149","27%
OFF","27 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/aa36f412-79a9-4484-a270-402d1d36fc06.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667754-5","https://blinkit.com/cn/sauces-spreads/asian-sauces/cid/972/1045","Ching's Secret Red Chilli Sauce, Bold, Fiery & Aromatic","200 g","₹52","₹56","7%
OFF","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c2aa4b89-06bd-40b3-a334-8ee7ce760b6e.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667754-6","https://blinkit.com/cn/sauces-spreads/asian-sauces/cid/972/1045","Keya Dark Soy Sauce","200 g","₹47","₹55","14%
OFF","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/3baf7e37-fbd1-4a65-93ef-2161673c92cd.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667754-7","https://blinkit.com/cn/sauces-spreads/asian-sauces/cid/972/1045","Ching's Secret Red Chilli Sauce + Ching's Secret Green Chilli Sauce + Ching's Secret Superior Dark Soy Sauce Combo","190 g + 200 g + 210 g","₹147","₹172","14%
OFF","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a1274672-effc-430e-911f-26bc9c528a91.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667754-8","https://blinkit.com/cn/sauces-spreads/asian-sauces/cid/972/1045","Ching's Secret Green Chilli Sauce Bold & Flavourful","680 g","₹76","₹84","9%
OFF","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d23d7f31-33ca-45c6-a7bd-cd1a6a6dba2d.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667754-9","https://blinkit.com/cn/sauces-spreads/asian-sauces/cid/972/1045","Ching's Secret Dark Soy Sauce Rich, Brown and Zesty +  Red Chilli Sauce, Bold, Fiery & Aromatic +  Green Chilli Sauce +  Chilli Vinegar Combo","210 g + 200 g + 190 g + 170 ml","₹178","₹222","19%
OFF","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/01035bf6-5206-4143-b4a3-7598713cba45.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775667754-10","https://blinkit.com/cn/sauces-spreads/asian-sauces/cid/972/1045","MasterChow Red Chilli Sauce + Green Chilli Sauce + Dark Soya Sauce Combo","200 g + 190 g + 210 g","₹139","₹207","32%
OFF","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/21ba5c98-609a-4ef2-8bc4-f7f7bf0118cc.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
