web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2
"1775586118-1","https://blinkit.com/cn/dairy-breakfast/sausage-salami-ham/cid/14/1388","Haringhata Cocktail Chicken Sausage (Frozen)","250 g","₹105","","","10 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/57c67f53-da54-4c19-b55c-2ad6bcebc112.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775586118-2","https://blinkit.com/cn/dairy-breakfast/sausage-salami-ham/cid/14/1388","Prasuma English Breakfast Chicken Sausage","1 kg","₹322","₹585","44%
OFF","10 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/708d1a05-8811-4bde-ac8c-c0a81b47a460.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775586118-3","https://blinkit.com/cn/dairy-breakfast/sausage-salami-ham/cid/14/1388","Godrej Yummiez Breakfast Chicken Sausage (Frozen)","250 g","₹159","₹178","10%
OFF","10 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7a484cfa-559c-46cd-9c26-4fee238e9527.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775586118-4","https://blinkit.com/cn/dairy-breakfast/sausage-salami-ham/cid/14/1388","Haringhata Chicken Salami (Frozen)","250 g","₹115","","","10 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2b8e8008-c839-40e8-aefc-9d3383e0861c.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775586118-5","https://blinkit.com/cn/dairy-breakfast/sausage-salami-ham/cid/14/1388","Prasuma Cheese & Chilli Chicken Sausage","250 g","₹158","₹185","14%
OFF","10 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774509071057-80.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775586118-6","https://blinkit.com/cn/dairy-breakfast/sausage-salami-ham/cid/14/1388","Prasuma Pork Bacon Small Pack","150 g","₹187","₹210","10%
OFF","10 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770354074420-259.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775586118-7","https://blinkit.com/cn/dairy-breakfast/sausage-salami-ham/cid/14/1388","Godrej Yummiez Pepper & Herb Chicken Salami (Frozen)","250 g","₹173","₹190","8%
OFF","10 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/cf58c9d0-ad90-4e61-8798-0b321bdc8792.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775586118-8","https://blinkit.com/cn/dairy-breakfast/sausage-salami-ham/cid/14/1388","Keventer Chicken Sausage (Frozen)","500 g","₹340","","","10 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e35d8514-a909-4b6c-b45c-5d549e2100c8.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775586118-9","https://blinkit.com/cn/dairy-breakfast/sausage-salami-ham/cid/14/1388","Total Cocktail Chicken Sausage","250 g","₹156","₹173","9%
OFF","10 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ef3282a2-38be-47a7-9304-bd4514b44d4a.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775586118-10","https://blinkit.com/cn/dairy-breakfast/sausage-salami-ham/cid/14/1388","Keventer Italian Chicken Sausage","500 g","₹278","₹370","24%
OFF","10 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/85beda0a-ead7-4d1b-9181-9a9860554e2e.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775586118-11","https://blinkit.com/cn/dairy-breakfast/sausage-salami-ham/cid/14/1388","Prasuma Chicken Sausage","250 g","₹161","₹180","10%
OFF","10 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774509071057-65.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775586118-12","https://blinkit.com/cn/dairy-breakfast/sausage-salami-ham/cid/14/1388","Prasuma Pepper & Herb Chicken Sausage","250 g","₹160","₹195","17%
OFF","10 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770354074420-132.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775586118-13","https://blinkit.com/cn/dairy-breakfast/sausage-salami-ham/cid/14/1388","Godrej Yummiez Chilli Chicken Sausage (Frozen)","250 g","₹169","₹178","5%
OFF","10 mins","ADD","",""
"1775586118-14","https://blinkit.com/cn/dairy-breakfast/sausage-salami-ham/cid/14/1388","Prasuma Chicken Ham","200 g","₹167","₹185","9%
OFF","10 mins","ADD","",""
"1775586118-15","https://blinkit.com/cn/dairy-breakfast/sausage-salami-ham/cid/14/1388","Godrej Yummiez Cheese & Onion Chicken Sausage","250 g","₹189","₹201","5%
OFF","10 mins","ADD","",""
"1775586118-16","https://blinkit.com/cn/dairy-breakfast/sausage-salami-ham/cid/14/1388","Meatzza Jumbo Chicken Sausage","250 g","₹170","₹180","5%
OFF","10 mins","ADD","",""
"1775586118-17","https://blinkit.com/cn/dairy-breakfast/sausage-salami-ham/cid/14/1388","MeisterWurst Peppery Chicken Salami","200 g","₹244","₹470","48%
OFF","10 mins","ADD","",""
"1775586118-18","https://blinkit.com/cn/dairy-breakfast/sausage-salami-ham/cid/14/1388","Prasuma Chilli Chicken Salami","200 g","₹158","₹175","9%
OFF","10 mins","ADD","",""
"1775586118-19","https://blinkit.com/cn/dairy-breakfast/sausage-salami-ham/cid/14/1388","Prasuma Pork Breakfast Bacon","300 g","₹352","₹370","","10 mins","ADD","",""
"1775586118-20","https://blinkit.com/cn/dairy-breakfast/sausage-salami-ham/cid/14/1388","Prasuma Pork Sausage","250 g","₹203","₹235","13%
OFF","10 mins","ADD","",""
"1775586118-21","https://blinkit.com/cn/dairy-breakfast/sausage-salami-ham/cid/14/1388","Prasuma Chicken Salami","200 g","₹157","₹190","17%
OFF","10 mins","ADD","",""
"1775586118-22","https://blinkit.com/cn/dairy-breakfast/sausage-salami-ham/cid/14/1388","Prasuma Pork Pepperoni Salami","100 g","₹160","₹185","13%
OFF","10 mins","ADD","",""
"1775586118-23","https://blinkit.com/cn/dairy-breakfast/sausage-salami-ham/cid/14/1388","Carnivore Spicy Chicken Salami (Frozen)","250 g","₹148","₹180","17%
OFF","10 mins","ADD","",""
"1775586118-24","https://blinkit.com/cn/dairy-breakfast/sausage-salami-ham/cid/14/1388","Meatzza Masala Sliced Chicken Salami","250 g","₹158","₹175","9%
OFF","10 mins","ADD","",""
"1775586118-25","https://blinkit.com/cn/dairy-breakfast/sausage-salami-ham/cid/14/1388","Prasuma Smoked Pork Ham","200 g","₹209","₹245","14%
OFF","10 mins","ADD","",""
"1775586118-26","https://blinkit.com/cn/dairy-breakfast/sausage-salami-ham/cid/14/1388","Venky's Breakfast Chicken Sausage (Frozen)","500 g","₹315","","","10 mins","ADD","",""
"1775586118-27","https://blinkit.com/cn/dairy-breakfast/sausage-salami-ham/cid/14/1388","Carnivore Masala Chicken Sausage","250 g","₹148","₹180","17%
OFF","10 mins","ADD","",""
"1775586118-28","https://blinkit.com/cn/dairy-breakfast/sausage-salami-ham/cid/14/1388","MeisterWurst Pork Pepperoni Salami","200 g","₹313","₹550","43%
OFF","10 mins","ADD","",""
"1775586118-29","https://blinkit.com/cn/dairy-breakfast/sausage-salami-ham/cid/14/1388","MeisterWurst Smoked Hotdog Chicken Sausage","200 g","₹196","₹370","47%
OFF","10 mins","ADD","",""
"1775586118-30","https://blinkit.com/cn/dairy-breakfast/sausage-salami-ham/cid/14/1388","MeisterWurst Smoked Pork Ham","200 g","₹293","₹550","46%
OFF","10 mins","ADD","",""
"1775586118-31","https://blinkit.com/cn/dairy-breakfast/sausage-salami-ham/cid/14/1388","Godrej Yummiez Chilli Chicken Sausage (Frozen)","250 g","₹169","₹178","5%
OFF","10 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/9d0b7411-90fd-4be3-8067-b11a61f8699c.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775586118-32","https://blinkit.com/cn/dairy-breakfast/sausage-salami-ham/cid/14/1388","Prasuma Chicken Ham","200 g","₹167","₹185","9%
OFF","10 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774509071057-140.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775586118-33","https://blinkit.com/cn/dairy-breakfast/sausage-salami-ham/cid/14/1388","Godrej Yummiez Cheese & Onion Chicken Sausage","250 g","₹189","₹201","5%
OFF","10 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/13582774-5af8-4d75-9a24-d89b559cd5ef.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775586118-34","https://blinkit.com/cn/dairy-breakfast/sausage-salami-ham/cid/14/1388","Meatzza Jumbo Chicken Sausage","250 g","₹170","₹180","5%
OFF","10 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/4420848f-90d4-4a30-9d93-7280d1a2e4b4.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775586118-35","https://blinkit.com/cn/dairy-breakfast/sausage-salami-ham/cid/14/1388","MeisterWurst Peppery Chicken Salami","200 g","₹244","₹470","48%
OFF","10 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/fa7bbeb4-eeb4-45d5-8ab9-cc4ebdb213bd.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775586118-36","https://blinkit.com/cn/dairy-breakfast/sausage-salami-ham/cid/14/1388","Prasuma Chilli Chicken Salami","200 g","₹158","₹175","9%
OFF","10 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774509071057-95.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
