web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2,image3
"1775622422-1","https://blinkit.com/cn/instant-frozen-food/herbs-seasoning/cid/15/1968","On1y Popcorn Cheese Seasoning Mix","130 g","₹120","₹149","19%
OFF","11 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/230582fc-a6ae-4be4-920c-6ff00c8a82d7.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622422-2","https://blinkit.com/cn/instant-frozen-food/herbs-seasoning/cid/15/1968","Snapin Oregano Seasoning","50 g","₹49","₹55","10%
OFF","11 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/fa7569e0-b073-4b1b-991b-5158ba1ba47a.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622422-3","https://blinkit.com/cn/instant-frozen-food/herbs-seasoning/cid/15/1968","Keya Pizza Oregano Spice Mix","40 g","₹53","₹60","11%
OFF","11 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/b012c27e-acb5-4900-89ab-1a19f3566fe2.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622422-4","https://blinkit.com/cn/instant-frozen-food/herbs-seasoning/cid/15/1968","Keya Red Chilli Flakes","40 g","₹88","₹99","11%
OFF","11 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/452bd8f8-5a17-43ee-b818-db95d52f3edc.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622422-5","https://blinkit.com/cn/instant-frozen-food/herbs-seasoning/cid/15/1968","On1y Piri Piri Cheese Seasoning Mix","130 g","₹128","₹159","19%
OFF","11 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/099fb95e-4ecc-4a15-aa68-5dade1b80970.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622422-6","https://blinkit.com/cn/instant-frozen-food/herbs-seasoning/cid/15/1968","Snapin Chilli Flakes","10 x 3 g","₹45","₹55","18%
OFF","11 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/77089d42-0505-4c5c-8857-011a049f0299.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622422-7","https://blinkit.com/cn/instant-frozen-food/herbs-seasoning/cid/15/1968","Snapin Oregano Seasoning +  Chilli Flakes Combo","50 g + 10 x 3 g","₹85","₹110","22%
OFF","11 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ecb8e527-218a-47ab-a532-04013f246419.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622422-8","https://blinkit.com/cn/instant-frozen-food/herbs-seasoning/cid/15/1968","Snapin Pizza Oregano Mix Seasoning","48 g","₹95","₹99","","11 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/066f0ef8-130e-41e1-8230-b91ba0299aa6.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622422-9","https://blinkit.com/cn/instant-frozen-food/herbs-seasoning/cid/15/1968","Orika All- Purpose Korean Seasoning","75 g","₹71","₹112","36%
OFF","11 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f8de93e5-101a-416c-8ca5-24f4f17bd32f.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622422-10","https://blinkit.com/cn/instant-frozen-food/herbs-seasoning/cid/15/1968","Keya Pizza Oregano","75 g","₹105","₹119","11%
OFF","11 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/adaee9e7-1b2e-467a-817b-ac94bbea27c4.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
