web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775677786-1","https://blinkit.com/cn/pharma-wellness/sexual-wellness/cid/287/741","Durex Elevate Performa Shilajit Capsules For Men","30 pcs","₹461","₹561","17%
OFF","ADD","13 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/567d90fb-4835-4af7-82d0-7837daacebee.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775677786-2","https://blinkit.com/cn/pharma-wellness/sexual-wellness/cid/287/741","Manforce Xotic Extra Dotted Condom - Strawberry Flavour","10 pcs","₹95","₹99","","ADD","13 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773312652900-16.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775677786-3","https://blinkit.com/cn/pharma-wellness/sexual-wellness/cid/287/741","Durex Extra Time Longer Lasting Condom","4 pcs","₹128","₹144","11%
OFF","ADD","13 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/63078e4f-14bc-4d46-a54b-8c87d1453ad1.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775677786-4","https://blinkit.com/cn/pharma-wellness/sexual-wellness/cid/287/741","Durex Skin-on-Skin Real Feel Condom","3 pcs","₹174","₹181","","ADD","13 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1e0fcb72-5e06-4534-bf70-07309acc2169.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775677786-5","https://blinkit.com/cn/pharma-wellness/sexual-wellness/cid/287/741","Durex Real Feel Long-Lasting Lubricant","50 ml","₹340","₹399","14%
OFF","ADD","13 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/88823d44-44cc-4c6e-b3f8-4bcfeee2dfd6.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775677786-6","https://blinkit.com/cn/pharma-wellness/sexual-wellness/cid/287/741","Manforce Xotic Dotted Condom - Chocolate Flavour","10 pcs","₹70","₹99","29%
OFF","ADD","13 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773312652900-5.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775677786-7","https://blinkit.com/cn/pharma-wellness/sexual-wellness/cid/287/741","Durex Intense Lubricant -Tingling Lube","50 ml","₹348","₹399","12%
OFF","ADD","13 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/03227bf7-ceee-4bbd-81d7-7198986525d5.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775677786-8","https://blinkit.com/cn/pharma-wellness/sexual-wellness/cid/287/741","Manforce Epic Pleasure Long Lasting Raspberry Condom","3 pcs","₹59","₹80","26%
OFF","ADD","13 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8946273f-d3d2-4803-9575-30c3d0cc9aef.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775677786-9","https://blinkit.com/cn/pharma-wellness/sexual-wellness/cid/287/741","Manforce Xtra Passion Extra Time Ultra Thin Condom","10 pcs","₹99","₹150","34%
OFF","ADD","13 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773312652900-404.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775677786-10","https://blinkit.com/cn/pharma-wellness/sexual-wellness/cid/287/741","Manforce Epic Thin X Ultra-thin Condom","3 pcs","₹99","₹160","38%
OFF","ADD","13 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773312652900-196.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775677786-11","https://blinkit.com/cn/pharma-wellness/sexual-wellness/cid/287/741","Manforce Epic Strawberry Flavoured Lubricant (water based)","60 ml","₹199","₹400","50%
OFF","ADD","13 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775218772831-147.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775677786-12","https://blinkit.com/cn/pharma-wellness/sexual-wellness/cid/287/741","ForMen Last Long Condom","10 pcs","₹159","₹160","","ADD","30 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a7c35324-1651-4577-bb8c-f59f17a934be.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
