web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2
"1775679589-1","https://blinkit.com/cn/cleaning-essentials/shoe-care/cid/18/57","Cherry Blossom Black Wax Shoe Polish","40 g","₹94","₹98","","ADD","13 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/6f3c0124-42b7-4b3d-9434-67bc7f5b503c.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775679589-2","https://blinkit.com/cn/cleaning-essentials/shoe-care/cid/18/57","Helios Twin Shoe Brush","1 pc","₹81","₹90","10%
OFF","ADD","13 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/09d974f3-ad81-4f61-8b44-fc6eb3e13403.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775679589-3","https://blinkit.com/cn/cleaning-essentials/shoe-care/cid/18/57","Cherry Blossom Neutral, Handy Shoe Shiner","1 pc","₹91","₹95","","ADD","13 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/77a7d934-67c2-4bb0-ba31-21531273670f.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775679589-4","https://blinkit.com/cn/cleaning-essentials/shoe-care/cid/18/57","Cherry Blossom Black Handy Shoe Shiner","1 pc","₹91","₹95","","ADD","13 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ed6a69e2-b4d9-45e4-9314-408b3086c13c.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775679589-5","https://blinkit.com/cn/cleaning-essentials/shoe-care/cid/18/57","Cherry Blossom Black Liquid Shoe Polish","75 ml","₹132","₹138","","ADD","13 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/371ecc8c-cc57-44c4-9052-168e105f069d.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775679589-6","https://blinkit.com/cn/cleaning-essentials/shoe-care/cid/18/57","Kiwi Express Shine Sponge Neutral Shoe Shiner","5 ml","₹87","₹92","5%
OFF","ADD","13 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/beda5d0a-c784-4298-8de9-28a6753afbfe.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775679589-7","https://blinkit.com/cn/cleaning-essentials/shoe-care/cid/18/57","Boldfit Shoe Cleaning Wipes","100 wipes","₹249","₹599","58%
OFF","ADD","13 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774519548008-822.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775679589-8","https://blinkit.com/cn/cleaning-essentials/shoe-care/cid/18/57","Helios Shoe Cream (Natural)","60 g","₹113","₹125","9%
OFF","ADD","13 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d774cdc9-072d-4a6a-bb9c-a46f941c52b9.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775679589-9","https://blinkit.com/cn/cleaning-essentials/shoe-care/cid/18/57","Kiwi Express Shine Sponge Black Shoe Shiner","5 ml","₹87","₹92","5%
OFF","ADD","13 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/03cd496d-e3ae-4a51-b2e7-8b29522a5ea1.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775679589-10","https://blinkit.com/cn/cleaning-essentials/shoe-care/cid/18/57","Helios Shoe Whitener","75 ml","₹225","₹249","9%
OFF","ADD","13 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/977be5d2-11e9-430b-8ed6-017939b96b7b.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
