web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775706039-1","https://blinkit.com/cn/personal-care/shower-gels-body-wash/cid/163/981","Skin Elements 2-In-1 Men's Body & Intimate Wash","500 ml","₹349","₹899","61%
OFF","ADD","24 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/bbb766bc-04f0-4b70-9632-eeee5592075c.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775706039-2","https://blinkit.com/cn/personal-care/shower-gels-body-wash/cid/163/981","Fiama Patchouli & Macadamia Shower Gel (with Skin Conditioners)","250 ml","₹99","₹199","50%
OFF","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772772544327-615.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775706039-3","https://blinkit.com/cn/personal-care/shower-gels-body-wash/cid/163/981","Fiama Blackcurrant & Bearberry Radiant Glow Shower Gel","250 ml","₹109","₹149","26%
OFF","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772772544327-673.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775706039-4","https://blinkit.com/cn/personal-care/shower-gels-body-wash/cid/163/981","Lux Black Orchid Scent & Juniper Oil","245 ml","₹99","","","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772772544327-1125.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775706039-5","https://blinkit.com/cn/personal-care/shower-gels-body-wash/cid/163/981","Axe Africa 3-in-1 Hair, Face & Body Wash","400 ml","₹190","₹380","50%
OFF","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772523209442-142.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775706039-6","https://blinkit.com/cn/personal-care/shower-gels-body-wash/cid/163/981","Lux French Rose & Almond Oil Body Wash","245 ml","₹99","","","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772772544327-1137.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775706039-7","https://blinkit.com/cn/personal-care/shower-gels-body-wash/cid/163/981","Vivel Fragrant Body Wash (Lavender + Almond Oil)","400 ml","₹85","₹99","14%
OFF","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772772544327-2310.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775706039-8","https://blinkit.com/cn/personal-care/shower-gels-body-wash/cid/163/981","Sanfe Instant Tan & Dead Skin Removal Exfoliating De-Tan Mask","100 g","₹399","","","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770619374221-42.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775706039-9","https://blinkit.com/cn/personal-care/shower-gels-body-wash/cid/163/981","Fiama Blackcurrant & Bearberry Shower Gel (895 ml)","895 ml","₹269","₹500","46%
OFF","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/240baece-e788-435c-a356-9a6a67bb9ca4.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775706039-10","https://blinkit.com/cn/personal-care/shower-gels-body-wash/cid/163/981","Pears Pure & Gentle Body Wash - with Free Loofah","250 ml","₹115","₹140","17%
OFF","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772772544327-694.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775706039-11","https://blinkit.com/cn/personal-care/shower-gels-body-wash/cid/163/981","Dove Deep Moisture Body Wash","800 ml","₹374","₹560","33%
OFF","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773116238333-767.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775706039-12","https://blinkit.com/cn/personal-care/shower-gels-body-wash/cid/163/981","Dettol Icy Cool Shower Gel for Men (250 ml)","250 ml","₹104","₹129","19%
OFF","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772772544327-647.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775706039-13","https://blinkit.com/cn/personal-care/shower-gels-body-wash/cid/163/981","Dove Renew Nourishing Body Wash","1 ltr","₹467","₹849","44%
OFF","ADD","11 mins","","","",""
"1775706039-14","https://blinkit.com/cn/personal-care/shower-gels-body-wash/cid/163/981","Dabur Gulabari Shower Gel (Himalayan Rose & Oudh)","250 ml","₹89","₹219","59%
OFF","ADD","11 mins","","","",""
"1775706039-15","https://blinkit.com/cn/personal-care/shower-gels-body-wash/cid/163/981","Fiama Golden Sandalwood oil and Patchouli Shower Gel","250 ml","₹116","₹149","22%
OFF","ADD","11 mins","","","",""
"1775706039-16","https://blinkit.com/cn/personal-care/shower-gels-body-wash/cid/163/981","Dove Relaxing Care Nourishing Body Wash","1 ltr","₹522","₹949","44%
OFF","ADD","11 mins","","","",""
"1775706039-17","https://blinkit.com/cn/personal-care/shower-gels-body-wash/cid/163/981","Bla Bli Blu Love Drunk Perfumed Body Wash","250 ml","₹249","₹275","9%
OFF","ADD","11 mins","","","",""
