web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,image
"1775678451-1","https://blinkit.com/cn/pharma-wellness/smoking-cessation/cid/287/290","Nicotex Paan Flavour Nicotine Gum","29 pcs","₹216","₹288","25%
OFF","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d3775551-651c-45a8-809b-2b65a1da832f.png"
"1775678451-2","https://blinkit.com/cn/pharma-wellness/smoking-cessation/cid/287/290","Nicotex Mint Plus Nicotine Gum","30 pcs","₹278","₹298","6%
OFF","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ec5deef6-ceea-4f10-9f19-9a0f0cd8abad.png"
"1775678451-3","https://blinkit.com/cn/pharma-wellness/smoking-cessation/cid/287/290","Nicotex Ultra Mint Nicotine Gum","9 pcs","₹69","₹92","25%
OFF","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/b813e9fa-d139-4226-b0a0-35b0b809072c.png"
"1775678451-4","https://blinkit.com/cn/pharma-wellness/smoking-cessation/cid/287/290","Fast&Up Lung Detox Supplement Effervescent Tablets for Easy Breathing (Strawberry)","20 tabs","₹344","₹365","5%
OFF","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ed9466d7-6c66-4b0c-a0de-59bd990fc18a.png"
"1775678451-5","https://blinkit.com/cn/pharma-wellness/smoking-cessation/cid/287/290","Nicotex Fruit Burst Nicotine Gum","9 pcs","₹69","₹92","25%
OFF","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/395833d3-68c2-4777-8362-c2194ee08e7c.png"
"1775678451-6","https://blinkit.com/cn/pharma-wellness/smoking-cessation/cid/287/290","Ryze Nicotine Gum (2 mg, Fresh Fennel)","9 pcs","₹76","₹80","5%
OFF","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c885f9b0-2bec-4855-952c-3ef491c9dfa4.png"
"1775678451-7","https://blinkit.com/cn/pharma-wellness/smoking-cessation/cid/287/290","Ryze Nicotine Gum (2 mg, Frosty Mint)","9 pcs","₹68","₹80","15%
OFF","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a067c816-a08e-4110-80dd-69033bbc10af.png"
"1775678451-8","https://blinkit.com/cn/pharma-wellness/smoking-cessation/cid/287/290","Ryze Nicotine Gum (2 mg, Fruit Blast)","9 pcs","₹76","₹80","5%
OFF","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/3ea6b36c-fa6b-4376-a493-d67bab6a9d25.png"
"1775678451-9","https://blinkit.com/cn/pharma-wellness/smoking-cessation/cid/287/290","Ryze Royal Paan Flavoured Nicotine Gum","9 x 2 mg","₹60","₹80","25%
OFF","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772001812401-179.png"
"1775678451-10","https://blinkit.com/cn/pharma-wellness/smoking-cessation/cid/287/290","Ryze Pan Masala Flavoured Nicotine Gum","9 x 2 mg","₹60","₹80","25%
OFF","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772001812401-171.png"
"1775678451-11","https://blinkit.com/cn/pharma-wellness/smoking-cessation/cid/287/290","Nicosure Spearmint Nicotine Gum","10 pcs","₹86","₹101","14%
OFF","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774930722400-6.png"
"1775678451-12","https://blinkit.com/cn/pharma-wellness/smoking-cessation/cid/287/290","Sanfe Anti Smoking Patches","5 pcs","₹245","₹249","","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ce3a6006-615a-499e-a5a0-9c7b97d67ded.png"
"1775678451-13","https://blinkit.com/cn/pharma-wellness/smoking-cessation/cid/287/290","Nicotex Paan Flavour Nicotine Gum","12 pcs","₹115","₹123","Out of Stock","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d4653715-a3bd-4265-83b2-08b86a30163b.png"
"1775678451-14","https://blinkit.com/cn/pharma-wellness/smoking-cessation/cid/287/290","Nicosure Icemint Nicotine Lozenges","12 pcs","₹96","₹112","Out of Stock","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774930722400-15.png"
"1775678451-15","https://blinkit.com/cn/pharma-wellness/smoking-cessation/cid/287/290","Nicotex Mint Plus Flavour Nicotine Gum","12 pcs","₹115","₹123","Out of Stock","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e37e32e6-ccf5-43ee-bab4-6d1a274f176f.png"
"1775678451-16","https://blinkit.com/cn/pharma-wellness/smoking-cessation/cid/287/290","Nicotex Ultra Mint Nicotine Gum - Pack of 2","2 x 9 pcs","₹137","₹185","Out of Stock","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/67d6ff19-9b7a-4546-95d7-6e5666a15111.png"
"1775678451-17","https://blinkit.com/cn/pharma-wellness/smoking-cessation/cid/287/290","Nicotex Mint Plus Nicotine Gum - Pack of 2","2 x 30 pcs","₹537","₹596","Out of Stock","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a08def46-bff0-4743-afae-dc847f8b1735.png"
"1775678451-18","https://blinkit.com/cn/pharma-wellness/smoking-cessation/cid/287/290","Nicotex Mint Plus Flavour Nicotine Gum - Pack of 2","2 x 12 pcs","₹222","₹246","Out of Stock","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/fc5a3895-e47a-4e4c-a93f-4decdb1a5eeb.png"
"1775678451-19","https://blinkit.com/cn/pharma-wellness/smoking-cessation/cid/287/290","Nicotex Fruit Burst Nicotine Gum - Pack of 2","2 x 9 pcs","₹137","₹185","Out of Stock","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/6e5da729-87a6-421a-85ce-d221f2f5b6a2.png"
"1775678451-20","https://blinkit.com/cn/pharma-wellness/smoking-cessation/cid/287/290","Nicotex Paan Flavour Nicotine Gum - Pack of 2","2 x 12 pcs","₹222","₹246","Out of Stock","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/13c39d02-2f20-4784-83be-7b054f491b9e.png"
"1775678451-21","https://blinkit.com/cn/pharma-wellness/smoking-cessation/cid/287/290","Cigibud Nanoclean Anti Smoking Filter","30 pcs","₹350","","Out of Stock","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/063686c6-f139-4895-946b-5b45e16d8a8f.png"
"1775678451-22","https://blinkit.com/cn/pharma-wellness/smoking-cessation/cid/287/290","Ryze Nicotine Gum (2 mg, Frosty Mint) - Pack of 2","2 x 9 pcs","₹133","₹160","Out of Stock","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7d5d587f-479e-4d47-b6af-95af85a62d29.png"
