web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2
"1775591104-1","https://blinkit.com/cn/cold-drinks-juices/soda-mixers/cid/332/1599","Kinley Strong Soda Water","750 ml","₹20","","","ADD","23 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772280350671-4.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775591104-2","https://blinkit.com/cn/cold-drinks-juices/soda-mixers/cid/332/1599","Paper Boat Swing Jeera Masala Soda","600 ml","₹50","","","ADD","23 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8c9a843f-2255-418b-a071-ba7a492bee0b.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775591104-3","https://blinkit.com/cn/cold-drinks-juices/soda-mixers/cid/332/1599","Schweppes Ginger Ale","300 ml","₹51","₹60","15%
OFF","ADD","23 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f3a10591-7e2c-45b7-9cf2-7626b797eb66.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775591104-4","https://blinkit.com/cn/cold-drinks-juices/soda-mixers/cid/332/1599","Paper Boat Zero Sugar Lemon Lime Sparkling Drink","600 ml","₹60","","","ADD","23 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d8280800-39d7-4fa1-9559-07c2acfa63b0.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775591104-5","https://blinkit.com/cn/cold-drinks-juices/soda-mixers/cid/332/1599","Paper Boat Zero Sugar Mint Mojito Sparkling Drink","600 ml","₹60","","","ADD","23 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/fd625eca-c913-4d1c-be92-9eeaf7f42159.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775591104-6","https://blinkit.com/cn/cold-drinks-juices/soda-mixers/cid/332/1599","Paper Boat Zero Cranberry Lime Sparkling Drink","600 ml","₹60","","","ADD","23 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8de11a1c-8520-4479-983d-7358ea744bea.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775591104-7","https://blinkit.com/cn/cold-drinks-juices/soda-mixers/cid/332/1599","Schweppes Indian Tonic Water","300 ml","₹51","₹60","15%
OFF","ADD","23 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/cf07ec0b-ef1c-49a3-a3d4-103d9871cab7.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775591104-8","https://blinkit.com/cn/cold-drinks-juices/soda-mixers/cid/332/1599","Paper Boat Zero Sugar Green Apple Sparkling Drink","600 ml","₹60","","","ADD","23 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c0888ab0-a00f-473c-8f69-04041f0dd528.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775591104-9","https://blinkit.com/cn/cold-drinks-juices/soda-mixers/cid/332/1599","Lahori Zeera Masala Soda - Pack of 24","24 x 160 ml","₹240","","","ADD","23 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/6a6c78e5-80c6-4937-a36f-c193f0c2a5bd.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775591104-10","https://blinkit.com/cn/cold-drinks-juices/soda-mixers/cid/332/1599","Dobra Pop Goli Soda - Nimbu Masala","225 ml","₹75","","","ADD","23 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/b7dcc4cc-b99e-4a76-8ccb-4814cd5b5114.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
