web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775589230-1","https://blinkit.com/cn/soft-drinks/cid/332/1102","Coolberg Cranberry Non-Alcoholic Beer","330 ml","₹109","","ADD","17 mins","","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/04140470-219b-4f26-b824-ae3fa7a45bdc.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775589230-2","https://blinkit.com/cn/soft-drinks/cid/332/1102","Thums Up Soft Drink","750 ml","₹34","₹40","ADD","17 mins","15%
OFF","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770356946958-58.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775589230-3","https://blinkit.com/cn/soft-drinks/cid/332/1102","Coca-Cola Diet Coke Soft Drink","300 ml","₹40","","ADD","17 mins","","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770356946958-165.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775589230-4","https://blinkit.com/cn/soft-drinks/cid/332/1102","Thums Up Cola Soft Drink (2 l)","2 ltr","₹79","₹85","ADD","17 mins","7%
OFF","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770356946958-268.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775589230-5","https://blinkit.com/cn/soft-drinks/cid/332/1102","Coolberg Peach Non-Alcoholic Beer","330 ml","₹109","","ADD","17 mins","","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c86a3ee7-fdce-467c-b965-9c82930e6296.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775589230-6","https://blinkit.com/cn/soft-drinks/cid/332/1102","Limca Lemon 'N' Lime Soft Drink 750 ml","750 ml","₹40","","ADD","17 mins","","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772682797673-136.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775589230-7","https://blinkit.com/cn/soft-drinks/cid/332/1102","Sprite Lime Flavored Soft Drink","750 ml","₹36","₹40","ADD","17 mins","10%
OFF","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772682797673-127.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775589230-8","https://blinkit.com/cn/soft-drinks/cid/332/1102","Coca-Cola Soft Drink","750 ml","₹37","₹40","ADD","17 mins","7%
OFF","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772682797673-118.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775589230-9","https://blinkit.com/cn/soft-drinks/cid/332/1102","Coolberg Diet Strawberry Non-Alcoholic Beer","330 ml","₹109","","ADD","17 mins","","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774357330113-91.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775589230-10","https://blinkit.com/cn/soft-drinks/cid/332/1102","Sprite Lime Soft Drink (2 l)","2 ltr","₹79","₹85","ADD","17 mins","7%
OFF","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770356946958-138.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775589230-11","https://blinkit.com/cn/soft-drinks/cid/332/1102","Thums Up Soft Drink","300 ml","₹40","","ADD","17 mins","","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772682797673-506.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
