web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2
"1775622246-1","https://blinkit.com/cn/instant-frozen-food/soup/cid/15/964","Knorr Classic Chicken Delite Soup with No Added Preservatives","42 g","₹62","₹65","","12 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770870008650-1489.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622246-2","https://blinkit.com/cn/instant-frozen-food/soup/cid/15/964","Knorr Classic Sweet Corn Vegetable Soup with No Added Preservatives","42 g","₹52","₹55","5%
OFF","12 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770870008650-1443.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622246-3","https://blinkit.com/cn/instant-frozen-food/soup/cid/15/964","Knorr International Italian Mushroom Soup with No Added Preservatives","46 g","₹62","₹65","","12 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770870008650-1584.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622246-4","https://blinkit.com/cn/instant-frozen-food/soup/cid/15/964","Knorr Sweet Corn Chicken Soup with No Added Preservatives","40 g","₹62","₹65","","12 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770870008650-1498.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622246-5","https://blinkit.com/cn/instant-frozen-food/soup/cid/15/964","Knorr Hot & Sour Vegetable Soup with No Added Preservatives","41 g","₹52","₹55","5%
OFF","12 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770870008650-1462.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622246-6","https://blinkit.com/cn/instant-frozen-food/soup/cid/15/964","Knorr Thick Tomato Soup","51 g","₹52","₹55","5%
OFF","12 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770870008650-1276.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622246-7","https://blinkit.com/cn/instant-frozen-food/soup/cid/15/964","Knorr Classic Mixed Vegetable Soup with No Added Preservatives","40 g","₹52","₹55","5%
OFF","12 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770870008650-1480.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622246-8","https://blinkit.com/cn/instant-frozen-food/soup/cid/15/964","Nongshim Kimchi Ramyun Noodles","120 g","₹139","","","12 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771305481383-1282.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622246-9","https://blinkit.com/cn/instant-frozen-food/soup/cid/15/964","Ching's Secret Sweet Corn Veg Soup 55 g","55 g","₹50","₹55","9%
OFF","12 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770870008650-1654.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622246-10","https://blinkit.com/cn/instant-frozen-food/soup/cid/15/964","Curryit Mix Veg Soup (Preservative Free)","55 g","₹59","₹69","14%
OFF","12 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770870008650-2620.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
