web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775681480-1","https://blinkit.com/cn/home-office/pooja-needs/cid/1379/1048","Yellaki Banana (Kola)","500 g","₹57","₹74","22%
OFF","ADD","18 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/931414a4-c9a9-4ce9-9f2d-be349ff056a1.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775681480-2","https://blinkit.com/cn/home-office/pooja-needs/cid/1379/1048","Baby Banana (Kola)","4 pcs","₹29","₹37","21%
OFF","ADD","18 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/72affebb-0553-40cb-a809-465c8d1ad51d.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775681480-3","https://blinkit.com/cn/home-office/pooja-needs/cid/1379/1048","Pooja Flower Mix (Phool Mix)","100 g","₹39","₹46","15%
OFF","ADD","18 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773548322922-6.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775681480-4","https://blinkit.com/cn/home-office/pooja-needs/cid/1379/1048","Matchbox by Homelites","5 pcs","₹10","","","ADD","18 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8d3526db-7d35-4635-86d3-af6a15b44dd9.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775681480-5","https://blinkit.com/cn/home-office/pooja-needs/cid/1379/1048","Brown Coconut (Narkel)","1 pc","₹44","₹50","12%
OFF","ADD","18 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/b27395a2-a1dc-45ca-8fe2-a3f7dce31272.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775681480-6","https://blinkit.com/cn/home-office/pooja-needs/cid/1379/1048","Banana (Kola)","3 pcs","₹25","₹30","16%
OFF","ADD","18 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/b89fe4bd-2018-4502-a80e-d8dc274955b8.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775681480-7","https://blinkit.com/cn/home-office/pooja-needs/cid/1379/1048","Holy Tulsi","10 g","₹15","₹18","16%
OFF","ADD","18 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1c346421-9558-49e8-9bf8-80f35ba5ae73.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775681480-8","https://blinkit.com/cn/home-office/pooja-needs/cid/1379/1048","Betel Leaves (Paan Patta)","5 pcs","₹19","₹24","20%
OFF","ADD","18 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773548322922-73.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775681480-9","https://blinkit.com/cn/home-office/pooja-needs/cid/1379/1048","Mangaldeep Sandal Incense Sticks / Agarbatti","106 g","₹62","₹65","","ADD","18 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d543d321-4c7c-4d82-b997-7b79d83217bd.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775681480-10","https://blinkit.com/cn/home-office/pooja-needs/cid/1379/1048","Big Matchbox by Homelites","1 pc","₹10","","","ADD","18 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c74207f5-b283-476d-b348-bf5ab57f083e.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
