web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775704316-1","https://blinkit.com/cn/personal-care/sunscreen/cid/163/752","RENEE Pore Minimising Sunscreen (SPF 70 PA++++)","50 ml","₹289","₹325","11%
OFF","ADD","15 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771383932793-1953.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775704316-2","https://blinkit.com/cn/personal-care/sunscreen/cid/163/752","Dot & Key Vitamin C + E Super Bright Sunscreen (SPF 50+ PA++++)","30 g","₹264","₹299","11%
OFF","ADD","15 mins","5 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771819828195-408.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775704316-3","https://blinkit.com/cn/personal-care/sunscreen/cid/163/752","Foxtale Glow Sunscreen In Vivo Tested (SPF 50 PA++++)","50 ml","₹297","₹349","14%
OFF","ADD","15 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774348510123-556.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775704316-4","https://blinkit.com/cn/personal-care/sunscreen/cid/163/752","Biotique Sun Shield Sandalwood Sunscreen (SPF 50+)","120 ml","₹290","₹550","47%
OFF","ADD","21 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771383932793-457.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775704316-5","https://blinkit.com/cn/personal-care/sunscreen/cid/163/752","La Shield Fisico Matte Sunscreen Gel (SPF 50+ PA++++)","50 g","₹713","₹750","","ADD","21 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775622045566-544.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775704316-6","https://blinkit.com/cn/personal-care/sunscreen/cid/163/752","Lakme Tint Matte Sunscreen (SPF 50 PA+++)","50 ml","₹275","₹395","30%
OFF","ADD","15 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774616173402-547.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775704316-7","https://blinkit.com/cn/personal-care/sunscreen/cid/163/752","Dot & Key Watermelon Cooling Sunscreen (SPF 50+ PA++++)","30 g","₹264","₹299","11%
OFF","ADD","15 mins","5 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771819828195-420.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775704316-8","https://blinkit.com/cn/personal-care/sunscreen/cid/163/752","Minimalist Vitamin B5 Sunscreen (SPF 50 PA++++)","30 g","₹237","₹249","","ADD","15 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771383932793-2105.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775704316-9","https://blinkit.com/cn/personal-care/sunscreen/cid/163/752","The Derma Co 1% Hyaluronic Sunscreen Gel Aqua (SPF 50 PA++++)","50 g","₹430","₹499","13%
OFF","ADD","15 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775622045566-362.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775704316-10","https://blinkit.com/cn/personal-care/sunscreen/cid/163/752","Lakme Sunscreen Gel (SPF 50 PA++++)","50 g","₹269","₹395","31%
OFF","ADD","15 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775639625125-296.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
