web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775624858-1","https://blinkit.com/cn/bakery-biscuits/sweet-salty/cid/888/144","Sunfeast Mom's Magic Shines Butter Cookies","128 g","₹29","₹30","","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771667792511-584.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624858-2","https://blinkit.com/cn/bakery-biscuits/sweet-salty/cid/888/144","Britannia Nice Time Coconut Biscuit","152 g","₹21","₹22","","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/592723f3-657c-41f6-ac02-f1dbe9f96b32.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624858-3","https://blinkit.com/cn/bakery-biscuits/sweet-salty/cid/888/144","Bisk Farm Crispy Cream Cracker Biscuit","250 g","₹44","₹45","","12 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/66902836-46f4-41ef-865a-6887fccfe3e4.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624858-4","https://blinkit.com/cn/bakery-biscuits/sweet-salty/cid/888/144","Bisk Farm The Top Sweet & Salty Biscuits","200 g","₹27","","","12 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774858847914-696.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624858-5","https://blinkit.com/cn/bakery-biscuits/sweet-salty/cid/888/144","Britannia 5050 Cheeze Dipped Biscuit","150 g","₹45","₹50","10%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773835887952-50.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624858-6","https://blinkit.com/cn/bakery-biscuits/sweet-salty/cid/888/144","Bisk Farm Just Ginger Biscuit","250 g","₹39","₹40","","12 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/dab6d658-34b5-4ca0-ad1c-090a999f32cc.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624858-7","https://blinkit.com/cn/bakery-biscuits/sweet-salty/cid/888/144","Parle Monaco Light Salty Classic Regular Biscuit","185.6 g","₹35","","","12 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/59234c1d-a077-428a-986e-6d8822ca7776.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624858-8","https://blinkit.com/cn/bakery-biscuits/sweet-salty/cid/888/144","Parle Krackjack Crackers Sweet & Salty Biscuits","176.4 g","₹35","","","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f081fcc4-f03a-46a0-b3ff-99a5dbaba029.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624858-9","https://blinkit.com/cn/bakery-biscuits/sweet-salty/cid/888/144","Orion Light & Tasty O'Rice Crackers","151.2 g","₹180","₹200","10%
OFF","12 mins","ADD","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ea24d6e1-c51c-4bac-b0d2-a96635cde9ed.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624858-10","https://blinkit.com/cn/bakery-biscuits/sweet-salty/cid/888/144","Bisk Farm Masala Cream Cracker Sugar Free Biscuit","250 g","₹39","₹40","","12 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774858847914-704.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624858-11","https://blinkit.com/cn/bakery-biscuits/sweet-salty/cid/888/144","Bisk Farm Googly Sweet & Salty Biscuits","180 g","₹27","","","12 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c70e2054-c2ca-4691-9cc4-ea6d5f3c8643.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624858-12","https://blinkit.com/cn/bakery-biscuits/sweet-salty/cid/888/144","Bisk Farm Mast Jeera Sweet & Salty Biscuits","200 g","₹45","","","12 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c6d4048e-12ed-474a-9225-20e8ed101173.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624858-13","https://blinkit.com/cn/bakery-biscuits/sweet-salty/cid/888/144","Bisk Farm Top Gold Biscuit","185 g","₹30","","","12 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a6e89d50-0e38-433e-a1b3-9ccaa30a3951.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
