web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2
"1775623680-1","https://blinkit.com/cn/sweet-tooth/syrups/cid/9/1289","Hershey's Chocolate Syrup","180 g","₹97","","","ADD","11 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/6b69cf5a-5604-49a9-b274-2102a1cf2819.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623680-2","https://blinkit.com/cn/sweet-tooth/syrups/cid/9/1289","Del Monte Chocolate Syrup (40% More Chocolaty)","600 g","₹160","₹240","33%
OFF","ADD","11 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/66831fd1-1405-452f-9ddf-14d71ebae87b.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623680-3","https://blinkit.com/cn/sweet-tooth/syrups/cid/9/1289","Hershey's Strawberry Syrup","180 g","₹97","₹99","","ADD","11 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/841c550d-d3ba-4055-8560-59530dc7c9d1.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623680-4","https://blinkit.com/cn/sweet-tooth/syrups/cid/9/1289","Puramate Pancake Syrup","300 ml","₹205","₹220","6%
OFF","ADD","11 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772803551672-16.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623680-5","https://blinkit.com/cn/sweet-tooth/syrups/cid/9/1289","Abbie's Pure Maple Syrup","250 ml","₹975","","","ADD","11 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/fa10b336-9641-4740-9ce1-eace533fef1c.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623680-6","https://blinkit.com/cn/sweet-tooth/syrups/cid/9/1289","Hershey's Chocolate Syrup","600 g","₹209","₹222","5%
OFF","ADD","11 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/9413c7a0-d4b5-456b-b442-ea56cf33415e.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623680-7","https://blinkit.com/cn/sweet-tooth/syrups/cid/9/1289","Hershey's Chocolate Syrup","1.3 kg","₹298","₹400","25%
OFF","ADD","11 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/9000be74-34a1-4113-914b-33581103a600.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623680-8","https://blinkit.com/cn/sweet-tooth/syrups/cid/9/1289","Monin Hazelnut NAT Syrup","250 ml","₹425","","","ADD","9 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/4939cad3-d4c3-408e-81cc-be778fa5a1f0.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623680-9","https://blinkit.com/cn/sweet-tooth/syrups/cid/9/1289","Abbie's Classic Pancake Syrup","355 ml","₹350","","","ADD","9 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a21d116a-26e4-4181-9e8f-b0877065b2d1.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623680-10","https://blinkit.com/cn/sweet-tooth/syrups/cid/9/1289","Abbie's Classic Pancake Syrup","710 ml","₹495","","","ADD","9 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a34b4710-8d56-4653-88d9-8aefc811c59b.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623680-11","https://blinkit.com/cn/sweet-tooth/syrups/cid/9/1289","American Garden Pancake Syrup","710 ml","₹799","","","ADD","11 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/106df85d-3ff7-4555-9ec9-8b2ab0a8283c.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
