web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2
"1775668235-1","https://blinkit.com/cn/sauces-spreads/table-sauces/cid/972/1132","Amul Pizza Cheese Sauce","200 g","₹99","","","14 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/3cee2a0f-3626-42bd-9630-3becb6cce0bf.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775668235-2","https://blinkit.com/cn/sauces-spreads/table-sauces/cid/972/1132","Veeba Smokey Barbeque Sauce","330 g","₹169","","","14 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ef958748-da67-4027-a2f2-dda90ce01855.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775668235-3","https://blinkit.com/cn/sauces-spreads/table-sauces/cid/972/1132","Veeba Sweet Chilli Sauce","350 g","₹169","","","14 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a773e1aa-9835-4462-a646-86646077d6ec.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775668235-4","https://blinkit.com/cn/sauces-spreads/table-sauces/cid/972/1132","Moi Soi Sichuan Chilli Oil - Dip - Spread - Cook","175 g","₹198","₹280","29%
OFF","14 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/6c590bf0-77c6-4e20-ba97-28a7fa88c690.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775668235-5","https://blinkit.com/cn/sauces-spreads/table-sauces/cid/972/1132","Amul Green Chutney Cheese Sauce","200 g","₹99","","","14 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/670ac1ed-e056-4374-847c-a9735bcbdbb5.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775668235-6","https://blinkit.com/cn/sauces-spreads/table-sauces/cid/972/1132","Amul Mexican Salsa Cheese Sauce","200 g","₹99","","","14 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/3ada3c1e-9901-4d44-bd4f-6a36ebcacbe6.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775668235-7","https://blinkit.com/cn/sauces-spreads/table-sauces/cid/972/1132","Veeba American Mustard Sauce","320 g","₹164","","","14 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/bcc9fb39-7a78-4e3c-a662-0c62b0be3f89.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775668235-8","https://blinkit.com/cn/sauces-spreads/table-sauces/cid/972/1132","Veeba Barbeque Smoked Oak Salad Dressing","300 g","₹209","","","14 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/31aa0254-8bbc-47c7-ab84-17553b0e7b8e.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775668235-9","https://blinkit.com/cn/sauces-spreads/table-sauces/cid/972/1132","Amul Jalapeno Cheese Sauce","200 g","₹99","","","14 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1cc31d62-e53c-43e5-8d4c-a480d5d9a170.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775668235-10","https://blinkit.com/cn/sauces-spreads/table-sauces/cid/972/1132","MasterChow Schezwan Chutney (Hot & Spicy)","250 g","₹84","₹98","14%
OFF","14 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/118e7585-49b8-4c48-b2c0-9a6e6b532a12.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775668235-11","https://blinkit.com/cn/sauces-spreads/table-sauces/cid/972/1132","Wingreens Farms Cheesy Chipotle Sauce","180 g","₹88","₹92","","14 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775048805727-317.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775668235-12","https://blinkit.com/cn/sauces-spreads/table-sauces/cid/972/1132","Nando's Peri Peri Hot Chilli Sauce","125 g","₹200","₹250","20%
OFF","14 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/fe68988d-0e14-45fc-adee-1593769854cb.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775668235-13","https://blinkit.com/cn/sauces-spreads/table-sauces/cid/972/1132","Abbie's American Yellow Mustard Sauce","255 g","₹190","","","14 mins","ADD","","",""
"1775668235-14","https://blinkit.com/cn/sauces-spreads/table-sauces/cid/972/1132","Veeba Sweet Onion Sauce","350 g","₹169","","","14 mins","ADD","","",""
"1775668235-15","https://blinkit.com/cn/sauces-spreads/table-sauces/cid/972/1132","Wingreens Farms Tandoori Sauce +  Cheesy Chipotle Sauce Combo","180 g + 180 g","₹166","₹184","9%
OFF","14 mins","ADD","","",""
"1775668235-16","https://blinkit.com/cn/sauces-spreads/table-sauces/cid/972/1132","Wingreens Farms Tandoori Sauce","180 g","₹88","₹92","","14 mins","ADD","2 options","",""
"1775668235-17","https://blinkit.com/cn/sauces-spreads/table-sauces/cid/972/1132","Tabasco Red Pepper Chilli Sauce","60 ml","₹220","₹269","18%
OFF","14 mins","ADD","","",""
"1775668235-18","https://blinkit.com/cn/sauces-spreads/table-sauces/cid/972/1132","Veeba Sriracha Chilli Hot Sauce","320 g","₹169","","","14 mins","ADD","","",""
"1775668235-19","https://blinkit.com/cn/sauces-spreads/table-sauces/cid/972/1132","Moi Soi Schezwan Chutney - Dip - Spread - Cook","575 g","₹147","₹280","47%
OFF","14 mins","ADD","","",""
"1775668235-20","https://blinkit.com/cn/sauces-spreads/table-sauces/cid/972/1132","Moi Soi Hot Garlic Sauce - Dip - Spread - Cook","175 g","₹180","₹280","35%
OFF","14 mins","ADD","","",""
"1775668235-21","https://blinkit.com/cn/sauces-spreads/table-sauces/cid/972/1132","Tabasco Green Pepper Chilli Sauce","60 ml","₹293","₹349","16%
OFF","14 mins","ADD","","",""
"1775668235-22","https://blinkit.com/cn/sauces-spreads/table-sauces/cid/972/1132","French's Classic Yellow Mustard Sauce","226 g","₹275","","","14 mins","ADD","","",""
"1775668235-23","https://blinkit.com/cn/sauces-spreads/table-sauces/cid/972/1132","Wingreens Farms Cheesy Sauce","450 g","₹211","₹234","9%
OFF","14 mins","ADD","","",""
"1775668235-24","https://blinkit.com/cn/sauces-spreads/table-sauces/cid/972/1132","American Garden Original Barbecue Sauce","510 g","₹413","₹445","7%
OFF","14 mins","ADD","","",""
"1775668235-25","https://blinkit.com/cn/sauces-spreads/table-sauces/cid/972/1132","Nando's Peri Peri XX Hot Chilli Sauce","125 g","₹201","₹250","19%
OFF","14 mins","ADD","","",""
"1775668235-26","https://blinkit.com/cn/sauces-spreads/table-sauces/cid/972/1132","Wingreens Farms Mint Flavoured Mayonnaise +  Tandoori Sauce Combo","180 g + 180 g","₹183","₹203","9%
OFF","14 mins","ADD","","",""
"1775668235-27","https://blinkit.com/cn/sauces-spreads/table-sauces/cid/972/1132","French's Honey Mustard Sauce","340 g","₹349","","","14 mins","ADD","","",""
"1775668235-28","https://blinkit.com/cn/sauces-spreads/table-sauces/cid/972/1132","American Garden Pancake Syrup","710 ml","₹799","","","14 mins","ADD","","",""
