web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775625022-1","https://blinkit.com/cn/tea/cid/12/957","Tata Tea Gold Care Tea","500 g","₹275","₹305","9%
OFF","ADD","12 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a7801a4c-2adc-4ed3-857c-78a2b8adc9d5.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625022-2","https://blinkit.com/cn/tea/cid/12/957","Tata Tea Gold","250 g","₹135","","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c497a887-aadb-4fd4-a7d3-e3b5241adeb4.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625022-3","https://blinkit.com/cn/tea/cid/12/957","Tata Tea Gold","100 g","₹45","","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a9643d0c-3ca2-4a15-8965-93b0c30ed217.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625022-4","https://blinkit.com/cn/tea/cid/12/957","Tata Tea Gold","500 g","₹243","₹270","10%
OFF","ADD","12 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/243c81f1-aaff-47f2-bff3-a02fbffb902d.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625022-5","https://blinkit.com/cn/tea/cid/12/957","Tata Tea Gold Care","250 g","₹152","₹160","5%
OFF","ADD","12 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/12fa6a77-2366-41ef-b8d1-baed9ddf83c0.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625022-6","https://blinkit.com/cn/tea/cid/12/957","Tata Tea Agni Special Blend Tea","250 g","₹65","","","ADD","12 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d49aeb12-3456-442a-8e46-b5b7ff1abbe3.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625022-7","https://blinkit.com/cn/tea/cid/12/957","Brooke Bond Taaza Tea 250 g","250 g","₹50","","","ADD","12 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/353be163-f6ec-4eb6-8f09-4cfd3e4b3dc7.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625022-8","https://blinkit.com/cn/tea/cid/12/957","Goodricke Roasted Darjeeling Tea","250 g","₹325","₹335","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774704212916-187.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625022-9","https://blinkit.com/cn/tea/cid/12/957","Tata Tea Gold Care Tea","1 kg","₹495","₹610","18%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1cbd1030-6048-47dc-9c86-c999f48de19c.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625022-10","https://blinkit.com/cn/tea/cid/12/957","Goodricke Thurbo Darjeeling Tea Whole Leaf","100 g","₹165","₹175","5%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/29b5e1b9-07ad-4ff0-ac08-81f513daba99.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625022-11","https://blinkit.com/cn/tea/cid/12/957","Tata Tea Premium Tea (Mini Pack)","100 g","₹40","","","ADD","12 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/31bf6470-2a02-45c1-a340-4793cfbd9186.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625022-12","https://blinkit.com/cn/tea/cid/12/957","Brooke Bond Red Label Leaf & Dust Tea","100 g","₹30","","","ADD","12 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/01519838-d87b-466c-ae01-8f8218e02150.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625022-13","https://blinkit.com/cn/tea/cid/12/957","Brooke Bond Taj Mahal Tea","250 g","₹180","","","ADD","12 mins","","","",""
"1775625022-14","https://blinkit.com/cn/tea/cid/12/957","Brooke Bond Red Label Natural Care Tea","250 g","₹140","","","ADD","12 mins","","","",""
"1775625022-15","https://blinkit.com/cn/tea/cid/12/957","Tata Tea Premium Tea","250 g","₹120","","","ADD","12 mins","2 options","","",""
"1775625022-16","https://blinkit.com/cn/tea/cid/12/957","Tata Tea Gold","1 kg","₹526","₹670","21%
OFF","ADD","12 mins","","","",""
"1775625022-17","https://blinkit.com/cn/tea/cid/12/957","Tata Tea Gold Tea","1.5 kg","₹717","₹930","22%
OFF","ADD","12 mins","","","",""
"1775625022-18","https://blinkit.com/cn/tea/cid/12/957","Tata Tea Premium Tea","500 g","₹221","₹240","7%
OFF","ADD","12 mins","","","",""
"1775625022-19","https://blinkit.com/cn/tea/cid/12/957","Tata Tea Premium","1.5 kg","₹584","₹650","10%
OFF","ADD","12 mins","","","",""
"1775625022-20","https://blinkit.com/cn/tea/cid/12/957","Tata Tea Premium Tea","1 kg","₹437","₹480","8%
OFF","ADD","12 mins","","","",""
"1775625022-21","https://blinkit.com/cn/tea/cid/12/957","Goodricke Khaass Exclusive Assam Tea Bags","25 pcs","₹48","₹50","","ADD","12 mins","","","",""
"1775625022-22","https://blinkit.com/cn/tea/cid/12/957","Brooke Bond Red Label Masala Instant Tea Premix","10 pcs","₹99","₹135","26%
OFF","ADD","12 mins","","","",""
"1775625022-23","https://blinkit.com/cn/tea/cid/12/957","Brooke Bond Taj Mahal Tea Bags","100 pcs","₹220","","","ADD","12 mins","","","",""
"1775625022-24","https://blinkit.com/cn/tea/cid/12/957","Lipton Darjeeling Tea","250 g","₹520","","","ADD","12 mins","","","",""
"1775625022-25","https://blinkit.com/cn/tea/cid/12/957","Tata Tea Agni Special Blend Tea","500 g","₹130","","","ADD","12 mins","2 options","","",""
"1775625022-26","https://blinkit.com/cn/tea/cid/12/957","Wagh Bakri Premium Leaf Tea","250 g","₹145","","","ADD","12 mins","2 options","","",""
"1775625022-27","https://blinkit.com/cn/tea/cid/12/957","Brooke Bond Red Label Natural Care Tea","500 g","₹241","₹270","10%
OFF","ADD","12 mins","","","",""
"1775625022-28","https://blinkit.com/cn/tea/cid/12/957","Munna's Meri Chai Elaichi Tea","250 g","₹99","₹110","10%
OFF","ADD","10 mins","","","",""
"1775625022-29","https://blinkit.com/cn/tea/cid/12/957","Brooke Bond Taj Mahal Tea","100 g","₹50","","","ADD","12 mins","","","",""
"1775625022-30","https://blinkit.com/cn/tea/cid/12/957","Flurys Classic Assam Tea Bags","100 pcs","₹150","₹230","34%
OFF","ADD","12 mins","","","",""
"1775625022-31","https://blinkit.com/cn/tea/cid/12/957","Brooke Bond Taj Mahal Tea","250 g","₹180","","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/37b57495-46f8-4a61-98a5-724456142a7d.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625022-32","https://blinkit.com/cn/tea/cid/12/957","Brooke Bond Red Label Natural Care Tea","250 g","₹140","","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/67244628-ca0a-41c8-be54-87f8bdedd2bd.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625022-33","https://blinkit.com/cn/tea/cid/12/957","Tata Tea Premium Tea","250 g","₹120","","","ADD","12 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/62a98c6c-ae6c-4182-89ee-bf722d291eb4.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625022-34","https://blinkit.com/cn/tea/cid/12/957","Tata Tea Gold","1 kg","₹526","₹670","21%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/6220335c-e4b0-43b0-812a-36e5c9840ad0.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625022-35","https://blinkit.com/cn/tea/cid/12/957","Tata Tea Gold Tea","1.5 kg","₹717","₹930","22%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/658b67e4-74d8-4139-9980-6bd710543058.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625022-36","https://blinkit.com/cn/tea/cid/12/957","Tata Tea Premium Tea","500 g","₹221","₹240","7%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/591cdbbd-cd9a-450e-a3a3-57ca5a56bd35.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
