web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775683206-1","https://blinkit.com/cn/home-office/tissues-disposables/cid/1379/1075","Home Fresh Food Wrapping Aluminium Foil 18 m","1 roll","₹159","₹329","51%
OFF","ADD","","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/6178fa8f-4586-41f3-8aad-44fc8d2cb432.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png",""
"1775683206-2","https://blinkit.com/cn/home-office/tissues-disposables/cid/1379/1075","10on Lite Super Cocktail Napkins (1 Ply)","100 pulls","₹41","₹50","18%
OFF","ADD","","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7ab1d9fc-7478-43c7-a133-9776c165779c.png","",""
"1775683206-3","https://blinkit.com/cn/home-office/tissues-disposables/cid/1379/1075","Crystal Garbage Bag (Medium, Black)","3 x 30 pcs","₹185","₹225","17%
OFF","ADD","","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/69103761-9a05-4582-8c7e-e32cb82e4c61.png","",""
"1775683206-4","https://blinkit.com/cn/home-office/tissues-disposables/cid/1379/1075","Elefant Daily Use Garbage Bag (Medium)","30 pcs","₹69","₹70","","ADD","","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1079d834-6ff4-40db-b702-96a1ddebda07.png","",""
"1775683206-5","https://blinkit.com/cn/home-office/tissues-disposables/cid/1379/1075","Home Fresh Pure Food Grade- Cling Wrap","1 roll","₹119","₹249","52%
OFF","ADD","","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a04ff6e2-92e8-4b4c-9357-4b0c5d577079.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png",""
"1775683206-6","https://blinkit.com/cn/home-office/tissues-disposables/cid/1379/1075","Origami 2 in 1 Kitchen Towel Roll (2 Ply)","2 x 60 pulls","₹157","₹190","17%
OFF","ADD","","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/62287764-119e-4928-b9ba-936711ad631f.png","",""
"1775683206-7","https://blinkit.com/cn/home-office/tissues-disposables/cid/1379/1075","Origami Klassic Premium Napkins (1 Ply)","100 pulls","₹65","","","ADD","","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/3d6a747f-f194-4a43-8239-ec68e17efcea.png","",""
"1775683206-8","https://blinkit.com/cn/home-office/tissues-disposables/cid/1379/1075","Origami So Soft Face Tissue (2 Ply)","100 pulls","₹89","₹100","11%
OFF","ADD","","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/50200bc4-c772-4d60-95ac-761b71b2ffb0.png","",""
"1775683206-9","https://blinkit.com/cn/home-office/tissues-disposables/cid/1379/1075","10on Lite Extra Soft Toilet Roll (3 Ply)","12 x 150 pulls","₹289","₹520","44%
OFF","ADD","","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c096acac-6f1a-4387-bd6d-b9e02bbda9b5.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png",""
"1775683206-10","https://blinkit.com/cn/home-office/tissues-disposables/cid/1379/1075","Crystal Garbage Bag (Medium, Black)","30 pcs","₹67","₹100","33%
OFF","ADD","","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/eb9aaac8-34ff-4ea3-ad40-2eee2244414f.png","",""
