web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775625982-1","https://blinkit.com/cn/atta-rice-dal/toor-urad-chana/cid/16/1010","Tata Sampann Unpolished Toor Dal/Arhar Dal (Arhar Dal)","1 kg","₹186","₹244","23%
OFF","ADD","12 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/10e2287b-b293-43c4-8570-ff9eb409b1eb.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625982-2","https://blinkit.com/cn/atta-rice-dal/toor-urad-chana/cid/16/1010","Tata Sampann Unpolished Chana Dal","500 g","₹68","₹77","11%
OFF","ADD","12 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/72b6d382-30b8-4aff-984d-9b4a4b6252e4.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625982-3","https://blinkit.com/cn/atta-rice-dal/toor-urad-chana/cid/16/1010","Whole Farm Premium Kala Chana/Brown Chana","500 g","₹51","₹115","55%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1633253e-8ca3-47c7-88a6-b3358bc2bc61.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625982-4","https://blinkit.com/cn/atta-rice-dal/toor-urad-chana/cid/16/1010","Whole Farm Grocery Kala Chana","1 kg","₹80","₹150","46%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8f0c5b36-ed5f-4d14-aa4f-538d1798cd81.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625982-5","https://blinkit.com/cn/atta-rice-dal/toor-urad-chana/cid/16/1010","Amul Organic Arhar Dal / Toor Dal","500 g","₹84","₹130","35%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8fc8d61e-f029-409b-bcf6-71c5d56b1960.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625982-6","https://blinkit.com/cn/atta-rice-dal/toor-urad-chana/cid/16/1010","Whole Farm Grocery Toor Dal (500 g) (Arhar Dal)","500 g","₹78","₹125","37%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/30d568a1-c12d-4aa4-9405-c2e8ada1dde0.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625982-7","https://blinkit.com/cn/atta-rice-dal/toor-urad-chana/cid/16/1010","Fortune Kala Chana Unpolished","500 g","₹66","₹85","22%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/4c138c46-341f-446d-afc2-a2d6f517eefe.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625982-8","https://blinkit.com/cn/atta-rice-dal/toor-urad-chana/cid/16/1010","Tata Sampann Unpolished Split Urad Dal (Dhuli)","500 g","₹110","₹120","8%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/31e2958a-3e59-4907-bddd-fbb0a923fb40.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625982-9","https://blinkit.com/cn/atta-rice-dal/toor-urad-chana/cid/16/1010","Amul Organic Chana Dal","500 g","₹77","₹88","12%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/94c32bcd-655e-4310-af8b-cfe51e929c7c.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625982-10","https://blinkit.com/cn/atta-rice-dal/toor-urad-chana/cid/16/1010","Basic Chana Dal","1 kg","₹92","₹155","40%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/9ccc8b60-0a5c-4956-af7f-798cf1d4f585.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
