web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2
"1775590482-1","https://blinkit.com/cn/cold-drinks-juices/water-ice-cubes/cid/332/270","Bailley Packaged Water","5 ltr","₹70","","","13 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/af90d3a3-ccd5-459c-9668-835bf4b2b211.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775590482-2","https://blinkit.com/cn/cold-drinks-juices/water-ice-cubes/cid/332/270","Bisleri Packaged Water","5 ltr","₹70","","","13 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/52e0560a-de7b-4d27-b57a-c6bcf22945ec.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775590482-3","https://blinkit.com/cn/cold-drinks-juices/water-ice-cubes/cid/332/270","Ice Cubes by Instant Ice","1 kg","₹56","₹60","6%
OFF","13 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7caf8ba8-c197-4109-a2df-7c93649d8429.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775590482-4","https://blinkit.com/cn/cold-drinks-juices/water-ice-cubes/cid/332/270","Bisleri Packaged Water (1 l)","1 ltr","₹20","","","13 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2faf253a-7e5b-4d53-9774-350add8d50b5.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775590482-5","https://blinkit.com/cn/cold-drinks-juices/water-ice-cubes/cid/332/270","Himalayan Natural Mineral Water","24 x 200 ml","₹387","₹432","10%
OFF","13 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/9fd45a28-5f56-4bb7-bdfe-c04ce949d37e.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775590482-6","https://blinkit.com/cn/cold-drinks-juices/water-ice-cubes/cid/332/270","Sparkling Ice Cubes by Burrf","1 kg","₹56","₹80","30%
OFF","13 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/64bf0b93-2e75-4393-b497-6e419027933d.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775590482-7","https://blinkit.com/cn/cold-drinks-juices/water-ice-cubes/cid/332/270","Aquafina Packaged Water","1 ltr","₹18","","","13 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/b343c33b-9443-4455-970c-000f8d84608e.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775590482-8","https://blinkit.com/cn/cold-drinks-juices/water-ice-cubes/cid/332/270","Kinley Packaged Water","1 ltr","₹20","","","13 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770356946958-82.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775590482-9","https://blinkit.com/cn/cold-drinks-juices/water-ice-cubes/cid/332/270","Himalayan Natural Mineral Water (Mildly Alkaline)","1 ltr","₹60","₹70","14%
OFF","13 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a7ddbd22-d31a-4470-85f8-5e57b0a52448.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775590482-10","https://blinkit.com/cn/cold-drinks-juices/water-ice-cubes/cid/332/270","Ice Cubes (Sparkling Supercubes) by Burrf","16 pcs","₹76","₹99","23%
OFF","13 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/20e8f66b-5e2e-4bc7-9000-98a85f0cbd0b.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775590482-11","https://blinkit.com/cn/cold-drinks-juices/water-ice-cubes/cid/332/270","Bisleri Vedica Mineral Water","1 ltr","₹54","","","13 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/0f7f23af-2b97-4b45-821c-21c98ee2ba30.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775590482-12","https://blinkit.com/cn/cold-drinks-juices/water-ice-cubes/cid/332/270","Himalayan Still Natural Mineral Water","750 ml","₹222","","","13 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771403964237-209.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775590482-13","https://blinkit.com/cn/cold-drinks-juices/water-ice-cubes/cid/332/270","Evian Natural Mineral Water","500 ml","₹136","₹160","15%
OFF","13 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f0d5a16a-5c04-4438-8f0b-9b2666792fc6.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775590482-14","https://blinkit.com/cn/cold-drinks-juices/water-ice-cubes/cid/332/270","Polka Pop Zero Sugar Lemon-Lime Sparkling Drink","300 ml","₹40","","","13 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/49282d41-0ca6-426e-925d-77d24fbb5aba.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775590482-15","https://blinkit.com/cn/cold-drinks-juices/water-ice-cubes/cid/332/270","Perrier Sparkling Water","330 ml","₹195","","","13 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/9c3bfab5-9b61-4f0d-b106-4b3e94a31fd3.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775590482-16","https://blinkit.com/cn/cold-drinks-juices/water-ice-cubes/cid/332/270","Evian Natural Mineral Water - 1 ltr","1 ltr","₹213","₹250","14%
OFF","13 mins","ADD","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775121099346-72.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775590482-17","https://blinkit.com/cn/cold-drinks-juices/water-ice-cubes/cid/332/270","Sepoy & Co. Pure Natural Mineral Sparkling Water","200 ml","₹85","","","13 mins","ADD","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/35bd2cf3-8566-469a-bd98-1c067e154696.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775590482-18","https://blinkit.com/cn/cold-drinks-juices/water-ice-cubes/cid/332/270","Evian Mineral Water","330 ml","₹71","₹90","21%
OFF","13 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/19470c7e-c285-4c79-8d29-433889736d19.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775590482-19","https://blinkit.com/cn/cold-drinks-juices/water-ice-cubes/cid/332/270","Evian Natural Mineral Water","750 ml","₹320","","","13 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774852204533-63.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
