web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775678095-1","https://blinkit.com/cn/pharma-wellness/vitamins-daily-nutrition/cid/287/293","Tata 1mg Magnesium Glycinate Advanced Supplement","60 tabs","₹383","₹529","27%
OFF","ADD","22 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/9ebe487d-772c-49b2-b184-2cf9d45ffd8d.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775678095-2","https://blinkit.com/cn/pharma-wellness/vitamins-daily-nutrition/cid/287/293","Hk Vitals Glutathione (Orange)","15 pcs","₹749","₹759","","ADD","22 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/71079be2-d50b-4a9b-8cbd-08dbaf670c85.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775678095-3","https://blinkit.com/cn/pharma-wellness/vitamins-daily-nutrition/cid/287/293","Fast&Up Reload Energy & Electrolyte Drink (Orange)","20 tabs","₹199","₹265","24%
OFF","ADD","22 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773287661476-351.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775678095-4","https://blinkit.com/cn/pharma-wellness/vitamins-daily-nutrition/cid/287/293","Himalaya General Wellness Ashwagandha Tablets","60 tabs","₹229","₹260","11%
OFF","ADD","22 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772535388856-640.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775678095-5","https://blinkit.com/cn/pharma-wellness/vitamins-daily-nutrition/cid/287/293","Plix Apple Cider Vinegar Effervescent Tablets (Apple Burst)","15 tabs","₹306","₹310","","ADD","22 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/b02b8a81-78d7-498c-a391-c65ba54183d4.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775678095-6","https://blinkit.com/cn/pharma-wellness/vitamins-daily-nutrition/cid/287/293","Hk Vitals Multivitamin + Fish Oil Combo","120 tabs","₹719","₹799","10%
OFF","ADD","22 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c40f7584-18c2-4cc5-92ed-5652e7eec884.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775678095-7","https://blinkit.com/cn/pharma-wellness/vitamins-daily-nutrition/cid/287/293","Dabur 100% Ayurvedic Immunity Booster Tulsi Drops","30 ml","₹119","₹182","34%
OFF","ADD","22 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/b3f2dd04-dd47-4bde-823a-9933263e57b6.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775678095-8","https://blinkit.com/cn/pharma-wellness/vitamins-daily-nutrition/cid/287/293","Kapiva Organic Ashwagandha Powder","100 g","₹159","₹175","9%
OFF","ADD","22 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7dbe6e55-158f-4a23-a0b3-ea41b947cfb5.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775678095-9","https://blinkit.com/cn/pharma-wellness/vitamins-daily-nutrition/cid/287/293","Fast&Up Weight Loss Apple Cider Vinegar Effervescent Tablets (Green Apple Flavour)","15 tabs","₹280","₹350","20%
OFF","ADD","22 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/bd622724-6c87-4466-b0ef-e824b446d090.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775678095-10","https://blinkit.com/cn/pharma-wellness/vitamins-daily-nutrition/cid/287/293","Hk Vitals Multivitamin + Women","30 tabs","₹349","₹499","30%
OFF","ADD","22 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2576bf25-1726-4bcb-ab64-618cecc2cc98.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
