web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2,image3
"1775626873-1","https://blinkit.com/cn/dry-fruits-masala-oil/whole-spices/cid/1557/930","Sunrise Pure Cumin Seeds / Jeera Seeds (Jeera)","50 g","₹33","","","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/062c3033-92b9-41bb-846d-8d3631bc8793.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775626873-2","https://blinkit.com/cn/dry-fruits-masala-oil/whole-spices/cid/1557/930","JK Poppy Seeds (Khuskhus)","50 g","₹126","₹135","6%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/04ee34f1-8097-454d-afc0-0c835ef8ac6d.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775626873-3","https://blinkit.com/cn/dry-fruits-masala-oil/whole-spices/cid/1557/930","JK Poppy Seeds (Khuskhus)","100 g","₹265","₹270","","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1bb39aa7-64bd-4e19-9aab-6008e69328ca.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775626873-4","https://blinkit.com/cn/dry-fruits-masala-oil/whole-spices/cid/1557/930","JK Cumin Seeds / Jeera Seeds (Jeera)","100 g","₹56","₹75","25%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/25856992-b596-432a-bf04-7a7c5cf6ec1c.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775626873-5","https://blinkit.com/cn/dry-fruits-masala-oil/whole-spices/cid/1557/930","Sunrise Pure Kala Jeera / Kalonji","50 g","₹30","","","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/11a7f36e-77c2-4972-acd3-626f076e8f86.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775626873-6","https://blinkit.com/cn/dry-fruits-masala-oil/whole-spices/cid/1557/930","Whole Farm Premium Red Chilli Whole (Puro Lalgobhi)","100 g","₹43","₹75","42%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d9776ce9-b3c8-4cd2-a21e-4a70b66b0cbd.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775626873-7","https://blinkit.com/cn/dry-fruits-masala-oil/whole-spices/cid/1557/930","Whole Farm Premium Cumin Seeds / Jeera Seeds (Jeera)","100 g","₹55","₹125","56%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/40e18ffb-2dfe-46dc-8b7d-e646cd28c2e2.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775626873-8","https://blinkit.com/cn/dry-fruits-masala-oil/whole-spices/cid/1557/930","JK Black Cumin Seeds / Jeera Seeds (Jeera)","50 g","₹26","₹30","13%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/126551ba-b52b-4293-8128-9494118d7a8e.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775626873-9","https://blinkit.com/cn/dry-fruits-masala-oil/whole-spices/cid/1557/930","Sunrise Pure Ajwain Seeds /Bishop's Seed (Ajwain)","50 g","₹26","","","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/193b2a47-30c5-4659-9c4f-b6298167c19b.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775626873-10","https://blinkit.com/cn/dry-fruits-masala-oil/whole-spices/cid/1557/930","Sunrise Pure Poppy Seeds (Posta) (Khuskhus)","50 g","₹150","","","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/341995cd-a979-427e-9a2d-ced50b2c648d.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
