web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775705264-1","https://blinkit.com/cn/personal-care/womens-grooming/cid/163/1893","Bombae Vitamin E & Aloe Disposable Women's Razor - Pack of 3","3 pcs","₹149","₹205","27%
OFF","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8a6e0b56-28f3-4415-9c17-9eabf9d5a751.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775705264-2","https://blinkit.com/cn/personal-care/womens-grooming/cid/163/1893","Gillette Venus Simply Disposable Women's Razor","1 pc","₹99","","","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771904678029-779.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775705264-3","https://blinkit.com/cn/personal-care/womens-grooming/cid/163/1893","Sanfe Reusable Eyebrow Touch Up Face Razor","3 pcs","₹98","₹99","","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/42b19b56-abdf-4881-9356-f7f9cfa0881c.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775705264-4","https://blinkit.com/cn/personal-care/womens-grooming/cid/163/1893","Azah Reusable Face Razor for Women with German Blade","3 pcs","₹95","₹119","20%
OFF","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/9f36f49e-b729-4cde-ac14-54cbe04d84ab.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775705264-5","https://blinkit.com/cn/personal-care/womens-grooming/cid/163/1893","Carmesi Reusable Face Razor for Women (Pink)","3 pcs","₹165","₹249","33%
OFF","ADD","11 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/babe92dc-be5d-414a-870c-903e115ac3aa.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775705264-6","https://blinkit.com/cn/personal-care/womens-grooming/cid/163/1893","Veet Aloe Vera Sensitive Skin Hair Removal Cream (30 g)","30 g","₹107","₹115","6%
OFF","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d2b13827-5b5a-471f-b464-a4a906845c53.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775705264-7","https://blinkit.com/cn/personal-care/womens-grooming/cid/163/1893","Bombae Vitamin E & Aloe Disposable Women's Razor for Women","1 pc","₹85","","","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/549c3e86-0b64-419e-a0fa-b887a6ce414f.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775705264-8","https://blinkit.com/cn/personal-care/womens-grooming/cid/163/1893","Gillette Venus Skin Love Disposable Women's Razor (Blue)","1 pc","₹175","","","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773396100077-587.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775705264-9","https://blinkit.com/cn/personal-care/womens-grooming/cid/163/1893","Carmesi Eyebrow & Face Razor (Pink)","2 pcs","₹149","₹199","25%
OFF","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/de1979b3-b2b3-481b-bafe-83a0058ed58d.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775705264-10","https://blinkit.com/cn/personal-care/womens-grooming/cid/163/1893","Gillette Venus Comfortglide Hair Removal Cartridge Women's Razor","1 pc","₹357","₹375","","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/97843caf-3356-4a67-9b46-a058b2b3f336.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775705264-11","https://blinkit.com/cn/personal-care/womens-grooming/cid/163/1893","Veet Professional Ready-to-use Sensitive Skin Wax Strips","8 pcs","₹120","₹129","6%
OFF","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ca90d537-1741-4802-822f-2243f6187115.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775705264-12","https://blinkit.com/cn/personal-care/womens-grooming/cid/163/1893","Furr By Pee Safe Dual Head Face Razor for Women","1 pc","₹99","₹125","20%
OFF","ADD","11 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774497688678-27.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775705264-13","https://blinkit.com/cn/personal-care/womens-grooming/cid/163/1893","Veet Expert Electric All-In-One Female Body Trimmer (Grey)","1 unit","₹1,500","₹1,999","24%
OFF","ADD","11 mins","","","",""
"1775705264-14","https://blinkit.com/cn/personal-care/womens-grooming/cid/163/1893","Gillette Venus Smooth Women's Razor with Smooth Shave Gel","1 pc","₹316","₹325","","ADD","11 mins","","","",""
"1775705264-15","https://blinkit.com/cn/personal-care/womens-grooming/cid/163/1893","Veet Aloe & Rose Normal Skin Hair Removal Cream","30 g","₹107","₹115","6%
OFF","ADD","11 mins","","","",""
"1775705264-16","https://blinkit.com/cn/personal-care/womens-grooming/cid/163/1893","Veet Pure Hair Removal Cream (for Normal Skin)","100 g","₹286","₹325","12%
OFF","ADD","11 mins","","","",""
"1775705264-17","https://blinkit.com/cn/personal-care/womens-grooming/cid/163/1893","Veet Hair Removal Wax Strips (Sensitive Skin)","20 pcs","₹279","₹299","6%
OFF","ADD","11 mins","","","",""
"1775705264-18","https://blinkit.com/cn/personal-care/womens-grooming/cid/163/1893","Veet Hair Removal Wax Strips (Dry Skin)","20 pcs","₹279","₹299","6%
OFF","ADD","11 mins","","","",""
"1775705264-19","https://blinkit.com/cn/personal-care/womens-grooming/cid/163/1893","Azah Smooth Glide Disposable Women's Razor","3 pcs","₹99","₹169","41%
OFF","ADD","11 mins","","","",""
"1775705264-20","https://blinkit.com/cn/personal-care/womens-grooming/cid/163/1893","Veet Aloe Vera Sensitive Skin Hair Removal Cream","100 g","₹280","₹325","13%
OFF","ADD","11 mins","","","",""
"1775705264-21","https://blinkit.com/cn/personal-care/womens-grooming/cid/163/1893","Mountainor Facial Wax Powder","100 g","₹382","₹449","14%
OFF","ADD","11 mins","2 options","","",""
"1775705264-22","https://blinkit.com/cn/personal-care/womens-grooming/cid/163/1893","Bombae Biodegradable Face Razor for Women","3 pcs","₹99","","","ADD","11 mins","","","",""
"1775705264-23","https://blinkit.com/cn/personal-care/womens-grooming/cid/163/1893","Gillette Venus Smooth Women Hair Removal Women's Razor Cartridge (Aloe Vera Glidestrip)","2 pcs","₹375","","","ADD","16 mins","","","",""
"1775705264-24","https://blinkit.com/cn/personal-care/womens-grooming/cid/163/1893","Bombae Flexi Pro Avosmooth Disposable Women's Razor (Violet)","1 pc","₹129","","","ADD","11 mins","","","",""
"1775705264-25","https://blinkit.com/cn/personal-care/womens-grooming/cid/163/1893","Furr By Pee Safe Reusable German Blade Face Razor","1 pc","₹89","₹99","10%
OFF","ADD","11 mins","2 options","","",""
"1775705264-26","https://blinkit.com/cn/personal-care/womens-grooming/cid/163/1893","Azah Body & Bikini Hair Removal Wax Powder","60 g","₹249","₹275","9%
OFF","ADD","11 mins","","","",""
"1775705264-27","https://blinkit.com/cn/personal-care/womens-grooming/cid/163/1893","Sanfe Hair Removal Disposable Women's Razor","5 pcs","₹166","₹169","","ADD","11 mins","","","",""
"1775705264-28","https://blinkit.com/cn/personal-care/womens-grooming/cid/163/1893","Sanfe Spray Away Hair Removal Spray","25 ml","₹196","₹199","","ADD","11 mins","2 options","","",""
"1775705264-29","https://blinkit.com/cn/personal-care/womens-grooming/cid/163/1893","Urban Yog Hair Removal Spray","130 ml","₹399","","","ADD","16 mins","","","",""
