name,category,brand,description,image_url,base_price,discounted_price,unit,is_loose,min_quantity,max_quantity,rating,rating_count,is_active
"Lakme 9 To 5 Vitamin C + Facial Serum - 30 Gm","Personal Care","Lakme","Lightweight serum enriched with Kakadu Plum (100x more Vitamin C than oranges). Reduces dullness, fights aging and pollution damage. Dermatologically tested.","https://media.dealshare.in/img/offer/BECAAE5432_1.png",649,456,"30 gm",false,1,100,4.5,0,true
"Garnier Micellar Cleansing Water - 125 Ml","Personal Care","Garnier","No-rinse micellar water that removes makeup, dirt and impurities. Fragrance-free, alcohol-free formula suitable for all skin types.","https://media.dealshare.in/img/offer/2855AC5A74_1.png",249,245,"125 ml",false,1,100,4.5,0,true
"Cadbury Fuse Chocolate Bar - 43 Gm","chocolates-candies","Cadbury","Chocolate from Cadbury (Mondelez). Premium milk chocolate.","https://media.dealshare.in/img/offer/CF1361CBF0_1.png",50,50,"43 gm",false,1,100,4.5,0,true
"Provedic Desi Ghee (Ceka Pack) - 500 Ml","Dairy","Provedic","Pure desi ghee. Traditional clarified butter.","https://media.dealshare.in/img/offer/29DF46E0A7_1.png",300,271,"500 ml",false,1,100,4.5,0,true
"Sampoorti (Cardamon+Clove+ Pepper) - 25 Gm Each","Spices","Sampoorti","Premium staples and spices. Quality assured.","https://media.dealshare.in/img/offer/1752068431904:Combo_kol18251.png?tr=f-webp",200,159,"Combo of 3",false,1,100,4.5,0,true
"Sunrise Readymix Paneer Butter Box - 50 Gm","Spices","Sunrise","Ready-mix for paneer butter masala.","https://media.dealshare.in/img/offer/EB41CD840E_1.webp",52,44,"50 gm",false,1,100,4.5,0,true
"Yutika Soft Touch Lip Care Blister (pack) - 10 Gm","Personal Care","Yutika","Yutika product. Yutika Soft Touch Lip Care Blister (pack). Quality assured.","https://media.dealshare.in/img/offer/prod/new-img/Deal57591.webp",39,19,"10 gm",false,1,100,4.5,0,true
"Sugar Pop Hd Liquid Foundation 11 - Apricot - 30 Ml","Personal Care","Sugar Pop","Makeup and beauty products from Sugar Cosmetics. Trendy, long-lasting formulas.","https://media.dealshare.in/img/offer/C92F7A3B3F_1.png",399,299,"30 ml",false,1,100,4.5,0,true
"Real Fruit Power Mixed Fruit Juice - 1 Ltr","Soft Drinks","Real Fruit Power","Mixed fruit juice. Real fruit content.","https://media.dealshare.in/img/offer/1751011291007:8B7601811A_1.png",130,112,"1 ltr",false,1,100,4.5,0,true
"Dettol Icy Cool Soap - 100 Gm (Pack Of 5)","Personal Care","Dettol","Antiseptic soap with germ protection. Refreshing formula for daily hygiene. From Reckitt Benckiser.","https://media.dealshare.in/img/offer/1751011291720:D55ACA8E8D_1.png",195,172,"500 gm",false,1,100,4.5,0,true
